id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B081186E,1986-08-11T22:06:49,-67.76,-31.19,26.5,4.9,mw,187.0,49.0,167.0,285.0,80.0,41.0,35.0,155.0,48.0,296.0,20.0,50.0,2.675e+16,2.631e+16,-5.305e+16,-8.654e+16,530000000000000.0,9.006e+16,gcmt,gmt:081186E,unclassified
B061789A,1989-06-17T18:28:14,-75.21,-41.1,15.0,4.9,mw,247.0,34.0,-28.0,1.0,75.0,-121.0,24.0,115.0,29.0,10.0,51.0,237.0,-1.319e+17,5.26e+16,7.93e+16,8.03e+16,-2.141e+17,1.23e+17,gcmt,gmt:061789A,unclassified
B062489B,1989-06-24T12:58:47,-66.2,-28.53,21.0,5.5,mw,88.0,77.0,-172.0,357.0,82.0,-13.0,3.0,43.0,75.0,145.0,15.0,312.0,-1.35e+16,2.39e+16,-1.04e+16,-2.55e+16,-4.5e+16,-1.961e+17,gcmt,,unclassified
B040290A,1990-04-02T13:56:37,-72.63,-33.04,15.0,5.5,mw,6.0,36.0,106.0,167.0,56.0,79.0,76.0,41.0,9.0,173.0,10.0,265.0,2.918e+17,6.889999999999999e+16,-3.607e+17,5.19e+16,-1.147e+17,3.06e+16,gcmt,gmt:040290A,unclassified
B041092B,1992-04-10T09:33:07,-71.96,-33.96,32.0,5.1,mw,248.0,57.0,-172.0,154.0,83.0,-33.0,18.0,205.0,56.0,323.0,28.0,106.0,,,,,,,us,gmt:041092B,unclassified
B100192D,1992-10-01T08:18:52,-74.96,-39.04,15.0,4.9,mw,35.0,42.0,-51.0,167.0,58.0,-120.0,9.0,278.0,25.0,184.0,63.0,26.0,-1.469e+17,-3.8e+16,1.849e+17,-5.729999999999999e+16,6.08e+16,4.29e+16,gcmt,us:19921001081852;gmt:100192D,unclassified
C112892B,1992-11-28T03:13:38,-72.08,-31.59,22.3,6.4,mw,51.0,52.0,-177.0,319.0,87.0,-38.0,24.0,12.0,52.0,136.0,28.0,269.0,-8.42e+17,4.764e+18,-3.921e+18,2.736e+18,-2.11e+18,-1.185e+18,gcmt,neic:264929;gmt:112892B,unclassified
B031993G,1993-03-19T16:01:14,-71.56,-27.02,15.0,4.9,mw,339.0,32.0,72.0,181.0,60.0,101.0,73.0,118.0,10.0,355.0,14.0,263.0,8.199e+16,1.411e+16,-9.611e+16,-7000000000000000.0,-5.035e+16,1.815e+16,gcmt,,unclassified
B042895A,1995-04-28T02:04:24,-71.99,-32.06,20.8,5.2,mw,126.0,42.0,61.0,342.0,54.0,114.0,70.0,308.0,19.0,148.0,6.0,56.0,6.829e+16,-3.449e+16,-3.379e+16,2.317e+16,3.162e+16,1.079e+16,gcmt,gmt:042895A,unclassified
B110997B,1997-11-09T20:23:40,-71.87,-30.02,28.3,5.3,mw,325.0,29.0,32.0,206.0,75.0,115.0,53.0,146.0,24.0,19.0,26.0,276.0,,,,,,,us,gmt:110997B,unclassified
B110399D,1999-11-03T13:59:21,-73.38,-38.03,33.0,5.3,mw,28.0,7.0,132.0,166.0,85.0,85.0,50.0,71.0,5.0,167.0,39.0,261.0,,,,,,,us,gmt:110399D,unclassified
B110399E,1999-11-03T15:19:20,-73.53,-38.08,33.0,5.2,mw,96.0,55.0,179.0,187.0,89.0,35.0,25.0,57.0,55.0,188.0,24.0,316.0,,,,,,,us,gmt:110399E,unclassified
B042702B,2002-04-27T23:53:53,-67.39,-30.94,33.0,5.2,mw,341.0,41.0,31.0,227.0,71.0,127.0,50.0,178.0,34.0,33.0,17.0,291.0,,,,,,,us,gmt:042702B,unclassified
C052802A,2002-05-28T04:04:28,-66.81,-29.15,15.0,5.7,mw,180.0,19.0,55.0,36.0,74.0,101.0,59.0,322.0,11.0,213.0,29.0,117.0,6.275e+17,-3.67e+16,-5.909e+17,6.475e+17,7.481e+17,-1.655e+17,gcmt,neic:3153576,unclassified
B070202D,2002-07-02T20:21:05,-68.19,-31.43,27.0,5.0,mw,156.0,40.0,15.0,54.0,81.0,129.0,41.0,1.0,38.0,227.0,25.0,115.0,5.26e+16,9.37e+16,-1.463e+17,1.561e+17,6.08e+16,-5.709999999999999e+16,gcmt,neic:3208254;gmt:070202D,unclassified
B120402F,2002-12-04T21:03:03,-67.6,-30.06,29.5,4.9,mw,285.0,28.0,62.0,135.0,65.0,104.0,67.0,71.0,13.0,309.0,19.0,215.0,,,,,,,us,gmt:120402F,unclassified
B022803A,2003-02-28T01:40:25,-73.56,-35.41,15.0,5.1,mw,26.0,18.0,115.0,180.0,74.0,82.0,60.0,79.0,7.0,182.0,29.0,276.0,6.66e+16,3400000000000000.0,-6.999999999999999e+16,4800000000000000.0,-1.1000000000000002e+17,-1.63e+16,gcmt,gmt:022803A,unclassified
B041403A,2003-04-14T14:42:34,-72.9,-35.38,31.1,5.5,mw,18.0,44.0,158.0,124.0,75.0,48.0,44.0,353.0,40.0,137.0,19.0,244.0,3.22e+16,3.19e+16,-6.42e+16,6.36e+16,-1.3800000000000002e+16,3.27e+16,gcmt,gmt:041403A,unclassified
20031101031912,2003-11-01T03:19:11,-68.18,-35.48,49.7,5.1,mw,250.0,65.0,-164.0,153.0,75.0,-26.0,7.0,203.0,61.0,305.0,29.0,109.0,-1.36e+16,4.07e+16,-2.71e+16,280000000000000.0,2.09e+16,-3.13e+16,us,,unclassified
