id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
C091204C,2004-09-12T14:24:37,-70.01,-34.14,5.0,5.3,Mw,162.0,44.0,114.0,310.0,50.0,68.0,73.0,156.0,17.0,324.0,3.0,55.0,,,,,,,GCMT,,intra_arc_shallow
C200508231914A,2005-08-23T19:14:09,-69.14,-32.93,19.5,4.9,Mw,95.0,40.0,24.0,346.0,75.0,127.0,47.0,295.0,36.0,154.0,21.0,48.0,9070000000000000.0,-8120000000000002.0,-950000000000000.0,2390000000000000.0,1.71e+16,1.22e+16,GCMT,,intra_arc_shallow
C200608051403A,2006-08-05T14:03:50,-68.86,-33.2,32.0,5.6,Mw,137.0,39.0,44.0,10.0,64.0,120.0,59.0,323.0,27.0,176.0,14.0,78.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,GCMT,USGS:pde20060805140344230_25;NEIC:8568187,intra_arc_shallow
C200612311455A,2006-12-31T14:55:06,-71.4,-38.04,17.7,5.6,Mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,GCMT,NEIC:9140430,intra_arc_shallow
C200701232040A,2007-01-23T20:40:16,-73.07,-45.46,12.8,5.2,Mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,GCMT,OTHER:200701232040A;OTHER:200701280253A;OTHER:200702030900A;OTHER:200702231955A;OTHER:200704020249A;OTHER:200704211753A;OTHER:201102210538A;OTHER:201503131916A;OTHER:202408261621A,intra_arc_shallow
C200702030900A,2007-02-03T09:00:19,-73.03,-45.51,12.0,5.1,Mw,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,82.0,225.0,8.0,47.0,-3.4200000000000004e+16,2.36e+16,1.06e+16,-7199999999999999.0,8300000000000000.0,1.24e+17,GCMT,,intra_arc_shallow
C200702231955A,2007-02-23T19:55:50,-73.08,-45.51,16.6,5.5,Mw,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,67.0,210.0,22.0,46.0,-4.5e+16,1.53e+16,2.97e+16,-7.93e+16,1.3500000000000002e+17,3.79e+17,GCMT,,intra_arc_shallow
C200704020249A,2007-04-02T02:49:35,-73.06,-45.38,4.9,6.1,Mw,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,,,,,,,GCMT,,intra_arc_shallow
C200704020249A,2007-04-02T02:49:42,-73.04,-45.41,30.4,5.4,Mw,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,GCMT,,intra_arc_shallow
C200704211753A,2007-04-21T17:53:48,-72.95,-45.48,12.0,6.3,Mw,84.0,86.0,2.0,354.0,88.0,176.0,5.0,309.0,85.0,145.0,1.0,39.0,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8000000000000003e+17,2.77e+18,GCMT,NEIC:11931187,intra_arc_shallow
