id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B040189A,1989-04-01T21:58:18,-70.19,-32.86,119.0,5.7,mw,158.0,18.0,-122.0,10.0,75.0,-80.0,29.0,93.0,9.0,188.0,59.0,294.0,-4.807e+16,-1.821e+16,6.628e+16,-1.821e+16,-9.198e+16,-3970000000000000.0,gcmt,gmt:040189A,deep
C051490C,1990-05-14T21:34:09,-71.34,-35.89,92.0,5.7,mw,273.0,40.0,19.0,168.0,78.0,128.0,44.0,115.0,37.0,339.0,24.0,230.0,5.77e+17,-5.92e+17,1.4e+16,-1.64e+17,-1.458e+18,1.059e+18,gcmt,neic:369309;gmt:051490C,deep
B062990B,1990-06-29T06:31:30,-68.83,-28.66,117.3,5.3,mw,321.0,36.0,-80.0,129.0,55.0,-97.0,9.0,224.0,6.0,133.0,79.0,12.0,-9.596e+16,4.807e+16,4.789e+16,-3.015e+16,1.314e+16,-3.843e+16,gcmt,,deep
B090490F,1990-09-04T23:15:18,-68.66,-30.92,118.4,5.4,mw,215.0,44.0,-92.0,37.0,46.0,-88.0,1.0,126.0,1.0,216.0,88.0,356.0,-4.189e+17,1.276e+17,2.913e+17,-1.53e+16,-8300000000000000.0,2.503e+17,gcmt,gmt:090490F,deep
B122190F,1990-12-21T18:31:50,-69.7,-32.71,130.1,5.3,mw,289.0,47.0,-7.0,24.0,85.0,-137.0,24.0,149.0,47.0,30.0,33.0,256.0,-2.85e+16,9.75e+16,-6.899999999999999e+16,-5.15e+16,-1.004e+17,9.67e+16,gcmt,gmt:122190F,deep
B031591A,1991-03-15T18:51:08,-68.61,-28.86,124.5,5.5,mw,345.0,25.0,-68.0,140.0,67.0,-100.0,22.0,238.0,9.0,144.0,66.0,32.0,-5.792e+16,9210000000000000.0,4.871000000000001e+16,-4.125e+16,4.275e+16,-3.051e+16,gcmt,,deep
B091591E,1991-09-15T22:56:26,-69.96,-31.58,123.2,5.2,mw,262.0,87.0,0.0,172.0,90.0,177.0,2.0,127.0,87.0,351.0,2.0,217.0,1.17e+16,-1.936e+17,1.819e+17,4500000000000000.0,-3.22e+16,6.721e+17,gcmt,gmt:091591E,deep
B120191C,1991-12-01T22:41:23,-69.55,-32.03,114.0,5.2,mw,197.0,46.0,-121.0,58.0,52.0,-62.0,3.0,129.0,22.0,220.0,68.0,32.0,-1.074e+17,2.52e+16,8.21e+16,-2.26e+16,600000000000000.0,1.199e+17,gcmt,gmt:120191C,deep
B110192F,1992-11-01T09:36:50,-69.51,-29.06,118.7,5.6,mw,341.0,17.0,-72.0,142.0,74.0,-95.0,29.0,237.0,5.0,144.0,60.0,45.0,-9.043e+16,3.096e+16,5.947e+16,-7.981e+16,9.15e+16,-9520000000000000.0,gcmt,,deep
C060893F,1993-06-08T23:17:47,-69.13,-31.62,124.5,6.4,mw,40.0,41.0,-95.0,226.0,49.0,-86.0,4.0,313.0,3.0,44.0,85.0,172.0,-2.988e+18,1.386e+18,1.601e+18,4.03e+17,2.08e+17,1.768e+18,gcmt,neic:227125;gmt:060893F,deep
B102094A,1994-10-20T01:15:16,-70.8,-39.19,164.0,5.9,mw,234.0,15.0,161.0,343.0,85.0,76.0,48.0,238.0,14.0,344.0,39.0,86.0,16800000000.0,12600000000.0,-29300000000.0,-30400000000.0,84200000000.0,-26400000000.0,us,neic:151335;gmt:102094A,deep
B080395E,1995-08-03T08:19:01,-69.22,-28.26,121.2,5.9,mw,338.0,36.0,-100.0,170.0,54.0,-83.0,9.0,255.0,6.0,346.0,79.0,108.0,-6.17e+17,8.65e+16,5.305e+17,1.9e+16,2.035e+17,-1.3999999999999998e+17,gcmt,neic:87160,deep
B021097B,1997-02-10T10:52:09,-68.75,-32.93,149.0,5.3,mw,317.0,15.0,-31.0,77.0,82.0,-103.0,36.0,178.0,13.0,79.0,51.0,333.0,,,,,,,us,gmt:021097B,deep
B032597A,1997-03-25T00:14:50,-70.62,-33.45,89.9,5.5,mw,158.0,59.0,-161.0,58.0,74.0,-33.0,10.0,111.0,54.0,215.0,34.0,14.0,-6.04e+16,-1.123e+17,1.727e+17,-1.1279999999999998e+17,-8000000000000000.0,1.068e+17,gcmt,gmt:032597A,deep
B042097B,1997-04-20T19:53:22,-70.39,-33.85,115.5,5.3,mw,181.0,13.0,-93.0,4.0,77.0,-89.0,32.0,93.0,1.0,184.0,58.0,275.0,-1.077e+17,-3e+16,1.3779999999999998e+17,-1.85e+16,-2.522e+17,8300000000000000.0,gcmt,gmt:042097B,deep
B061997F,1997-06-19T12:21:07,-70.19,-33.15,115.9,5.4,mw,150.0,24.0,-137.0,20.0,74.0,-72.0,27.0,95.0,17.0,195.0,57.0,313.0,-7.006e+16,-9930000000000000.0,7.998e+16,-5.121000000000001e+16,-9.756e+16,-1.321e+16,gcmt,neic:1032843;gmt:061997F,deep
B082498B,1998-08-24T02:45:31,-69.32,-32.84,115.0,5.0,mw,102.0,29.0,-106.0,300.0,62.0,-81.0,16.0,24.0,8.0,116.0,72.0,231.0,-4.466e+16,4.109e+16,3570000000000000.0,2.462e+16,-1.851e+16,-1.772e+16,gcmt,gmt:082498B,deep
B102998B,1998-10-29T19:55:58,-70.46,-32.56,109.5,4.9,mw,165.0,47.0,164.0,266.0,78.0,44.0,39.0,135.0,45.0,278.0,19.0,29.0,3.042e+16,-3.98e+16,9380000000000000.0,-6.503e+16,-1.914e+16,7.303e+16,gcmt,gmt:102998B,deep
B112798D,1998-11-27T10:27:06,-69.21,-32.04,128.9,5.2,mw,191.0,45.0,-107.0,35.0,47.0,-74.0,1.0,113.0,12.0,203.0,78.0,19.0,-1.681e+17,1.02e+16,1.579e+17,-3.19e+16,7500000000000000.0,7.67e+16,gcmt,gmt:112798D,deep
B121198B,1998-12-11T08:37:53,-68.94,-31.52,127.8,5.5,mw,32.0,41.0,-97.0,221.0,49.0,-84.0,4.0,306.0,4.0,37.0,84.0,174.0,-1.3959999999999998e+17,4.11e+16,9.85e+16,2.01e+16,1.26e+16,9.4e+16,gcmt,gmt:121198B,deep
pde19981214162524980_138,1998-12-14T16:25:24,-71.033,-38.214,135.0,6.0,mwb,350.0,85.0,-90.0,170.0,5.0,-90.0,45.00000000000001,260.0,3.1805546814635176e-15,350.0,45.00000000000004,80.0,-6000000000.0,-38000000000.0,43000000000.0,24000000000.0,-82000000000.0,36000000000.0,us,neic:1333806,deep
B020599D,1999-02-05T16:07:10,-70.56,-34.78,99.0,5.0,mw,126.0,47.0,146.0,241.0,66.0,48.0,51.0,103.0,37.0,261.0,11.0,359.0,4.761999999999999e+16,-6.595e+16,1.833e+16,-2.171e+16,-6.548e+16,1.162e+16,gcmt,gmt:020599D,deep
B042599B,1999-04-25T09:10:48,-69.34,-31.91,120.0,5.3,mw,36.0,42.0,-62.0,181.0,54.0,-113.0,6.0,286.0,18.0,194.0,71.0,35.0,-8.96e+16,-2.11e+16,1.1080000000000002e+17,-1.36e+16,2.86e+16,4.53e+16,gcmt,gmt:042599B,deep
B052299A,1999-05-22T01:32:13,-70.48,-36.78,158.8,5.3,mw,204.0,12.0,-65.0,359.0,80.0,-95.0,34.0,93.0,5.0,0.0,55.0,263.0,,,,,,,us,gmt:052299A,deep
B080299A,1999-08-02T01:06:43,-70.1,-33.08,107.9,5.2,mw,141.0,19.0,-151.0,23.0,81.0,-73.0,34.0,99.0,17.0,201.0,51.0,313.0,-5.91e+16,-5.560000000000001e+16,1.147e+17,-8.11e+16,-1.879e+17,-7600000000000000.0,gcmt,gmt:080299A,deep
C061600B,2000-06-16T07:55:39,-69.92,-33.95,109.1,6.2,mw,219.0,33.0,-67.0,11.0,60.0,-105.0,14.0,112.0,13.0,19.0,71.0,248.0,-3.805e+18,2.61e+17,3.544e+18,3.1e+16,-2.307e+18,1.862e+18,gcmt,us:pde20000616075535390_120;neic:1736564;gmt:061600B,deep
B033101B,2001-03-31T06:54:20,-68.33,-29.49,125.4,5.5,mw,332.0,43.0,-49.0,102.0,59.0,-122.0,9.0,214.0,27.0,120.0,62.0,320.0,-1.038e+17,8.23e+16,2.15e+16,-5.689999999999999e+16,-1.54e+16,-9.2e+16,gcmt,neic:1800532,deep
B101701A,2001-10-17T02:34:47,-68.96,-28.43,135.6,5.3,mw,310.0,34.0,-119.0,163.0,60.0,-72.0,14.0,240.0,16.0,334.0,69.0,111.0,-1.159e+17,3.33e+16,8.26e+16,3000000000000000.0,7.24e+16,-6.04e+16,gcmt,neic:2238618,deep
C092402B,2002-09-24T03:57:26,-69.12,-31.48,119.9,6.2,mw,27.0,39.0,-94.0,212.0,51.0,-87.0,6.0,300.0,2.0,30.0,83.0,141.0,-2.633e+18,5.68e+17,2.065e+18,3.91e+17,4.63e+17,1.278e+18,gcmt,us:pde20020924035722280_119;neic:3379719;gmt:092402B,deep
B093002B,2002-09-30T13:06:01,-71.07,-35.17,113.9,5.4,mw,222.0,23.0,-73.0,23.0,68.0,-97.0,23.0,119.0,7.0,26.0,66.0,281.0,-7.017e+16,2.646e+16,4.372e+16,-2.087e+16,-6.472000000000001e+16,2.426e+16,gcmt,gmt:093002B,deep
B122602C,2002-12-26T22:20:24,-68.55,-31.46,122.5,5.2,mw,347.0,37.0,-81.0,156.0,54.0,-97.0,9.0,251.0,6.0,160.0,80.0,37.0,-9.987e+16,3.4e+16,6.587e+16,-2.118e+16,1.982e+16,-1.017e+16,gcmt,gmt:122602C,deep
B010703A,2003-01-07T00:54:55,-70.22,-33.6,112.8,6.0,mw,199.0,28.0,-70.0,356.0,64.0,-100.0,19.0,94.0,9.0,1.0,69.0,246.0,-3.17e+17,-1.92e+16,3.37e+17,4.58e+16,-2.52e+17,4.55e+16,gcmt,gmt:010703A,deep
B051803C,2003-05-18T21:10:25,-69.18,-31.46,122.3,5.5,mw,43.0,41.0,-82.0,213.0,49.0,-97.0,4.0,308.0,5.0,218.0,84.0,75.0,-1.32e+17,4.6e+16,8.6e+16,3599999999999999.5,2.13e+16,8.31e+16,gcmt,neic:6843892;gmt:051803C,deep
B052703D,2003-05-27T08:29:49,-68.7,-31.32,127.5,5.7,mw,223.0,37.0,-75.0,25.0,54.0,-101.0,9.0,122.0,9.0,31.0,78.0,256.0,-2.16e+17,6.52e+16,1.51e+17,-6800000000000000.0,-7.59e+16,1.04e+17,gcmt,neic:6851922;gmt:052703D,deep
B092803G,2003-09-28T17:40:44,-71.11,-35.54,105.2,5.2,mw,245.0,17.0,-66.0,39.0,74.0,-97.0,29.0,135.0,7.0,41.0,60.0,299.0,-3.04e+16,1.97e+16,1.07e+16,-2.21e+16,-3.34e+16,2970000000000000.0,gcmt,gmt:092803G,deep
C043004A,2004-04-30T10:03:47,-70.5,-33.59,102.0,5.2,mw,157.0,35.0,-133.0,26.0,65.0,-64.0,16.0,97.0,23.0,194.0,61.0,335.0,-2.92e+16,-1.07e+16,3.99e+16,-1.6200000000000002e+16,-1.99e+16,2160000000000000.0,gcmt,gmt:043004A,deep
C200503302331A,2005-03-30T23:31:24,-71.12,-35.26,103.9,5.2,mw,203.0,36.0,-92.0,26.0,54.0,-88.0,9.0,115.0,1.0,205.0,81.0,304.0,-2.43e+16,1640000000000000.0,2.26e+16,-3960000000000000.0,-7290000000000000.0,1.23e+16,gcmt,gmt:200503302331A,deep
C200505191556A,2005-05-19T15:56:38,-69.41,-32.0,104.0,4.9,mw,288.0,53.0,-150.0,179.0,66.0,-41.0,8.0,236.0,44.0,334.0,45.0,138.0,-1.57e+16,-170000000000000.0,1.58e+16,3370000000000000.0,1.07e+16,-2.28e+16,gcmt,gmt:200505191556A,deep
C200506080239A,2005-06-08T02:39:39,-69.29,-28.52,134.5,5.1,mw,1.0,32.0,120.0,147.0,63.0,73.0,68.0,24.0,15.0,155.0,16.0,250.0,5.7e+16,-8450000000000000.0,-4.85e+16,3.19e+16,-2.38e+16,8930000000000000.0,gcmt,,deep
