id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B072886B,1986-07-28T20:29:05,-72.47,-33.53,18.2,5.3,mw,4.0,22.0,100.0,174.0,68.0,86.0,66.0,77.0,4.0,176.0,23.0,267.0,2.797e+17,2.29e+16,-3.026e+17,3.99e+16,-3.052e+17,6200000000000000.0,gcmt,gmt:072886B,subduction_interface
B020387A,1987-02-03T16:42:46,-73.3,-37.69,28.4,5.7,mw,357.0,16.0,95.0,172.0,74.0,89.0,61.0,80.0,1.0,172.0,29.0,263.0,3.331e+17,4.16e+16,-3.748e+17,8.58e+16,-5.593e+17,4.64e+16,gcmt,neic:473671;gmt:020387A,subduction_interface
B051987B,1987-05-19T12:56:34,-72.07,-30.71,22.8,6.1,mw,355.0,32.0,88.0,177.0,58.0,91.0,77.0,92.0,1.0,357.0,13.0,266.0,1.578e+18,5.16e+17,-2.0950000000000005e+18,3e+16,-8.73e+17,1.78e+17,gcmt,gmt:051987B,subduction_interface
B041789A,1989-04-17T04:55:28,-71.85,-30.92,15.0,5.0,mw,351.0,23.0,85.0,176.0,67.0,92.0,68.0,90.0,2.0,355.0,22.0,265.0,4.434e+16,1.649e+16,-6.083e+16,3410000000000000.5,-5.019e+16,7980000000000000.0,gcmt,gmt:041789A,subduction_interface
B042190B,1990-04-21T18:54:56,-73.79,-37.28,19.9,5.7,mw,352.0,17.0,80.0,183.0,73.0,93.0,62.0,98.0,3.0,2.0,28.0,271.0,3.555e+17,2.45e+16,-3.8e+17,-3.99e+16,-5.435e+17,1.29e+16,gcmt,us:choy19900421185452;neic:373223;gmt:042190B,subduction_interface
B042290A,1990-04-22T20:25:27,-73.6,-38.07,31.0,5.6,mw,347.0,16.0,81.0,177.0,74.0,93.0,61.0,91.0,3.0,356.0,29.0,264.0,1.84e+17,7800000000000000.0,-1.919e+17,1.34e+16,-2.978e+17,2.83e+16,gcmt,gmt:042290A,subduction_interface
B051892B,1992-05-18T03:02:26,-72.03,-33.61,15.0,5.8,mw,19.0,8.0,120.0,169.0,83.0,86.0,52.0,75.0,4.0,170.0,38.0,263.0,4.69e+17,-9.7e+16,-3.73e+17,3.37e+17,-1.655e+18,-7.000000000000001e+16,gcmt,gmt:051892B,subduction_interface
B102992F,1992-10-29T14:39:17,-71.1,-29.26,46.0,5.3,mw,130.0,17.0,-11.0,231.0,87.0,-107.0,40.0,336.0,17.0,232.0,46.0,124.0,,,,,,,us,,subduction_interface
B110492E,1992-11-04T21:32:41,-72.21,-31.98,19.2,5.8,mw,0.0,28.0,93.0,177.0,62.0,89.0,73.0,84.0,1.0,177.0,17.0,268.0,1.076e+18,-2.3e+16,-1.053e+18,5.6e+16,-7.33e+17,3e+16,gcmt,neic:261004;gmt:110492E,subduction_interface
B010193C,1993-01-01T09:56:27,-71.54,-31.59,27.0,5.3,mw,356.0,19.0,92.0,174.0,71.0,89.0,64.0,83.0,1.0,174.0,26.0,265.0,,,,,,,us,gmt:010193C,subduction_interface
B031993B,1993-03-19T01:48:12,-71.58,-27.04,15.0,5.6,mw,351.0,19.0,91.0,170.0,71.0,90.0,64.0,80.0,0.0,170.0,26.0,260.0,5.6900000000000006e+17,4.78e+16,-6.168e+17,1.321e+17,-7.488e+17,1.177e+17,gcmt,,subduction_interface
B071693C,1993-07-16T21:21:35,-72.56,-33.32,19.2,5.3,mw,7.0,18.0,111.0,164.0,73.0,83.0,62.0,64.0,7.0,167.0,28.0,260.0,1.913e+17,1.27e+16,-2.041e+17,8.7e+16,-2.714e+17,1.82e+16,gcmt,gmt:071693C,subduction_interface
