id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class,sub_depth
B083079A,1979-08-30T18:59:45,-67.63,-31.38,32.0,5.5,mwc,,,,,354.0,31.0,35.0,233.0,73.0,116.0,1.052e+17,1.62e+16,-1.214e+17,-1.4039999999999998e+17,-6.47e+16,-6.52e+16,anss,,backarc,
B011480E,1980-01-14T21:51:01,-69.46,-33.19,14.0,5.6,mwc,,,,,141.0,69.0,5.0,49.0,85.0,159.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,anss,,intraarc_shallow,
B040980B,1980-04-09T08:17:55,-67.48,-31.65,10.0,5.3,mwc,,,,,340.0,37.0,136.0,108.0,65.0,61.0,9.042e+16,-4.144e+16,-4.898e+16,8.311e+16,1.369e+16,5.894e+16,anss,,backarc,
B082980A,1980-08-29T10:38:13,-73.1,-39.66,34.0,5.4,mwc,,,,,171.0,29.0,140.0,298.0,72.0,67.0,8.34e+16,-1.58e+16,-6.760000000000001e+16,-1.054e+17,2.24e+16,4.74e+16,anss,,forearc,55.4285469055
B111080A,1980-11-10T16:24:40,-67.47,-31.58,21.0,5.6,mwc,,,,,133.0,31.0,49.0,358.0,67.0,111.0,2.53e+17,-4.24e+16,-2.106e+17,6.35e+16,2.415e+17,1.167e+17,anss,,backarc,
B031681A,1981-03-16T13:40:46,-71.79,-35.53,55.0,5.4,mwc,,,,,252.0,46.0,-39.0,11.0,63.0,-129.0,-8.331e+16,2.665e+16,5.667e+16,1.611e+16,-6.269e+16,9.187e+16,anss,,forearc,61.4952545166
B072881B,1981-07-28T03:03:21,-73.2,-41.57,43.0,5.6,mwc,,,,,44.0,59.0,17.0,305.0,75.0,148.0,6.37e+16,-2.863e+17,2.226e+17,-7.46e+16,1.733e+17,-5.500000000000001e+16,anss,,forearc,56.9438400269
B012685A,1985-01-26T03:07:02,-68.54,-33.15,38.0,5.9,mwc,,,,,158.0,38.0,65.0,9.0,56.0,108.0,8.699999999999999e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,anss,,backarc,
B030485B,1985-03-04T06:06:57,-72.08,-33.43,10.0,6.3,mwc,0.25,0.18,0.0,,215.0,24.0,143.0,340.0,76.0,70.0,1.579e+18,7.2e+17,-2.299e+18,-1.231e+18,2.721e+18,-3.16e+17,anss,,forearc,20.5446720123
B032385B,1985-03-23T14:36:57,-72.54,-33.44,10.0,5.5,mwc,0.07,0.07,0.0,,16.0,46.0,118.0,159.0,51.0,65.0,2.2480000000000003e+17,3.62e+16,-2.61e+17,7.67e+16,-1.97e+16,1.32e+16,anss,,forearc,11.6786355972
B110685B,1985-11-06T16:08:53,-74.3,-41.0,15.9,5.3,mwc,0.14,0.09,5.6,,221.0,49.0,-52.0,351.0,53.0,-125.0,-7.53e+16,-1.265e+16,8.795e+16,3.475e+16,-1.689e+16,3.114e+16,anss,,forearc,18.8460140228
B081186E,1986-08-11T22:06:49,-67.76,-31.19,26.5,5.3,mw,0.07,0.06,5.5,,187.0,49.0,167.0,285.0,80.0,41.0,2.675e+16,2.631e+16,-5.305e+16,-8.654e+16,530000000000000.0,9.006e+16,gcmt,,backarc,
B080487A,1987-08-04T15:04:40,-73.1,-40.46,38.0,5.4,mwc,,,,,84.0,48.0,32.0,331.0,67.0,133.0,7.807e+16,-9.710000000000002e+16,1.904e+16,-7540000000000000.0,7.233e+16,8.77e+16,anss,,forearc,57.5882110596
B091387C,1987-09-13T20:08:51,-69.97,-34.19,10.0,5.9,mwc,,,,,27.0,58.0,176.0,119.0,87.0,32.0,-2200000000000000.0,5.529e+17,-5.507e+17,4.011e+17,-1.2410000000000002e+17,3.47e+17,anss,,intraarc_shallow,
B022489C,1989-02-24T12:36:59,-71.83,-39.26,15.0,5.2,mwc,0.09,0.1,0.0,,110.0,62.0,23.0,9.0,70.0,150.0,2.3650000000000004e+16,2.289e+16,-4.654e+16,4.16e+16,3.467e+16,6.386999999999999e+16,anss,,intraarc_shallow,
choy19900421185452,1990-04-21T18:54:52,-73.3,-36.99,12.0,6.3,mw,,,,,352.0,17.0,80.0,183.0,73.0,93.0,3.555e+17,2.45e+16,-3.8e+17,-3.99e+16,-5.435e+17,1.29e+16,anss,gcmt:B042190B,forearc,29.0535297394
B042895A,1995-04-28T02:04:19,-71.814341,-31.705707,23.9661,5.1,mwc,relocated,relocated,relocated,,126.0,42.0,61.0,342.0,54.0,114.0,6.829e+16,-3.449e+16,-3.379e+16,2.317e+16,3.162e+16,1.079e+16,anss,,forearc,26.0551509857
B121897B,1997-12-18T12:30:03,-73.04,-41.82,47.5,5.2,mwc,,,,,87.0,27.0,37.0,323.0,74.0,112.0,3.339e+16,-3.686e+16,3470000000000000.0,-2.889e+16,4.644e+16,2.567e+16,anss,,forearc,65.2060012817
B030599B,1999-03-05T03:35:14,-69.63945,-34.97074,-1.9194,5.9,mwc,relocated,relocated,relocated,,170.0,12.0,69.0,12.0,79.0,94.0,3.858e+17,-2.7300000000000004e+16,-3.585e+17,2.023e+17,8.644e+17,4500000000000000.0,anss,,intraarc_shallow,
B032799B,1999-03-27T11:13:34,-71.85,-40.32,15.0,5.4,mwc,0.07,0.05,0.0,,174.0,72.0,174.0,266.0,85.0,18.0,-1.28e+16,-2e+16,3.27e+16,-5.779999999999999e+16,-3.24e+16,1.7e+17,anss,,intraarc_shallow,
pde20010303115813350_33,2001-03-03T11:58:13,-72.484566,-35.58008,6.1815,5.9,mwc,relocated,relocated,relocated,,0.0,60.0,-90.0,180.0,30.0,-90.0,-4.3840000000000006e+17,-2.72e+16,4.656e+17,1.2809999999999998e+17,-4.8230000000000006e+17,2.492e+17,anss,gcmt:B030301E,forearc,36.9489326477
B101201B,2001-10-12T04:21:31,-69.74,-33.3,3.8,5.3,mwc,,,,,222.0,78.0,171.0,314.0,81.0,12.0,-7099999999999999.0,1.041e+17,-9.7e+16,-3.09e+16,2000000000000000.0,7700000000000000.0,anss,,intraarc_shallow,
B042702B,2002-04-27T23:53:58,-67.78,-31.72,49.3,5.2,mw,0.06,0.07,4.7,,341.0,41.0,31.0,227.0,71.0,127.0,3.96e+16,3.009e+16,-6.969e+16,-2.952e+16,-3.421e+16,-3.793e+16,gcmt,,backarc,
B052402A,2002-05-24T00:23:15,-71.156424,-32.158871,37.1803,5.5,mwc,relocated,relocated,relocated,,9.0,40.0,107.0,167.0,52.0,76.0,2.272e+17,9400000000000000.0,-2.3650000000000003e+17,4.83e+16,-4.6e+16,7700000000000000.0,anss,,forearc,53.6737518311
B041403A,2003-04-14T14:42:31,-72.741942,-35.32198,23.9916,5.2,mwc,relocated,relocated,relocated,,18.0,44.0,158.0,124.0,75.0,48.0,3.22e+16,3.19e+16,-6.42e+16,6.36e+16,-1.3800000000000002e+16,3.27e+16,anss,,forearc,25.0290813446
20031101031912,2003-11-01T03:19:11,-67.107329,-35.421243,-0.3893,5.1,mwc,relocated,relocated,relocated,,250.0,65.0,-164.0,153.0,75.0,-26.0,-1.36e+16,4.07e+16,-2.71e+16,280000000000000.0,2.09e+16,-3.13e+16,anss,gcmt:B110103B,backarc,
C031704I,2004-03-17T16:49:49,-65.770092,-32.191741,0.4163,5.0,mw,relocated,relocated,relocated,,172.0,39.0,79.0,5.0,52.0,99.0,4.16e+16,8290000000000000.0,-4.99e+16,4080000000000000.0,1.04e+16,1220000000000000.0,gcmt,,backarc,
pde20040503043650040_21,2004-05-03T04:36:50,-73.917887,-37.856323,11.3702,6.6,mwb,relocated,relocated,relocated,,0.0,16.0,118.0,151.0,76.0,82.0,4.85e+18,4e+16,-4.89e+18,4.66e+18,-7.86e+18,1.34e+18,anss,gcmt:C050304A,forearc,19.6579418182
pde20040828134125600_5,2004-08-28T13:41:25,-70.413273,-35.19566,7.1576,6.5,mwb,relocated,relocated,relocated,,21.0,61.0,-178.0,290.0,88.0,-29.0,-2e+17,4.190000000000001e+18,-3.99e+18,3.18e+18,-1.36e+18,4.78e+18,anss,gcmt:C082804C,intraarc_shallow,
C083004F,2004-08-30T16:08:18,-72.1,-50.65,12.0,5.1,mw,0.03,0.03,0.0,,355.0,35.0,73.0,196.0,57.0,102.0,4.56e+16,3210000000000000.0,-4.88e+16,-1.04e+16,-1.78e+16,-5270000000000000.0,gcmt,,backarc,
C091004D,2004-09-10T10:44:17,-72.653646,-38.195333,45.6996,5.2,mwc,relocated,relocated,relocated,,30.0,48.0,62.0,248.0,49.0,118.0,8.16e+16,-4.78e+16,-3.3800000000000004e+16,-2.11e+16,2.17e+16,-5.2e+16,anss,,forearc,57.463760376
C091204C,2004-09-12T14:24:37,-70.008383,-34.174997,0.1909,5.3,mwc,relocated,relocated,relocated,,162.0,44.0,114.0,310.0,50.0,68.0,1.09e+17,-3.1e+16,-7.83e+16,-3.4200000000000004e+16,-8300000000000000.0,5.94e+16,anss,,intraarc_shallow,
C200512260056A,2005-12-26T00:56:10,-72.429469,-39.280548,37.5044,5.1,mwc,relocated,relocated,relocated,,4.0,32.0,89.0,185.0,58.0,91.0,5.36e+16,2530000000000000.0,-5.61e+16,-2790000000000000.5,-2.7400000000000004e+16,-4940000000000000.0,anss,,forearc,79.4643859863
pde20060805140344230_25,2006-08-05T14:03:44,-68.858218,-33.155405,5.0712,5.6,mwc,relocated,relocated,relocated,,125.0,50.0,90.0,305.0,40.0,90.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,anss,gcmt:C200608051403A,backarc,
C200612311455A,2006-12-31T14:55:02,-71.11,-37.94,20.6,5.5,mwc,,,,,31.0,86.0,178.0,121.0,88.0,4.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,anss,,intraarc_shallow,
C200701232040A,2007-01-23T20:40:16,-72.19,-45.31,32.0,5.3,mwc,,,8.1,,264.0,89.0,-1.0,354.0,89.0,-179.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,anss,,intraarc_shallow,
C200702030900A,2007-02-03T09:00:15,-73.090392,-45.413134,3.0505,5.3,mwc,relocated,relocated,relocated,,91.0,84.0,-6.0,182.0,84.0,-174.0,-3.4200000000000004e+16,2.36e+16,1.06e+16,-7199999999999999.0,8300000000000000.0,1.24e+17,anss,,intraarc_shallow,
C200702231955A,2007-02-23T19:55:48,-73.032868,-45.385461,7.5138,5.7,mwc,relocated,relocated,relocated,,87.0,70.0,-12.0,181.0,79.0,-160.0,-4.5e+16,1.53e+16,2.97e+16,-7.93e+16,1.3500000000000002e+17,3.79e+17,anss,,intraarc_shallow,
C200703291440A,2007-03-29T14:40:44,-71.156099,-32.536707,31.0946,5.6,mwc,relocated,relocated,relocated,,12.0,19.0,91.0,191.0,71.0,90.0,1.89e+17,2.27e+16,-2.12e+17,-4.94e+16,-2.54e+17,-4.88e+16,anss,,forearc,53.1773414612
C200703291832A,2007-03-29T18:31:58,-71.162868,-32.802233,14.0009,5.0,mwc,relocated,relocated,relocated,,347.0,31.0,85.0,172.0,59.0,93.0,3.43e+16,1230000000000000.0,-3.55e+16,1729999999999999.8,-1.88e+16,6960000000000000.0,anss,,forearc,53.1518173218
C200704020249A,2007-04-02T02:49:35,-73.059701,-45.378045,5.53,6.1,mwc,relocated,relocated,relocated,,53.0,43.0,-86.0,228.0,47.0,-94.0,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,anss,,intraarc_shallow,
C200704211753A,2007-04-21T17:53:46,-72.65,-45.24,36.7,6.2,mwc,,,6.5,,84.0,86.0,2.0,354.0,88.0,176.0,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8000000000000003e+17,2.77e+18,anss,,intraarc_shallow,
C200704220605A,2007-04-22T06:05:28,-71.537512,-32.534205,6.8157,5.1,mwc,relocated,relocated,relocated,,348.0,28.0,61.0,201.0,66.0,105.0,3.47e+16,5639999999999999.0,-4.03e+16,-1.5e+16,-2.79e+16,-4530000000000000.0,anss,,forearc,36.0971603394
C200805020551A,2008-05-02T05:51:24,-72.27,-42.77,10.0,5.2,mwc,,,,,206.0,77.0,-177.0,115.0,87.0,-13.0,-3.55e+16,8.82e+16,-5.28e+16,-1.85e+16,1500000000000000.0,5.590000000000001e+16,anss,,intraarc_shallow,
C200805030236A,2008-05-03T02:36:12,-72.25,-42.78,10.0,5.0,mwc,,,,,280.0,52.0,-31.0,31.0,66.0,-137.0,-1.98e+16,2.9e+16,-9160000000000000.0,9930000000000000.0,-3.8e+16,1.66e+16,anss,,intraarc_shallow,
C200805240243A,2008-05-24T02:43:36,-72.549257,-42.111176,5.1816,5.4,mwc,relocated,relocated,relocated,,84.0,57.0,-11.0,180.0,81.0,-146.0,-6.999999999999999e+16,4500000000000000.0,6.55e+16,3.03e+16,8.34e+16,1.57e+17,anss,,intraarc_shallow,
C200903111306A,2009-03-11T13:06:53,-69.39146,-31.899018,0.6495,5.3,mwc,relocated,relocated,relocated,,190.0,44.0,109.0,344.0,49.0,72.0,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8000000000000000.0,7800000000000000.0,anss,,backarc,
C200910280620A,2009-10-28T06:20:02,-71.968623,-32.809443,12.3079,5.0,mwc,relocated,relocated,relocated,,164.0,43.0,86.0,349.0,47.0,94.0,3.88e+16,-2590000000000000.0,-3.62e+16,1160000000000000.0,2980000000000000.0,8360000000000000.0,anss,,forearc,22.7623958588
pde20100227172430590_19,2010-02-27T17:24:30,-73.208,-36.354,19.0,6.1,mwb,,,,,226.0,63.0,51.0,107.0,46.0,141.0,9.4e+17,-1.34e+18,3.9e+17,-2.1e+17,-7.4e+17,-4.5e+17,anss,,forearc,27.9037513733
C201002281125A,2010-02-28T11:25:35,-71.81262,-34.967995,7.3617,6.2,mwc,relocated,relocated,relocated,,17.0,25.0,113.0,171.0,67.0,80.0,1.65e+18,1.95e+17,-1.84e+18,3.93e+17,-1.64e+18,-1.13e+17,anss,,forearc,49.3663215637
C201003011656A,2010-03-01T16:56:49,-72.47,-36.3,35.0,5.0,mwc,,,,,43.0,35.0,125.0,182.0,62.0,68.0,2.5e+16,2650000000000000.0,-2.77e+16,3140000000000000.0,-1.8e+16,-1.39e+16,anss,,forearc,49.9037818909
C201003020209A,2010-03-02T02:09:35,-71.37,-39.76,24.8,5.1,mwc,,,11.2,,176.0,65.0,-168.0,80.0,79.0,-25.0,470000000000000.0,-1.52e+16,1.47e+16,-3.2e+16,1.53e+16,5.28e+16,anss,,intraarc_shallow,
C201003021130A,2010-03-02T11:30:31,-72.620695,-34.990088,0.5138,5.0,mwc,relocated,relocated,relocated,,198.0,67.0,-163.0,101.0,74.0,-24.0,-1.85e+16,2.81e+16,-9510000000000000.0,-8520000000000000.0,3000000000000000.0,3.22e+16,anss,,forearc,24.1707077026
C201003030616A,2010-03-03T06:16:22,-72.227238,-33.751381,7.0884,5.2,mwc,relocated,relocated,relocated,,10.0,22.0,99.0,180.0,68.0,86.0,5.15e+16,2870000000000000.0,-5.44e+16,2070000000000000.0,-5.43e+16,-4330000000000000.0,anss,,forearc,18.7931900024
C201003050334A,2010-03-05T03:34:28,-71.877182,-34.563802,11.0094,5.4,mwc,relocated,relocated,relocated,,1.0,38.0,-77.0,165.0,53.0,-100.0,-1.48e+17,-3.67e+16,1.85e+17,-2.24e+16,4.2e+16,-3.07e+16,anss,,forearc,38.3177680969
C201003050355A,2010-03-05T03:55:14,-71.88318,-34.612959,11.1325,5.3,mwc,relocated,relocated,relocated,,319.0,75.0,177.0,50.0,87.0,15.0,-600000000000000.0,-8.98e+16,9.04e+16,1.53e+16,2.09e+16,1.3800000000000002e+16,anss,,forearc,39.1373329163
20100305091936,2010-03-05T09:19:39,-73.564601,-36.573504,6.5931,6.1,mwc,relocated,relocated,relocated,,11.0,8.0,116.0,164.0,83.0,87.0,4.6e+17,6.3e+16,-5.23e+17,5.21e+17,-1.83e+18,3.8e+16,anss,gcmt:C201003050919A,forearc,21.3021831512
C201003072346A,2010-03-07T23:46:57,-73.276893,-36.165908,19.2263,5.1,mwc,relocated,relocated,relocated,,26.0,21.0,-119.0,237.0,72.0,-80.0,-2.82e+16,1.24e+16,1.58e+16,3.48e+16,1.98e+16,1.76e+16,anss,,forearc,23.7265148163
C201003081808A,2010-03-08T18:08:01,-71.851278,-32.681839,4.8969,5.3,mwc,relocated,relocated,relocated,,353.0,26.0,89.0,175.0,64.0,91.0,8.04e+16,-600000000000000.0,-7.98e+16,5300000000000000.0,-6.19e+16,8699999999999998.0,anss,,forearc,25.6241493225
C201003111439A,2010-03-11T14:39:44,-71.89,-34.29,11.0,6.9,mwc,,,,,324.0,35.0,-90.0,144.0,55.0,-90.0,-2.33e+19,8.58e+18,1.47e+19,-4.69e+18,6.43e+18,-9.55e+18,anss,,forearc,34.5272293091
C201003112011A,2010-03-11T20:11:20,-72.050695,-34.408577,10.7916,5.6,mwc,relocated,relocated,relocated,,3.0,44.0,-61.0,146.0,52.0,-115.0,-3.27e+17,1.48e+16,3.12e+17,-1.41e+17,7199999999999999.0,-8.64e+16,anss,,forearc,30.960111618
C201003121650A,2010-03-12T16:50:01,-72.067622,-34.316248,28.228,5.7,mwc,relocated,relocated,relocated,,342.0,40.0,-87.0,158.0,50.0,-92.0,-3.95e+17,2.49e+16,3.7e+17,-3.81e+16,6.830000000000001e+16,-1.47e+17,anss,,forearc,29.6160202026
C201003130712A,2010-03-13T07:12:03,-71.995987,-34.397626,0.1557,5.1,mwc,relocated,relocated,relocated,,345.0,45.0,-81.0,152.0,46.0,-99.0,-4.51e+16,-2570000000000000.0,4.769999999999999e+16,-3890000000000000.0,-330000000000000.0,-2.33e+16,anss,,forearc,32.5734825134
C201003131034A,2010-03-13T10:34:43,-74.082478,-37.610073,1.556,5.8,mwc,relocated,relocated,relocated,,7.0,19.0,102.0,175.0,71.0,86.0,3.56e+17,1.16e+16,-3.67e+17,5.39e+16,-4.62e+17,-6100000000000000.0,anss,,forearc,15.6854705811
C201003131522A,2010-03-13T15:22:35,-71.703115,-34.58103,44.0496,5.2,mwc,relocated,relocated,relocated,,10.0,29.0,-75.0,172.0,62.0,-99.0,-6.979999999999999e+16,-6100000000000000.0,7.59e+16,-1.19e+16,4.63e+16,500000000000000.0,anss,,forearc,46.8708305359
C201003140731A,2010-03-14T07:31:25,-72.034834,-34.275043,21.8668,5.2,mwc,relocated,relocated,relocated,,341.0,34.0,-116.0,191.0,59.0,-73.0,-6.810000000000001e+16,-2400000000000000.0,7.05e+16,1.94e+16,3.3800000000000004e+16,-5600000000000000.0,anss,,forearc,29.6160202026
C201003141352A,2010-03-14T13:52:22,-74.300752,-38.471441,3.695,5.5,mwc,relocated,relocated,relocated,,281.0,25.0,-26.0,35.0,79.0,-113.0,-6.989999999999999e+16,9.46e+16,-2.47e+16,-7.21e+16,-1.49e+17,4.25e+16,anss,,forearc,14.560716629
C201003171738A,2010-03-17T17:38:33,-72.57,-43.84,10.0,5.4,mwc,,,,,191.0,68.0,-178.0,100.0,88.0,-22.0,-9300000000000000.0,6.34e+16,-5.41e+16,-6.19e+16,1.26e+16,1.47e+17,anss,,intraarc_shallow,
C201003180932A,2010-03-18T09:32:21,-72.83,-44.18,4.4,5.2,mwc,,,,,186.0,72.0,171.0,279.0,81.0,18.0,-8110000000000002.0,2.69e+16,-1.88e+16,-3.39e+16,-1.66e+16,8.210000000000002e+16,anss,,intraarc_shallow,
C201004011253A,2010-04-01T12:53:07,-71.82,-34.65,11.8,5.1,mwc,,,5.0,,195.0,58.0,-142.0,82.0,59.0,-39.0,-3.2400000000000004e+16,2.1e+16,1.15e+16,-2.36e+16,2.53e+16,4.05e+16,anss,,forearc,43.7777023315
C201004180149A,2010-04-18T01:49:38,-73.77414,-37.550727,1.6508,5.6,mwc,relocated,relocated,relocated,,4.0,19.0,93.0,180.0,71.0,89.0,1.73e+17,500000000000000.0,-1.74e+17,1200000000000000.0,-2.25e+17,-5600000000000000.0,anss,,forearc,21.4803943634
C201005211852A,2010-05-21T18:52:12,-71.64,-34.52,37.2,5.3,mwc,,,,,25.0,38.0,-91.0,206.0,52.0,-90.0,-1.1299999999999998e+17,1.7399999999999998e+16,9.58e+16,1.29e+16,2.53e+16,4.93e+16,anss,,forearc,47.1581726074
C201006241324A,2010-06-24T13:24:09,-74.00884,-37.100601,3.85,5.0,mwc,relocated,relocated,relocated,,12.0,24.0,102.0,178.0,66.0,85.0,3.19e+16,-3730000000000000.0,-2.82e+16,2980000000000000.0,-2.78e+16,-2550000000000000.0,anss,,forearc,15.831199646
C201008150750A,2010-08-15T07:50:36,-71.23056,-36.97822,20.9581,5.2,mwc,relocated,relocated,relocated,,290.0,58.0,-9.0,25.0,82.0,-148.0,-1.84e+16,6.08e+16,-4.24e+16,-1.49e+16,-4.18e+16,5.540000000000001e+16,anss,,intraarc_shallow,
C201011100123A,2010-11-10T01:23:31,-73.36,-36.44,7.0,5.0,mwc,,,,,359.0,33.0,88.0,181.0,57.0,91.0,3.96e+16,-790000000000000.0,-3.88e+16,-920000000000000.0,-1.75e+16,-160000000000000.0,anss,,forearc,25.0499286652
pde20110102202017780_24,2011-01-02T20:20:17,-74.030172,-38.372621,2.7601,7.2,mww,relocated,relocated,relocated,,175.0,80.0,90.0,355.0,10.0,90.0,2.84e+19,-4.9e+17,-2.79e+19,2.7e+18,-5.66e+19,-5.7e+17,anss,gcmt:C201101022020A,forearc,18.5187969208
pde20110111053333860_35,2011-01-11T05:33:53,-73.427586,-35.716655,10.9478,5.1,mwc,relocated,relocated,relocated,,138.0,15.0,60.0,349.0,77.0,98.0,1.97e+16,4700000000000000.0,-2.44e+16,-9400000000000000.0,4.85e+16,1.4e+16,anss,gcmt:C201101110533A,forearc,16.2147064209
pde20110214102127320_34,2011-02-14T10:21:27,-73.356623,-35.449118,2.8175,5.2,mwc,relocated,relocated,relocated,,13.0,18.0,107.0,175.0,73.0,85.0,4.52e+16,-2500000000000000.0,-4.27e+16,8100000000000000.0,-6.55e+16,-3700000000000000.0,anss,gcmt:C201102141021A,forearc,15.2913322449
pde20110214121830300_35,2011-02-14T12:18:25,-71.54,-35.65,12.8,5.2,mwc,,,,,211.0,21.0,-33.0,331.0,79.0,-108.0,-2.81e+16,-1.74e+16,4.54e+16,3.79e+16,-6.42e+16,-1600000000000000.0,anss,gcmt:C201102141218A,forearc,73.5183181763
pde20110218170058740_10,2011-02-18T17:01:03,-72.268924,-33.980287,11.8963,5.3,mwc,relocated,relocated,relocated,,14.0,20.0,105.0,178.0,71.0,85.0,5.8e+16,2700000000000000.0,-6.07e+16,5400000000000000.0,-7.39e+16,-6000000000000000.0,anss,gcmt:C201102181701A,forearc,20.8200473785
pde20110219062631000_15,2011-02-19T06:26:38,-72.267956,-34.039701,4.1571,5.2,mwc,relocated,relocated,relocated,,360.0,21.0,94.0,176.0,69.0,89.0,5.54e+16,5800000000000000.0,-6.12e+16,5500000000000000.0,-6.65e+16,2900000000000000.0,anss,gcmt:C201102190626A,forearc,21.2884426117
pde20110221053851050_36,2011-02-21T05:38:50,-72.55,-46.02,17.6,5.0,mwc,,,7.7,,271.0,32.0,-20.0,18.0,79.0,-121.0,-1.51e+16,1.94e+16,-4400000000000000.0,900000000000000.0,-3.72e+16,1.59e+16,anss,gcmt:C201102210538A,intraarc_shallow,
pde20110317111424000_13,2011-03-17T11:14:27,-71.777486,-32.638758,6.9024,5.2,mwc,relocated,relocated,relocated,,6.0,28.0,101.0,174.0,62.0,84.0,6.23e+16,7200000000000000.0,-6.95e+16,8000000000000000.0,-4.5e+16,900000000000000.0,anss,gcmt:C201103171114A,forearc,27.1676826477
pde20110413151443030_34,2011-04-13T15:14:45,-72.174197,-33.768272,6.6285,5.4,mwc,relocated,relocated,relocated,,9.0,23.0,100.0,178.0,67.0,86.0,1.15e+17,1.2e+16,-1.27e+17,7000000000000000.0,-1.18e+17,-8000000000000000.0,anss,gcmt:C201104131514A,forearc,21.1623001099
pde20110604162847680_9,2011-06-04T16:28:48,-72.22,-40.59,21.2,5.0,mwc,,,15.7,,162.0,64.0,-165.0,65.0,77.0,-27.0,-1.19e+16,-1.95e+16,3.14e+16,-1.67e+16,-1300000000000000.0,2.84e+16,anss,gcmt:C201106041628A,intraarc_shallow,
choy20110716002612,2011-07-16T00:26:12,-72.182052,-33.875025,7.2961,6.0,mww,relocated,relocated,relocated,,174.0,70.0,83.0,14.0,21.0,109.0,6.72e+17,2.3e+16,-6.94e+17,1.24e+17,-7.99e+17,-4.8e+16,anss,gcmt:C201107160026A,forearc,21.1407794952
pde20110728195020060_35,2011-07-28T19:50:19,-73.416556,-35.792828,8.582,5.7,mww,relocated,relocated,relocated,,40.0,11.0,131.0,178.0,81.0,82.0,1.1e+17,2e+16,-1.3e+17,1e+16,-3.7e+17,-5e+16,anss,gcmt:C201107281950A,forearc,18.1116485596
