id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
C022876A,1976-02-28T16:27:13,-75.57,-40.3,15.0,5.9,mw,0.02,0.03,0.0,,13.0,45.0,-85.0,187.0,45.0,-95.0,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,gcmt,1_gcmt
C053076A,1976-05-30T03:08:55,-75.94,-42.06,15.0,6.1,mw,0.02,0.02,0.0,,187.0,44.0,-101.0,23.0,47.0,-79.0,-1.66e+18,8e+16,1.59e+18,-2.4e+17,-3e+16,4.3e+17,gcmt,2_gcmt
B011177A,1977-01-11T07:02:34,-71.44,-31.68,35.0,5.2,mwc,,,,,5.0,34.0,111.0,160.0,59.0,77.0,,,,,,,anss,3_anss
B011177A,1977-01-11T07:02:43,-72.1,-31.92,42.2,5.2,mw,0.15,0.17,10.7,,5.0,34.0,111.0,160.0,59.0,77.0,7.116e+16,1.044e+16,-8.16e+16,2.177e+16,-3.401e+16,1.407e+16,gcmt,3_gcmt
B022277A,1977-02-22T14:10:08,-75.29,-45.61,33.0,5.4,mwc,,,,,261.0,76.0,-168.0,168.0,78.0,-14.0,,,,,,,anss,4_anss
B022277A,1977-02-22T14:10:12,-76.35,-45.97,10.0,5.4,mw,0.12,0.08,0.0,,261.0,76.0,-168.0,168.0,78.0,-14.0,-7300000000000000.0,6.61e+16,-5.88e+16,3.02e+16,5.34e+16,-1.642e+17,gcmt,4_gcmt
Z112377A,1977-11-23T09:26:24,-67.77,-31.03,13.0,7.4,mwc,,,,,183.0,44.0,90.0,4.0,46.0,90.0,,,,,,,anss,5_anss
Z112377A,1977-11-23T09:26:48,-67.69,-31.22,20.8,7.4,mw,0.01,0.01,0.4,,183.0,44.0,90.0,4.0,46.0,90.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,gcmt,5_gcmt
B112477A,1977-11-24T18:20:16,-67.63,-31.3,33.0,5.6,mwc,,,,,190.0,34.0,91.0,8.0,56.0,89.0,,,,,,,anss,6_anss
B112477A,1977-11-24T18:20:20,-68.05,-31.53,46.5,5.6,mw,0.04,0.06,2.5,,190.0,34.0,91.0,8.0,56.0,89.0,2.04e+17,1.0049999999999998e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,gcmt,6_gcmt
B112877B,1977-11-28T04:19:35,-67.75,-31.68,36.0,5.6,mwc,,,,,150.0,52.0,27.0,43.0,69.0,139.0,,,,,,,anss,7_anss
B112877B,1977-11-28T04:19:39,-68.21,-32.02,33.1,5.6,mw,0.08,0.09,5.5,,150.0,52.0,27.0,43.0,69.0,139.0,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.460000000000001e+16,-5.27e+16,gcmt,7_gcmt
B112877C,1977-11-28T06:31:29,-67.43,-31.35,16.0,6.1,mwc,,,,,182.0,21.0,106.0,345.0,70.0,84.0,,,,,,,anss,8_anss
B112877C,1977-11-28T06:31:38,-67.64,-31.67,15.0,6.1,mw,0.08,0.08,0.0,,182.0,21.0,106.0,345.0,70.0,84.0,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,gcmt,8_gcmt
B120577B,1977-12-05T15:43:35,-68.22,-31.57,32.0,5.7,mw,0.07,0.07,0.0,,103.0,65.0,-5.0,195.0,86.0,-154.0,2.46e+16,1.995e+17,-2.241e+17,-2.25e+16,2.3250000000000003e+17,3.903e+17,gcmt,9_gcmt
B120677A,1977-12-06T17:05:06,-67.72,-31.17,19.0,5.9,mwc,,,,,181.0,37.0,82.0,11.0,54.0,96.0,,,,,,,anss,10_anss
B120677A,1977-12-06T17:05:16,-68.11,-31.43,19.0,5.9,mw,0.05,0.06,0.0,,181.0,37.0,82.0,11.0,54.0,96.0,6.121e+17,2.788e+17,-8.909000000000001e+17,5.540000000000001e+16,2.254e+17,-1.3700000000000002e+17,gcmt,10_gcmt
B121077B,1977-12-10T07:11:56,-67.64,-31.19,39.0,5.5,mwc,,,,,199.0,29.0,117.0,348.0,65.0,76.0,,,,,,,anss,11_anss
B121077B,1977-12-10T07:11:57,-68.03,-31.28,34.9,5.5,mw,0.07,0.1,4.4,,199.0,29.0,117.0,348.0,65.0,76.0,1.1259999999999998e+17,7.77e+16,-1.902e+17,-1.97e+16,1.137e+17,-1400000000000000.0,gcmt,11_gcmt
B010278A,1978-01-02T08:27:40,-71.1,-38.14,126.0,5.5,mwc,,,,,93.0,53.0,-9.0,189.0,83.0,-142.0,,,,,,,anss,12_anss
B010278A,1978-01-02T08:27:43,-71.61,-37.96,144.0,5.5,mw,0.08,0.08,3.4,,93.0,53.0,-9.0,189.0,83.0,-142.0,-1.84e+16,4.66e+16,-2.82e+16,-1.97e+16,1.21e+17,1.454e+17,gcmt,12_gcmt
B011778A,1978-01-17T11:33:14,-67.87,-31.29,24.0,6.0,mwc,,,,,142.0,66.0,12.0,47.0,79.0,156.0,,,,,,,anss,13_anss
B011778A,1978-01-17T11:33:21,-68.08,-31.53,23.0,6.0,mw,0.05,0.05,0.0,,142.0,66.0,12.0,47.0,79.0,156.0,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.0940000000000002e+17,-1.401e+17,gcmt,13_gcmt
B012078A,1978-01-20T04:42:57,-70.19,-34.28,132.0,5.6,mwc,,,,,183.0,26.0,-98.0,12.0,64.0,-86.0,,,,,,,anss,14_anss
B012078A,1978-01-20T04:43:03,-70.04,-34.55,109.3,5.6,mw,0.06,0.04,3.0,,183.0,26.0,-98.0,12.0,64.0,-86.0,-2.592e+17,4.56e+16,2.136e+17,-5.36e+16,-1.819e+17,1.94e+16,gcmt,14_gcmt
B082178A,1978-08-21T00:28:22,-67.77,-31.27,10.0,5.3,mwc,,,,,218.0,9.0,79.0,49.0,81.0,92.0,,,,,,,anss,15_anss
B082178A,1978-08-21T00:28:30,-68.11,-31.79,25.0,5.3,mw,0.11,0.12,0.0,,218.0,9.0,79.0,49.0,81.0,92.0,5.104e+16,-2.207e+16,-2.897e+16,8.357e+16,7.066e+16,2500000000000000.0,gcmt,15_gcmt
B122178B,1978-12-21T01:13:55,-72.46,-36.29,47.0,5.8,mwc,,,,,101.0,34.0,52.0,324.0,64.0,112.0,,,,,,,anss,16_anss
B122178B,1978-12-21T01:13:57,-72.57,-36.4,50.0,5.8,mw,0.05,0.03,0.0,,101.0,34.0,52.0,324.0,64.0,112.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,gcmt,16_gcmt
B032079B,1979-03-20T21:41:21,-71.15,-35.68,91.0,5.4,mwc,,,,,141.0,24.0,-158.0,32.0,81.0,-68.0,,,,,,,anss,17_anss
B032079B,1979-03-20T21:41:27,-71.42,-35.79,122.7,5.4,mw,0.07,0.05,2.8,,141.0,24.0,-158.0,32.0,81.0,-68.0,-4.52e+16,-2.82e+16,7.35e+16,-8.35e+16,-1.012e+17,-1.7399999999999998e+16,gcmt,17_gcmt
B042679A,1979-04-26T02:00:09,-71.9,-33.82,38.0,5.9,mwc,,,,,26.0,25.0,124.0,170.0,70.0,76.0,,,,,,,anss,18_anss
B042679A,1979-04-26T02:00:11,-72.07,-33.91,33.7,5.9,mw,0.03,0.03,1.7,,26.0,25.0,124.0,170.0,70.0,76.0,5.149e+17,1.315e+17,-6.464e+17,1.557e+17,-6.172e+17,-8.55e+16,gcmt,18_gcmt
B070679A,1979-07-06T02:01:16,-71.32,-32.15,45.0,5.7,mwc,,,,,166.0,39.0,70.0,11.0,54.0,105.0,,,,,,,anss,19_anss
B070679A,1979-07-06T02:01:17,-71.63,-32.38,49.0,5.7,mw,0.03,0.03,0.0,,166.0,39.0,70.0,11.0,54.0,105.0,4.9160000000000006e+17,-2000000000000000.0,-4.896e+17,1.19e+17,1.409e+17,1.65e+16,gcmt,19_gcmt
B083079A,1979-08-30T18:59:45,-67.63,-31.38,32.0,5.5,mwc,,,,,354.0,31.0,35.0,233.0,73.0,116.0,,,,,,,anss,20_anss
B083079A,1979-08-30T18:59:53,-67.06,-31.4,27.0,5.5,mw,0.09,0.09,0.0,,354.0,31.0,35.0,233.0,73.0,116.0,1.052e+17,1.62e+16,-1.214e+17,-1.4039999999999998e+17,-6.47e+16,-6.52e+16,gcmt,20_gcmt
19791011085556,1979-10-11T08:56:02,-71.55,-33.41,44.0,5.4,mwc,,,,,13.0,24.0,96.0,187.0,66.0,87.0,9.57e+16,1.85e+16,-1.142e+17,-1e+16,-9.56e+16,-2.26e+16,anss,21_anss
B101179B,1979-10-11T08:56:02,-71.55,-33.41,44.0,5.4,mw,0.07,0.08,4.7,,13.0,24.0,96.0,187.0,66.0,87.0,9.57e+16,1.85e+16,-1.1419999999999998e+17,-1e+16,-9.56e+16,-2.26e+16,gcmt,21_gcmt
B122679A,1979-12-26T19:43:37,-71.34,-36.0,92.0,5.6,mwc,,,,,199.0,6.0,-66.0,355.0,85.0,-92.0,,,,,,,anss,22_anss
B122679A,1979-12-26T19:43:42,-71.5,-35.9,110.8,5.6,mw,0.04,0.04,2.5,,199.0,6.0,-66.0,355.0,85.0,-92.0,-2.66e+16,-4.67e+16,7.33e+16,2.32e+16,-2.625e+17,-100000000000000.0,gcmt,22_gcmt
B011480E,1980-01-14T21:51:01,-69.46,-33.19,14.0,5.6,mwc,,,,,141.0,69.0,5.0,49.0,85.0,159.0,,,,,,,anss,23_anss
B011480E,1980-01-14T21:51:08,-69.42,-33.27,15.0,5.6,mw,0.07,0.06,0.0,,141.0,69.0,5.0,49.0,85.0,159.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,gcmt,23_gcmt
B012880C,1980-01-28T16:59:22,-76.11,-44.96,33.0,5.4,mwc,,,,,195.0,27.0,-56.0,338.0,68.0,-106.0,,,,,,,anss,24_anss
B012880C,1980-01-28T16:59:24,-76.29,-45.17,15.0,5.4,mw,0.07,0.07,0.0,,195.0,27.0,-56.0,338.0,68.0,-106.0,-1.209e+17,-1.82e+16,1.391e+17,6.37e+16,-1.073e+17,-1.12e+16,gcmt,24_gcmt
B021480A,1980-02-14T14:07:00,-71.56,-32.02,46.9,5.1,mw,0.1,0.18,8.5,,226.0,41.0,142.0,346.0,66.0,55.0,2.821e+16,2.153e+16,-4.974e+16,-4430000000000000.0,2.26e+16,-1.689e+16,gcmt,25_gcmt
B021480A,1980-02-14T14:07:01,-71.42,-31.77,45.0,5.1,mwc,,,,,226.0,41.0,142.0,346.0,66.0,55.0,,,,,,,anss,25_anss
B032980B,1980-03-29T06:41:50,-75.2,-43.08,33.0,6.1,mwc,,,,,185.0,14.0,-119.0,34.0,78.0,-83.0,,,,,,,anss,26_anss
B032980B,1980-03-29T06:41:53,-75.86,-43.38,15.0,6.1,mw,0.11,0.09,0.0,,185.0,14.0,-119.0,34.0,78.0,-83.0,-5.33e+17,-1.14e+17,6.47e+17,-8.21e+17,-1.21e+18,4.29e+17,gcmt,26_gcmt
B032980D,1980-03-29T17:49:10,-73.5,-37.93,33.0,5.4,mwc,,,,,13.0,20.0,106.0,176.0,71.0,85.0,,,,,,,anss,27_anss
B032980D,1980-03-29T17:49:11,-73.91,-38.05,32.4,5.4,mw,0.06,0.05,3.9,,13.0,20.0,106.0,176.0,71.0,85.0,1.172e+17,-6000000000000000.0,-1.111e+17,1.61e+16,-1.472e+17,-9900000000000000.0,gcmt,27_gcmt
B040980B,1980-04-09T08:17:55,-67.48,-31.65,10.0,5.3,mwc,,,,,340.0,37.0,136.0,108.0,65.0,61.0,,,,,,,anss,28_anss
B040980B,1980-04-09T08:17:59,-67.42,-31.49,15.0,5.3,mw,0.09,0.07,0.0,,340.0,37.0,136.0,108.0,65.0,61.0,9.042e+16,-4.144e+16,-4.898e+16,8.311e+16,1.369e+16,5.894e+16,gcmt,28_gcmt
B061180C,1980-06-11T14:21:18,-71.65,-32.72,35.0,5.8,mwc,,,,,1.0,26.0,87.0,184.0,64.0,91.0,,,,,,,anss,29_anss
B061180C,1980-06-11T14:21:25,-71.93,-33.03,20.0,5.8,mw,0.03,0.03,0.0,,1.0,26.0,87.0,184.0,64.0,91.0,5.183e+17,8.24e+16,-6.008e+17,-3.3700000000000004e+16,-4.4560000000000006e+17,-2.7500000000000004e+16,gcmt,29_gcmt
B071380A,1980-07-13T06:20:30,-70.15,-33.47,103.0,5.7,mwc,,,,,102.0,14.0,178.0,195.0,89.0,76.0,,,,,,,anss,30_anss
B071380A,1980-07-13T06:20:37,-70.49,-33.47,113.4,5.7,mw,0.04,0.03,2.2,,102.0,14.0,178.0,195.0,89.0,76.0,6.870000000000001e+16,-1.682e+17,9.95e+16,-4.32e+16,-3.728e+17,-3.1e+16,gcmt,30_gcmt
B080380A,1980-08-03T03:00:49,-69.99,-35.25,151.0,5.3,mwc,,,,,2.0,20.0,93.0,179.0,70.0,89.0,,,,,,,anss,31_anss
B080380A,1980-08-03T03:00:53,-69.82,-35.46,163.9,5.3,mw,0.14,0.07,2.6,,2.0,20.0,93.0,179.0,70.0,89.0,7.259e+16,-1.58e+16,-5.678e+16,2270000000000000.0,-7.682e+16,-1120000000000000.0,gcmt,31_gcmt
B082980A,1980-08-29T10:38:13,-73.1,-39.66,34.0,5.4,mwc,,,,,171.0,29.0,140.0,298.0,72.0,67.0,,,,,,,anss,32_anss
B082980A,1980-08-29T10:38:17,-73.37,-39.75,44.6,5.4,mw,0.09,0.08,5.9,,171.0,29.0,140.0,298.0,72.0,67.0,8.34e+16,-1.58e+16,-6.760000000000001e+16,-1.054e+17,2.24e+16,4.74e+16,gcmt,32_gcmt
B111080A,1980-11-10T16:24:40,-67.47,-31.58,21.0,5.6,mwc,,,,,133.0,31.0,49.0,358.0,67.0,111.0,,,,,,,anss,33_anss
B111080A,1980-11-10T16:24:43,-67.55,-31.52,15.0,5.6,mw,0.05,0.04,0.0,,133.0,31.0,49.0,358.0,67.0,111.0,2.53e+17,-4.24e+16,-2.106e+17,6.35e+16,2.415e+17,1.167e+17,gcmt,33_gcmt
B122580B,1980-12-25T06:32:51,-67.19,-31.0,138.1,5.1,mw,0.14,0.13,4.8,,173.0,40.0,-106.0,14.0,52.0,-77.0,-4.567e+16,-6899999999999999.0,5.257e+16,-8350000000000000.0,-9030000000000000.0,3730000000000000.0,gcmt,34_gcmt
B031681A,1981-03-16T13:40:46,-71.79,-35.53,55.0,5.4,mwc,,,,,252.0,46.0,-39.0,11.0,63.0,-129.0,,,,,,,anss,35_anss
B031681A,1981-03-16T13:40:52,-71.67,-35.67,60.1,5.4,mw,0.09,0.06,5.0,,252.0,46.0,-39.0,11.0,63.0,-129.0,-8.331e+16,2.665e+16,5.667e+16,1.611e+16,-6.269e+16,9.187e+16,gcmt,35_gcmt
B032381A,1981-03-23T19:28:10,-71.89,-33.66,46.0,6.4,mwc,,,2.6,,335.0,5.0,73.0,173.0,85.0,91.0,,,,,,,anss,36_anss
B032381A,1981-03-23T19:28:15,-71.81,-33.96,16.6,6.4,mw,0.06,0.04,2.5,,335.0,5.0,73.0,173.0,85.0,91.0,1.027e+18,-5.4000000000000006e+17,-4.87e+17,5.85e+17,-4.676e+18,1.14e+17,gcmt,36_gcmt
B040681A,1981-04-06T14:34:01,-71.05,-35.37,88.0,5.2,mwc,,,,,95.0,33.0,163.0,200.0,81.0,58.0,,,,,,,anss,37_anss
B040681A,1981-04-06T14:34:09,-70.81,-35.36,112.8,5.2,mw,0.09,0.08,5.5,,95.0,33.0,163.0,200.0,81.0,58.0,2.323e+16,-2.948e+16,6250000000000000.0,-2.116e+16,-6.902999999999999e+16,-4.644999999999999e+16,gcmt,37_gcmt
B060481A,1981-06-04T07:39:39,-78.12,-34.76,26.0,5.1,mw,0.18,0.16,0.0,,207.0,42.0,-41.0,330.0,64.0,-124.0,-4.225e+16,-1.602e+16,5.826e+16,3.194e+16,-1.917e+16,-1580000000000000.0,gcmt,38_gcmt
B072881B,1981-07-28T03:03:21,-73.2,-41.57,43.0,5.6,mwc,,,,,44.0,59.0,17.0,305.0,75.0,148.0,,,,,,,anss,39_anss
B072881B,1981-07-28T03:03:27,-73.45,-41.97,46.7,5.6,mw,0.09,0.04,4.7,,44.0,59.0,17.0,305.0,75.0,148.0,6.37e+16,-2.863e+17,2.226e+17,-7.46e+16,1.733e+17,-5.500000000000001e+16,gcmt,39_gcmt
B091981B,1981-09-19T11:40:54,-74.94,-39.45,15.0,5.5,mw,0.1,0.06,0.0,,206.0,38.0,-53.0,342.0,61.0,-116.0,-2.066e+17,-2700000000000000.0,2.093e+17,1.097e+17,-9.29e+16,2.47e+16,gcmt,40_gcmt
B091981B,1981-09-19T11:40:56,-74.81,-39.08,30.0,5.5,mwc,,,,,206.0,38.0,-53.0,342.0,61.0,-116.0,,,,,,,anss,40_anss
C101681A,1981-10-16T03:25:42,-73.07,-33.13,32.0,7.1,mwc,,,,,194.0,34.0,96.0,6.0,56.0,86.0,,,,,,,anss,41_anss
C101681A,1981-10-16T03:25:47,-73.15,-33.48,40.4,7.1,mw,0.02,0.02,0.8,,194.0,34.0,96.0,6.0,56.0,86.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,gcmt,41_gcmt
C110781A,1981-11-07T03:29:50,-71.37,-32.23,64.0,6.9,mwc,,,2.8,,208.0,5.0,-47.0,345.0,86.0,-94.0,,,,,,,anss,42_anss
C110781A,1981-11-07T03:29:58,-71.39,-32.41,65.6,6.9,mw,0.02,0.02,2.5,,208.0,5.0,-47.0,345.0,86.0,-94.0,-6.7e+17,-7.67e+18,8.34e+18,7.82e+18,-3.122e+19,-2.17e+18,gcmt,42_gcmt
B121581A,1981-12-15T12:31:59,-71.36,-36.28,95.0,5.0,mwc,,,,,157.0,10.0,-61.0,308.0,81.0,-95.0,,,,,,,anss,43_anss
B121581A,1981-12-15T12:32:02,-71.16,-36.13,104.6,5.0,mw,0.26,0.12,11.8,,157.0,10.0,-61.0,308.0,81.0,-95.0,-1.102e+16,4370000000000000.0,6650000000000000.0,3.461e+16,-2.7e+16,-1.2609999999999998e+16,gcmt,43_gcmt
C060182A,1982-06-01T04:14:15,-74.99,-41.63,32.0,6.4,mwc,,,,,160.0,33.0,-130.0,25.0,65.0,-67.0,,,,,,,anss,44_anss
C060182A,1982-06-01T04:14:16,-75.87,-41.69,10.0,6.4,mw,0.03,0.03,0.0,,160.0,33.0,-130.0,25.0,65.0,-67.0,-3.372e+18,-8.6e+17,4.232e+18,-1.871e+18,-2.339e+18,3.07e+17,gcmt,44_gcmt
B060582A,1982-06-05T00:17:00,-75.21,-43.1,33.0,5.3,mwc,,,,,191.0,29.0,-87.0,8.0,61.0,-91.0,,,,,,,anss,45_anss
B060582A,1982-06-05T00:17:01,-76.07,-43.44,23.0,5.3,mw,0.13,0.09,0.0,,191.0,29.0,-87.0,8.0,61.0,-91.0,-7.497e+16,-1.0069999999999998e+16,8.504e+16,-6780000000000000.0,-5.132e+16,1.658e+16,gcmt,45_gcmt
B090682C,1982-09-06T11:13:26,-71.46,-32.14,73.0,5.3,mwc,,,2.8,,68.0,21.0,-166.0,326.0,85.0,-69.0,,,,,,,anss,46_anss
B090682C,1982-09-06T11:13:27,-71.39,-32.08,78.5,5.3,mw,0.15,0.07,10.2,,68.0,21.0,-166.0,326.0,85.0,-69.0,-1.786e+16,3.959e+16,-2.173e+16,4.539e+16,-7.859e+16,-1.4990000000000002e+16,gcmt,46_gcmt
B111882C,1982-11-18T20:39:54,-65.74,-31.21,166.2,6.0,mw,0.06,0.04,1.8,,129.0,24.0,-114.0,335.0,68.0,-80.0,-8.794e+17,3.461e+17,5.333e+17,2.8690000000000003e+17,-8.276999999999999e+17,-4.33e+17,gcmt,47_gcmt
B022883B,1983-02-28T22:44:20,-79.16,-44.78,15.0,6.0,mw,0.04,0.02,0.0,,260.0,90.0,180.0,350.0,90.0,0.0,-1.98e+17,4.7e+17,-2.7200000000000003e+17,0.0,0.0,-1.056e+18,gcmt,48_gcmt
B050983A,1983-05-09T10:58:23,-74.45,-41.92,33.0,6.1,mw,0.05,0.03,0.0,,358.0,41.0,-118.0,213.0,54.0,-68.0,-1.293e+18,-2.7800000000000003e+17,1.571e+18,4.14e+17,2.52e+17,5.75e+17,gcmt,49_gcmt
B050983A,1983-05-09T10:58:26,-74.84,-40.87,33.0,6.1,mwc,,,3.3,,358.0,41.0,-118.0,213.0,54.0,-68.0,,,,,,,anss,49_anss
B080183A,1983-08-01T14:09:24,-76.46,-48.33,11.0,5.7,mw,0.08,0.06,0.0,,355.0,14.0,107.0,157.0,76.0,86.0,1.858e+17,1.26e+16,-1.984e+17,1.552e+17,-3.524e+17,6.3e+16,gcmt,50_gcmt
B091483A,1983-09-14T00:47:01,-73.65,-36.4,10.1,5.4,mw,0.11,0.11,0.0,,23.0,16.0,131.0,161.0,78.0,79.0,6.26e+16,1.04e+16,-7.3e+16,5.07e+16,-1.2809999999999998e+17,-3400000000000000.0,gcmt,51_gcmt
B091483A,1983-09-14T00:47:04,-73.08,-36.42,37.0,5.4,mwc,,,,,23.0,16.0,131.0,161.0,78.0,79.0,,,,,,,anss,51_anss
B112683D,1983-11-26T23:29:09,-79.94,-45.11,15.0,5.8,mw,0.08,0.05,0.0,,257.0,90.0,180.0,347.0,90.0,0.0,-5.610000000000001e+16,2.746e+17,-2.1840000000000003e+17,0.0,0.0,-5.172e+17,gcmt,52_gcmt
B112883A,1983-11-28T19:10:07,-76.01,-44.95,19.0,5.5,mwc,,,,,133.0,18.0,-142.0,7.0,79.0,-76.0,,,,,,,anss,53_anss
B112883A,1983-11-28T19:10:08,-77.97,-44.6,10.0,5.5,mw,0.17,0.13,0.0,,133.0,18.0,-142.0,7.0,79.0,-76.0,-8.79e+16,-1.5e+16,1.03e+17,-3.71e+16,-2.178e+17,-4.81e+16,gcmt,53_gcmt
B121083B,1983-12-10T17:37:57,-78.32,-44.73,15.0,5.6,mw,0.06,0.03,0.0,,258.0,90.0,180.0,348.0,90.0,0.0,-2.43e+16,1.2529999999999998e+17,-1.01e+17,0.0,0.0,-2.634e+17,gcmt,54_gcmt
B121583A,1983-12-15T04:22:28,-70.28,-33.09,55.0,6.0,mwc,,,1.1,,202.0,21.0,-78.0,9.0,69.0,-95.0,,,,,,,anss,55_anss
B121583A,1983-12-15T04:22:36,-70.56,-33.09,103.6,6.0,mw,0.06,0.03,2.6,,202.0,21.0,-78.0,9.0,69.0,-95.0,-8.194000000000001e+17,2.03e+16,7.991e+17,-1.062e+17,-9.358e+17,2.21e+17,gcmt,55_gcmt
B041984B,1984-04-19T08:28:53,-71.9,-31.8,31.0,5.7,mwc,,,,,19.0,16.0,120.0,168.0,76.0,82.0,,,,,,,anss,56_anss
B041984B,1984-04-19T08:28:59,-72.06,-31.74,31.0,5.7,mw,0.05,0.04,0.0,,19.0,16.0,120.0,168.0,76.0,82.0,2.0830000000000003e+17,100000000000000.0,-2.084e+17,9.62e+16,-3.809e+17,-1.97e+16,gcmt,56_gcmt
B050984A,1984-05-09T23:56:09,-70.27,-34.14,119.0,5.3,mwc,,,,,205.0,31.0,-95.0,31.0,60.0,-87.0,,,,,,,anss,57_anss
B050984A,1984-05-09T23:56:10,-70.19,-34.34,107.9,5.3,mw,0.12,0.06,4.2,,205.0,31.0,-95.0,31.0,60.0,-87.0,-7.983e+16,1.1279999999999998e+16,6.855000000000001e+16,-2.63e+16,-4.021e+16,4.455e+16,gcmt,57_gcmt
B052584B,1984-05-25T13:20:23,-75.13,-42.62,31.0,5.4,mwc,,,,,185.0,27.0,-98.0,14.0,63.0,-86.0,,,,,,,anss,58_anss
B052584B,1984-05-25T13:20:25,-75.86,-43.14,10.0,5.4,mw,0.08,0.06,0.0,,185.0,27.0,-98.0,14.0,63.0,-86.0,-1.1339999999999998e+17,-7700000000000000.0,1.211e+17,-2.55e+16,-8.43e+16,2.37e+16,gcmt,58_gcmt
B060384A,1984-06-03T01:44:14,-75.71,-45.33,33.0,5.4,mwc,,,,,320.0,61.0,-161.0,221.0,73.0,-30.0,,,,,,,anss,59_anss
B060384A,1984-06-03T01:44:15,-76.55,-45.29,10.0,5.4,mw,0.07,0.06,0.0,,320.0,61.0,-161.0,221.0,73.0,-30.0,-7.79e+16,-1.174e+17,1.953e+17,4.16e+16,3.69e+16,8000000000000000.0,gcmt,59_gcmt
B061184A,1984-06-11T02:05:42,-71.9,-31.25,44.5,6.2,mw,0.02,0.02,1.6,,357.0,36.0,94.0,171.0,54.0,87.0,2.198e+18,2.98e+17,-2.497e+18,1.72e+17,-7.43e+17,3.1e+17,gcmt,60_gcmt
B110884E,1984-11-08T14:17:47,-68.63,-31.42,110.0,5.3,mwc,,,,,178.0,45.0,-115.0,32.0,50.0,-67.0,,,,,,,anss,61_anss
B110884E,1984-11-08T14:17:48,-68.5,-31.54,143.6,5.3,mw,0.13,0.11,4.6,,178.0,45.0,-115.0,32.0,50.0,-67.0,-9.666e+16,2940000000000000.0,9.372e+16,-3.35e+16,570000000000000.0,2.574e+16,gcmt,61_gcmt
B112984B,1984-11-29T19:12:29,-71.12,-35.5,85.0,5.4,mwc,,,2.5,,151.0,19.0,-154.0,37.0,82.0,-73.0,,,,,,,anss,62_anss
B112984B,1984-11-29T19:12:35,-71.28,-35.42,102.1,5.4,mw,0.06,0.05,3.6,,151.0,19.0,-154.0,37.0,82.0,-73.0,-3.752e+16,-2.316e+16,6.068e+16,-7.942e+16,-9.489e+16,2400000000000000.0,gcmt,62_gcmt
B012685A,1985-01-26T03:07:02,-68.54,-33.15,38.0,5.9,mwc,,,,,158.0,38.0,65.0,9.0,56.0,108.0,,,,,,,anss,63_anss
B012685A,1985-01-26T03:07:05,-68.75,-33.11,28.4,5.9,mw,0.03,0.03,1.7,,158.0,38.0,65.0,9.0,56.0,108.0,8.699999999999999e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,gcmt,63_gcmt
B022185B,1985-02-21T18:53:08,-71.72,-33.28,33.0,5.7,mwc,,,12.1,,29.0,31.0,127.0,167.0,66.0,70.0,,,,,,,anss,64_anss
B022185B,1985-02-21T18:53:14,-72.1,-33.37,32.9,5.7,mw,0.04,0.03,2.1,,29.0,31.0,127.0,167.0,66.0,70.0,2.69e+17,8.7e+16,-3.56e+17,8.86e+16,-2.473e+17,-4.98e+16,gcmt,64_gcmt
choy19850303224726,1985-03-03T22:47:26,-71.62,-33.12,40.0,8.0,mw,,,,,360.0,35.0,105.0,360.0,35.0,105.0,,,,,,,anss,65_anss
M030385A,1985-03-03T22:47:39,-71.71,-33.92,40.7,7.9,mw,0.02,0.02,1.0,,11.0,26.0,110.0,169.0,66.0,81.0,7.48e+20,4.89e+19,-7.969e+20,1.912e+20,-6.55e+20,2.9e+18,gcmt,65_gcmt
B030485A,1985-03-04T00:32:21,-71.76,-33.23,33.0,7.3,mwc,,,,,234.0,32.0,155.0,346.0,77.0,60.0,,,,,,,anss,66_anss
B030485A,1985-03-04T00:32:52,-71.79,-33.06,33.0,7.3,mw,0.23,0.17,0.0,,234.0,32.0,155.0,346.0,77.0,60.0,5.84e+19,-5.5e+18,-5.289e+19,-7.36e+19,9.282e+19,-5.169e+19,gcmt,66_gcmt
B030485B,1985-03-04T06:06:57,-71.86,-33.58,33.0,6.3,mwc,,,,,215.0,24.0,143.0,340.0,76.0,70.0,,,,,,,anss,67_anss
B030485B,1985-03-04T06:07:12,-72.08,-33.43,10.0,6.3,mw,0.25,0.18,0.0,,215.0,24.0,143.0,340.0,76.0,70.0,1.579e+18,7.2e+17,-2.299e+18,-1.231e+18,2.721e+18,-3.16e+17,gcmt,67_gcmt
