id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B081079A,1979-08-10T01:28:48,-66.5,-21.32,251.6,5.1,mw,183.0,17.0,-69.0,341.0,74.0,-96.0,29.0,76.0,6.0,343.0,60.0,243.0,-6.621000000000001e+16,9720000000000000.0,5.649e+16,3.717e+16,-9.089e+16,-3150000000000000.0,gcmt,deep_subduction
B112279A,1979-11-22T02:41:27,-66.84,-24.27,181.0,5.8,mw,209.0,44.0,-37.0,327.0,65.0,-128.0,12.0,83.0,34.0,345.0,53.0,190.0,-3.437e+18,-2.282e+18,5.718e+18,2.298e+18,-1.808e+18,-4.87e+17,gcmt,deep_subduction
B122679A,1979-12-26T19:43:42,-71.5,-35.9,110.8,5.6,mw,199.0,6.0,-66.0,355.0,85.0,-92.0,40.0,87.0,2.0,355.0,50.0,262.0,-2.66e+16,-4.67e+16,7.33e+16,2.32e+16,-2.625e+17,-100000000000000.0,gcmt,deep_subduction
B041480D,1980-04-14T23:57:32,-68.96,-21.58,115.4,5.4,mw,195.0,40.0,-47.0,324.0,62.0,-120.0,12.0,75.0,26.0,339.0,61.0,189.0,-1.3e+17,-3.06e+16,1.607e+17,8.73e+16,-4.78e+16,-3.45e+16,gcmt,deep_subduction
B050280E,1980-05-02T19:09:18,-67.33,-24.24,205.2,5.4,mw,197.0,23.0,-57.0,342.0,71.0,-103.0,25.0,82.0,12.0,347.0,62.0,233.0,-1.018e+17,-2.47e+16,1.266e+17,5.05e+16,-1.278e+17,-4900000000000000.0,gcmt,deep_subduction
C052680A,1980-05-26T18:41:51,-69.17,-19.43,104.0,6.0,mw,177.0,23.0,-83.0,349.0,67.0,-93.0,22.0,82.0,3.0,350.0,67.0,254.0,-6.928e+18,-6.07e+17,7.535e+18,1.495e+18,-7.093e+18,-1.052e+18,gcmt,deep_subduction
B061680B,1980-06-16T05:45:18,-68.87,-21.83,118.0,5.5,mw,6.0,44.0,-77.0,168.0,47.0,-102.0,2.0,267.0,9.0,176.0,81.0,7.0,-2.132e+17,-9.91e+16,3.123e+17,-1.9e+16,1.4299999999999998e+16,-2.35e+16,gcmt,deep_subduction
B071380A,1980-07-13T06:20:37,-70.49,-33.47,113.4,5.6,mw,102.0,14.0,178.0,195.0,89.0,76.0,44.0,91.0,14.0,195.0,43.0,299.0,6.870000000000001e+16,-1.682e+17,9.95e+16,-4.32e+16,-3.728e+17,-3.1e+16,gcmt,deep_subduction
C071980A,1980-07-19T11:52:29,-69.89,-29.0,129.3,6.1,mw,306.0,26.0,-77.0,112.0,65.0,-96.0,20.0,206.0,6.0,114.0,70.0,9.0,-8.087e+17,5.889e+17,2.198e+17,-6.221e+17,1.875e+17,-3.052e+17,gcmt,deep_subduction
B080380A,1980-08-03T03:00:53,-69.82,-35.46,163.9,5.3,mw,2.0,20.0,93.0,179.0,70.0,89.0,65.0,87.0,1.0,180.0,25.0,270.0,7.259e+16,-1.58e+16,-5.678e+16,2270000000000000.0,-7.682e+16,-1120000000000000.0,gcmt,deep_subduction
B110880C,1980-11-08T21:35:50,-68.06,-24.42,146.9,5.4,mw,137.0,28.0,-95.0,323.0,62.0,-87.0,17.0,51.0,3.0,142.0,72.0,240.0,-1.107e+17,4.69e+16,6.38e+16,4.28e+16,-6.22e+16,-5.07e+16,gcmt,deep_subduction
C121180B,1980-12-11T18:15:14,-68.46,-21.26,120.8,6.1,mw,159.0,38.0,-111.0,5.0,55.0,-74.0,9.0,84.0,13.0,176.0,74.0,319.0,-2.948e+18,-6.93e+17,3.642e+18,-4.48e+17,-1.15e+18,-5.6200000000000006e+17,gcmt,deep_subduction
B122580B,1980-12-25T06:32:51,-67.19,-31.0,138.1,5.1,mw,173.0,40.0,-106.0,14.0,52.0,-77.0,6.0,94.0,11.0,185.0,78.0,335.0,-4.567e+16,-6899999999999999.0,5.257e+16,-8350000000000000.0,-9030000000000000.0,3730000000000000.0,gcmt,deep_subduction
B012781C,1981-01-27T14:25:51,-68.09,-23.22,140.2,5.4,mw,147.0,32.0,-130.0,12.0,66.0,-68.0,18.0,86.0,20.0,183.0,62.0,318.0,-7.802e+16,-9130000000000000.0,8.715e+16,-3.3690000000000004e+16,-6.298e+16,-1.949e+16,gcmt,deep_subduction
B030281C,1981-03-02T21:20:06,-65.89,-22.47,273.5,5.1,mw,305.0,4.0,49.0,167.0,87.0,93.0,48.0,80.0,3.0,347.0,42.0,254.0,6.860000000000001e+16,-5.679999999999999e+16,-1.18e+16,8.71e+16,-3.906e+17,1.03e+16,gcmt,deep_subduction
B030981B,1981-03-09T07:46:41,-66.59,-23.52,220.7,5.3,mw,198.0,36.0,-46.0,328.0,65.0,-117.0,16.0,77.0,24.0,339.0,60.0,198.0,-5.686e+16,-2.977e+16,8.663e+16,3.142e+16,-4.069e+16,-2.17e+16,gcmt,deep_subduction
C032681B,1981-03-26T18:04:51,-69.22,-19.54,143.9,5.8,mw,179.0,14.0,-76.0,345.0,76.0,-93.0,31.0,78.0,3.0,346.0,59.0,251.0,-1.84e+18,-1.911e+18,3.751e+18,1.319e+18,-5.371e+18,-1.141e+18,gcmt,deep_subduction
B040681A,1981-04-06T14:34:09,-70.81,-35.36,112.8,5.3,mw,95.0,33.0,163.0,200.0,81.0,58.0,45.0,78.0,31.0,205.0,29.0,315.0,2.323e+16,-2.948e+16,6250000000000000.0,-2.116e+16,-6.902999999999999e+16,-4.644999999999999e+16,gcmt,deep_subduction
B060181D,1981-06-01T19:50:20,-65.12,-20.24,349.1,5.0,mw,214.0,25.0,-42.0,343.0,74.0,-109.0,26.0,88.0,18.0,349.0,57.0,228.0,-1.061e+17,-2.21e+16,1.2809999999999998e+17,6.770000000000001e+16,-1.494e+17,2.53e+16,gcmt,deep_subduction
B061681B,1981-06-16T05:41:58,-68.77,-21.63,125.2,5.4,mw,118.0,40.0,-128.0,344.0,59.0,-62.0,10.0,54.0,24.0,149.0,64.0,303.0,-1.2430000000000002e+17,3.1e+16,9.33e+16,-700000000000000.0,-7.019999999999999e+16,-1.165e+17,gcmt,deep_subduction
B071881A,1981-07-18T11:15:24,-66.4,-22.69,232.2,5.0,mw,243.0,17.0,-6.0,338.0,88.0,-107.0,41.0,84.0,17.0,339.0,44.0,231.0,-6300000000000000.0,-3.48e+16,4.1e+16,5.25e+16,-1.343e+17,2.7e+16,gcmt,deep_subduction
B092081D,1981-09-20T10:48:26,-66.59,-23.13,230.9,5.1,mw,65.0,23.0,-136.0,293.0,74.0,-73.0,27.0,10.0,16.0,108.0,58.0,226.0,-1.286e+17,9.54e+16,3.32e+16,1.303e+17,-1.085e+17,3.52e+16,gcmt,deep_subduction
B110281C,1981-11-02T14:31:01,-69.14,-18.62,135.2,5.1,mw,224.0,17.0,-51.0,4.0,77.0,-101.0,31.0,103.0,10.0,7.0,57.0,260.0,-4.46e+16,-9500000000000000.0,5.42e+16,-6900000000000001.0,-1.0249999999999998e+17,2.7600000000000004e+16,gcmt,deep_subduction
B111781A,1981-11-17T07:11:29,-69.72,-25.97,69.1,5.4,mw,144.0,11.0,101.0,312.0,80.0,88.0,55.0,220.0,2.0,313.0,35.0,44.0,5.9e+16,-2.65e+16,-3.26e+16,-1.195e+17,1.079e+17,3.3900000000000004e+16,gcmt,deep_subduction
B113081A,1981-11-30T15:42:33,-70.24,-17.43,144.0,5.4,mw,93.0,3.0,-148.0,331.0,88.0,-87.0,43.0,59.0,3.0,151.0,47.0,244.0,9400000000000000.0,-1.85e+16,9100000000000000.0,1.2290000000000002e+17,-2.191e+17,-4.47e+16,gcmt,deep_subduction
B121581A,1981-12-15T12:32:02,-71.16,-36.13,104.6,5.2,mw,157.0,10.0,-61.0,308.0,81.0,-95.0,36.0,42.0,5.0,309.0,54.0,212.0,-1.102e+16,4370000000000000.0,6650000000000000.0,3.461e+16,-2.7e+16,-1.2609999999999998e+16,gcmt,deep_subduction
