ID,Lat,Lon,Depth_km,Mw,Strike_1,Dip_1,Rake_1,P_trend,P_plunge,T_trend,T_plunge,Strike_2,Dip_2,Rake_2,Strike_2_c,Dip_2_cal,Rake_2_cal,Slab1,Depth2Slab
032079B,-35.79,-71.42,123,5.4,141,24,-158,325,49,102,33,32,81,-68,31,81,-68,-81.97402954,-41.026
032380A,-30.17,-72.08,43,5.4,1,37,75,282,9,148,77,200,55,101,200,54,101,-14.69337463,-28.307
032381A,-33.96,-71.81,17,6.4,335,5,73,261,40,84,50,173,85,91,172,85,91,-33.4850769,16.485
032385A,-34.49,-72.82,18,5.7,26,21,106,284,25,89,65,189,70,84,189,70,84,-14.53298759,-3.467
032385B,-33.44,-72.54,10,5.5,16,46,118,267,2,3,70,159,51,65,159,51,64,-11.6786356,1.679
032387B,-34.32,-72.84,51,5.1,31,41,125,277,9,27,66,169,58,64,168,57,63,-12.2051506,-38.795
032395B,-36.33,-72.81,15,5.5,21,6,120,264,40,78,50,170,85,87,171,85,87,-38.96213531,23.962
032485A,-34.44,-72.53,25,5.7,20,19,114,271,27,73,62,175,73,82,175,73,82,-18.60743713,-6.393
032585A,-34.6,-72.52,24,6.3,10,20,98,274,25,87,65,181,70,87,181,70,87,-21.33936119,-2.661
032597A,-33.45,-70.62,90,5.5,158,59,-161,14,34,111,10,58,74,-33,58,74,-32,-77.65055084,-12.349
032600A,-32.5,-72.16,49,5.2,330,30,55,265,19,130,64,189,66,108,189,66,108,-17.33020401,-31.67
032686A,-34.07,-72.22,38,5.4,5,24,97,270,21,81,69,177,66,87,177,66,87,-22.53079605,-15.469
032799B,-40.32,-71.85,15,5.4,174,72,174,39,9,131,17,266,85,18,266,84,18,-114.5557938,99.556
032980B,-43.38,-75.86,15,6.1,185,14,-119,314,57,119,32,34,78,-83,35,78,-83,,
032980D,-38.05,-73.91,32,5.4,13,20,106,271,26,77,64,176,71,85,176,71,84,-20.29560852,-11.704
033085A,-45.34,-76.85,10,5.4,325,26,-81,36,70,228,19,135,64,-94,135,64,-94,,
040189A,-32.86,-70.19,119,5.3,158,18,-122,295,59,93,29,10,75,-80,11,75,-80,-88.50954437,-30.49
040198D,-40.64,-75.37,15,,199,44,-88,234,88,108,1,17,46,-92,16,46,-92,,
040290A,-33.04,-72.63,15,5.6,6,36,106,265,10,41,76,167,56,79,166,56,79,-9.380357742,-5.62
040304E,-30.04,-72.35,28,5.5,320,33,50,258,17,131,63,185,65,113,185,65,113,-10.37761497,-17.622
040385B,-32.62,-71.5,36,6.1,18,21,87,290,24,113,66,201,69,91,201,69,91,-38.10923004,2.109
040681A,-35.36,-70.81,113,5.2,95,33,163,315,29,78,45,200,81,58,199,81,58,-99.30977631,-13.69
040901A,-32.88,-73.23,15,,219,44,-86,237,87,126,1,33,46,-94,33,46,-94,,
040980B,-31.49,-67.42,15,5.3,340,37,136,218,16,336,59,108,65,61,108,65,62,-99.44680786,84.447
040985A,-34.26,-71.86,47,,0,21,99,263,24,74,66,170,69,86,170,69,87,-35.57295609,-11.427
041092B,-33.68,-71.7,32,5.1,248,57,-172,106,28,205,18,154,83,-33,154,83,-33,-34.45366669,2.454
041389A,-39.96,-75.07,15,5.8,204,34,-51,212,63,86,16,339,64,-113,340,64,-113,-7.351928711,-7.648
041403A,-35.38,-72.9,31,5.2,18,44,158,244,19,353,44,124,75,48,124,75,48,-23.0968895,-7.903
041504G,-30.35,-67.55,37,5.3,185,43,114,78,4,183,73,334,51,69,334,51,69,-91.7813797,54.781
041585A,-33.64,-72.11,14,5.5,28,21,127,269,27,61,60,169,74,77,169,73,77,-21.70924187,7.709
041694D,-32.23,-71.84,31,5.6,10,26,108,267,20,63,68,171,65,81,170,65,81,-25.2018261,-5.798
041789A,-30.92,-71.85,15,5.2,351,23,85,265,22,90,68,176,67,92,176,67,92,-22.75160599,7.752
041984B,-31.74,-72.06,31,5.7,19,16,120,265,31,67,58,168,76,82,168,76,82,-18.78923035,-12.211
042097B,-33.85,-70.39,116,5.6,181,13,-93,275,58,94,32,4,77,-89,4,77,-89,-88.4995575,-27.5
042190B,-37.28,-73.79,20,5.8,352,17,80,270,28,97,62,183,73,93,182,73,93,-19.79605865,-0.204
042290A,-38.07,-73.6,31,5.6,347,16,81,264,29,90,61,177,74,93,176,74,93,-26.37311935,-4.627
042596A,-30.24,-71.52,73,5.2,7,42,-82,33,84,271,3,177,48,-97,176,49,-97,-33.71398926,-39.286
042599B,-31.91,-69.34,120,5.3,36,42,-62,34,71,286,6,181,54,-113,180,54,-113,-102.5781784,-17.422
042679A,-33.91,-72.07,34,5.9,26,25,124,271,23,56,63,170,70,76,169,69,75,-25.08870125,-8.911
042702B,-31.72,-67.78,49,5.2,341,41,31,290,17,178,51,227,71,127,227,70,127,-99.24941254,50.249
042885A,-33.18,-71.9,30,5.6,7,22,100,269,23,79,66,176,69,86,176,68,86,-25.00546265,-4.995
042885B,-39.99,-75.65,10,5.9,46,27,-101,160,71,324,18,239,64,-84,238,64,-84,,
042894B,-39.95,-75.72,15,5.5,225,51,-44,200,56,104,4,346,57,-132,346,57,-132,,
042895A,-32.06,-71.99,21,5.2,126,42,61,56,6,308,70,342,54,114,343,54,114,-20.57099533,-0.429
043004A,-33.59,-70.5,102,5,157,35,-133,335,61,97,16,26,65,-64,26,65,-64,-82.32798767,-19.672
043099E,-31.9,-72.27,32,5.5,355,29,81,272,16,107,73,185,61,95,185,61,95,-14.58023262,-17.42
050304A,-37.95,-73.75,24,,0,16,118,247,31,51,58,151,76,82,151,76,82,-22.81490898,-1.185
050392B,-32.36,-71.66,61,5.5,275,4,23,248,43,76,46,162,88,94,162,88,94,-32.169487,-28.831
050601E,-32.95,-70.92,50,5.2,313,32,42,257,20,130,58,185,69,115,186,69,115,-64.10943604,14.109
050898E,-45.15,-78.08,15,5.3,158,55,-17,124,35,24,14,258,76,-144,258,76,-144,,
050983A,-41.92,-74.45,33,6.1,358,41,-118,177,71,288,7,213,54,-68,213,55,-68,-18.66655922,-14.333
050984A,-34.34,-70.19,108,5.3,205,31,-95,309,76,119,14,31,60,-87,31,59,-87,-104.4679489,-3.532
051490C,-35.89,-71.34,92,6.1,273,40,19,230,23,116,44,168,78,128,168,78,128,-85.42987823,-6.57
051785B,-34.19,-72.59,36,5.4,46,32,143,278,22,45,56,168,71,63,169,71,63,-15.33284473,-20.667
051803C,-31.46,-69.18,122,5.4,43,41,-82,76,83,307,4,213,49,-97,212,49,-97,-99.4703598,-22.53
051891A,-40.59,-75.45,15,5.4,242,61,-27,206,39,113,4,346,67,-149,346,67,-148,,
051892B,-33.61,-72.03,15,6.1,19,8,120,262,38,74,52,169,83,86,169,83,86,-22.68593216,7.686
051985A,-34,-72.54,38,5.5,20,28,103,280,18,80,71,185,62,83,185,63,83,-14.64635563,-23.354
051985C,-30.38,-71.81,46,6.2,359,35,96,265,10,66,79,172,55,86,172,55,86,-23.07398605,-22.926
