id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
b000k2e3,1970-01-01T00:00:00,0.0,0.0,20.0,5.4,mwb,346.09,24.93,75.42,182.1,65.92,96.68,68.0,105.0,6.0,359.0,21.0,267.0,1.2574e+17,1.755e+16,-1.4329e+17,-1.032e+16,-1.1936e+17,1.452e+16,us,287_usl
70006t6h,1970-01-01T00:00:00,0.0,0.0,53.0,5.0,mwr,35.06,45.6,132.02,162.89,57.94,55.64,60.0,19.0,29.0,183.0,7.0,277.0,2.6898e+16,7855000000000000.0,-3.4752e+16,1.3862e+16,-9295000000000000.0,-6818000000000000.0,us,287_usk
70008fmr,1970-01-01T00:00:00,0.0,0.0,9.0,5.1,mwr,190.24,81.6,72.13,75.86,19.69,154.3,50.0,80.0,18.0,193.0,34.0,295.0,1.7252e+16,-7132000000000000.0,-1.0119e+16,-7447000000000000.0,-5.6822e+16,-2.093e+16,us,287_usj
70009awg,1970-01-01T00:00:00,0.0,0.0,78.0,4.9,mwr,45.57,68.44,-109.82,270.01,28.97,-49.37,21.0,150.0,18.0,53.0,61.0,285.0,-1.5224e+16,1.523e+16,-5000000000000.0,-9544000000000000.0,-1.3483e+16,7467000000000000.0,us,287_usi
6000c8ev,1970-01-01T00:00:00,0.0,0.0,103.0,4.9,mwr,356.69,34.04,-122.06,213.78,61.68,-70.27,15.0,290.0,17.0,24.0,67.0,162.0,-2.0184e+16,-1385000000000000.0,2.1568e+16,1.0637e+16,9050000000000000.0,6964000000000000.0,us,287_ush
7000cp39,1970-01-01T00:00:00,0.0,0.0,47.0,4.9,mwr,24.38,60.29,105.55,175.06,33.2,64.83,70.0,329.0,13.0,197.0,14.0,103.0,2.2817e+16,-1294000000000000.0,-2.1523e+16,9338000000000000.0,9978000000000000.0,-3089000000000000.0,us,287_usg
6000dgd0,1970-01-01T00:00:00,0.0,0.0,62.0,5.1,mwr,328.85,22.48,72.53,167.66,68.61,97.08,66.0,90.0,7.0,345.0,23.0,252.0,4.2545e+16,-1.0173e+16,-3.2372e+16,5511000000000000.0,-4.2562e+16,1.2045e+16,us,287_usf
6000diut,1970-01-01T00:00:00,0.0,0.0,46.0,4.9,mwr,357.66,66.28,103.27,147.28,26.99,62.43,66.0,291.0,12.0,172.0,20.0,78.0,2.3505e+16,-2665000000000000.0,-2.0841e+16,2754000000000000.0,2.0858e+16,7051000000000000.0,us,287_use
6000e2aa,1970-01-01T00:00:00,0.0,0.0,12.0,4.7,mwr,175.51,70.15,79.83,23.35,22.21,116.06,63.0,69.0,10.0,179.0,24.0,273.0,8010000000000000.0,2195000000000000.0,-1.0206e+16,1205000000000000.0,-1.064e+16,-1579000000000000.0,us,287_usd
6000e2vk,1970-01-01T00:00:00,0.0,0.0,18.0,4.8,mwr,327.64,24.14,62.41,177.43,68.75,101.73,64.0,107.0,11.0,353.0,23.0,258.0,1.4281e+16,-1423000000000000.0,-1.2858e+16,-1172000000000000.0,-1.5124e+16,4352000000000000.0,us,287_usc
