id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups
200710201956A,2007-10-20T19:56:00,-73.51,-36.5,41.0,5.2,mw,13.0,23.0,104.0,177.0,67.0,84.0,67.0,76.0,6.0,179.0,22.0,272.0,5.18e+16,1.01e+16,-6.18e+16,4670000000000000.0,-5.56e+16,-4780000000000000.0,gmt,gcmt:C200710201956A;gcmt:C200710201956A;us:C200710201956A;gem:13246181
200710270116A,2007-10-27T01:16:00,-69.21,-31.85,114.0,5.0,mw,299.0,51.0,-26.0,46.0,70.0,-138.0,12.0,168.0,44.0,66.0,43.0,270.0,-1.73,3.72,-1.99,-0.78,-2.34,0.78,gmt,us:C200710270116A;gem:13250332
200712151822A,2007-12-15T18:22:00,-72.02,-32.81,33.0,5.9,mw,359.0,21.0,89.0,179.0,69.0,90.0,66.0,90.0,0.0,359.0,24.0,269.0,5.4700000000000006e+17,8.8e+16,-6.35e+17,7000000000000000.0,-6.59e+17,1.2e+16,gmt,gcmt:C200712151822A;gcmt:C200712151822A;us:C200712151822A;neic:13290204;gem:13290204
200712200306A,2007-12-20T03:06:00,-72.01,-32.85,25.0,5.5,mw,351.0,12.0,80.0,181.0,78.0,92.0,57.0,93.0,2.0,0.0,33.0,269.0,6.61e+16,2.04e+16,-8.66e+16,-2500000000000000.0,-1.78e+17,5500000000000000.0,gmt,gcmt:C200712200306A;gcmt:C200712200306A;us:C200712200306A;gem:13293173
200802292251A,2008-02-29T22:51:00,-75.49,-40.56,19.0,5.0,mw,212.0,46.0,-107.0,56.0,47.0,-73.0,1.0,134.0,12.0,224.0,78.0,41.0,-4.69e+16,2.26e+16,2.43e+16,-9370000000000000.0,7730000000000000.0,1.7e+16,gmt,gcmt:C200802292251A;gcmt:C200802292251A;us:C200802292251A;gem:10687507
C200803100943A,2008-03-10T09:43:01,-69.29,-28.34,89.5,5.6,mwc,3.0,33.0,-75.0,165.0,58.0,-100.0,13.0,262.0,8.0,170.0,75.0,48.0,-2.38e+17,-4300000000000000.0,2.43e+17,-5.32e+16,1.07e+17,-2.59e+16,us,neic:13485624;gem:13485624
200803290134A,2008-03-29T01:34:00,-74.58,-43.2,42.0,5.1,mw,5.0,32.0,90.0,184.0,58.0,90.0,77.0,94.0,0.0,184.0,13.0,274.0,5.34,-0.88,-4.45,-0.17,-2.46,-0.28,gmt,us:C200803290134A;gem:13498986
200804110129A,2008-04-11T01:29:00,-76.36,-45.88,17.0,5.1,mw,80.0,67.0,-165.0,343.0,76.0,-24.0,6.0,33.0,62.0,135.0,27.0,300.0,0.4,2.17,-2.57,-1.61,-3.37,-4.25,gmt,us:C200804110129A;gem:10882044
200805020551A,2008-05-02T05:51:00,-72.65,-42.93,17.0,5.3,mw,206.0,77.0,-177.0,115.0,87.0,-13.0,7.0,161.0,77.0,281.0,12.0,70.0,-0.35,0.88,-0.52,-0.18,0.01,0.56,gmt,us:C200805020551A;gem:10925030
200805030236A,2008-05-03T02:36:00,-72.56,-42.82,12.0,5.1,mw,280.0,52.0,-31.0,31.0,66.0,-137.0,9.0,153.0,42.0,55.0,47.0,252.0,-1.98,2.9,-0.91,0.99,-3.8,1.66,gmt,us:C200805030236A;gem:10925073
200805201516A,2008-05-20T15:16:00,-78.9,-44.57,12.0,5.6,mw,76.0,64.0,-170.0,342.0,81.0,-27.0,12.0,32.0,62.0,145.0,25.0,296.0,-2.89e+16,1.48e+17,-1.19e+17,-4600000000000000.0,-1.32e+17,-2.12e+17,gmt,gcmt:C200805201516A;gcmt:C200805201516A;gem:10971876
200805240243A,2008-05-24T02:43:00,-72.46,-42.17,12.0,5.5,mw,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,55.0,193.0,30.0,48.0,-6.999999999999999e+16,4500000000000000.0,6.55e+16,3.03e+16,8.34e+16,1.57e+17,gmt,gcmt:C200805240243A;gcmt:C200805240243A;us:C200805240243A;gem:10955648
200810011703A,2008-10-01T17:03:00,-71.04,-35.03,119.0,5.2,mw,288.0,4.0,-10.0,28.0,89.0,-94.0,44.0,122.0,4.0,28.0,46.0,294.0,1030000000000000.0,870000000000000.0,-1900000000000000.0,-3.48e+16,-6.46e+16,7550000000000000.0,gmt,gcmt:C200810011703A;gcmt:C200810011703A;us:C200810011703A;gem:11322869
11370123,2008-10-27T19:08:16,-69.264,-27.188,108.5,5.11,mw,191.0,60.0,140.0,304.0,56.0,37.0,3.4503493053245826,335.58846477678026,52.995498014049566,241.00000000000003,36.788383917275226,68.17256435762363,3.46,1.68,-5.14,-1.62,-1.08,3.33,gem,
200811232119A,2008-11-23T21:19:00,-73.36,-36.38,38.0,5.3,mw,11.0,22.0,111.0,169.0,69.0,82.0,65.0,65.0,8.0,172.0,24.0,265.0,6.56e+16,1.36e+16,-7.93e+16,1.81e+16,-7.7e+16,2100000000000000.0,gmt,gcmt:C200811232119A;gcmt:C200811232119A;us:C200811232119A;neic:11473311;gem:11473311
20081216220525,2008-12-16T22:05:28,-71.85,-29.91,63.4,5.1,mwc,290.0,29.0,-1.0,21.0,90.0,-119.0,38.0,136.0,29.0,21.0,39.0,265.0,-1400000000000000.0,1.99e+16,-1.86e+16,-1.4e+16,-4.6e+16,1.79e+16,us,gem:12077821
200812182119A,2008-12-18T21:19:00,-72.13,-32.63,22.0,6.1,mw,360.0,19.0,94.0,175.0,71.0,89.0,45.00000000000001,265.0,1.5902773407317588e-15,355.0,45.00000000000001,85.0,1.13e+18,1.18e+17,-1.25e+18,1.33e+17,-1.54e+18,6.2e+16,gmt,gcmt:C200812182119A;gcmt:C200812182119A;us:pde20081218211928380_18;neic:13813917;gem:13813917
200812182150A,2008-12-18T21:50:00,-72.11,-32.62,21.0,5.8,mw,350.0,18.0,83.0,177.0,72.0,92.0,63.0,90.0,2.0,356.0,27.0,265.0,4.43e+17,7500000000000000.0,-4.51e+17,2.46e+16,-6.1e+17,5.29e+16,gmt,gcmt:C200812182150A;gcmt:C200812182150A;us:C200812182150A;neic:12078106;gem:12078106
200812190730A,2008-12-19T07:30:00,-72.24,-32.66,22.0,5.4,mw,359.0,20.0,90.0,179.0,70.0,90.0,65.0,89.0,0.0,179.0,25.0,269.0,9.47e+16,6400000000000000.0,-1.01e+17,1500000000000000.0,-1.17e+17,1200000000000000.0,gmt,gcmt:C200812190730A;gcmt:C200812190730A;us:C200812190730A;gem:11513607
200812190936A,2008-12-19T09:36:00,-72.1,-32.56,23.0,5.7,mw,2.0,19.0,100.0,172.0,72.0,87.0,63.0,77.0,3.0,173.0,27.0,265.0,2.83e+17,1.64e+16,-2.99e+17,6.08e+16,-3.84e+17,1.6900000000000002e+16,gmt,gcmt:C200812190936A;gcmt:C200812190936A;us:C200812190936A;neic:11513615;gem:11513615
200812191357A,2008-12-19T13:57:00,-71.97,-32.68,24.0,5.2,mw,11.0,19.0,118.0,162.0,74.0,81.0,60.0,59.0,9.0,165.0,28.0,259.0,3.4000000000000004e+16,2.46e+16,-5.86e+16,1.98e+16,-6.780000000000001e+16,1.2e+16,gmt,gcmt:C200812191357A;gcmt:C200812191357A;us:C200812191357A;gem:11513629
200812191648A,2008-12-19T16:48:00,-72.25,-32.6,29.0,5.2,mw,351.0,23.0,82.0,180.0,67.0,93.0,68.0,96.0,3.0,358.0,22.0,267.0,4.93,0.57,-5.5,-0.08,-4.97,0.43,gmt,us:C200812191648A;gem:11513635
200812201707A,2008-12-20T17:07:00,-68.14,-31.72,123.0,5.2,mw,66.0,46.0,-52.0,198.0,56.0,-122.0,5.0,310.0,26.0,217.0,63.0,51.0,-6.909999999999999e+16,2.71e+16,4.2e+16,-1.31e+16,3.11e+16,5.759999999999999e+16,gmt,gcmt:C200812201707A;gcmt:C200812201707A;us:C200812201707A;gem:11527749
200901231256A,2009-01-23T12:56:00,-71.22,-36.64,122.0,5.2,mw,253.0,56.0,-16.0,352.0,77.0,-145.0,13.0,119.0,53.0,10.0,33.0,218.0,-1.52,-1.56,3.08,2.43,-3.69,5.44,gmt,us:C200901231256A;gem:11616520
C200902060258A,2009-02-06T02:58:36,-71.62,-28.16,59.1,5.5,mw,154.0,23.0,-107.0,352.0,68.0,-83.0,23.0,77.0,7.0,169.0,66.0,275.0,-8.29e+16,1.7100000000000002e+16,6.59e+16,3300000000000000.0,-7.96e+16,-1.93e+16,gcmt,gem:11667352
C200902160222A,2009-02-16T02:22:50,-69.81,-29.13,75.0,5.4,mwc,323.0,46.0,-32.0,77.0,67.0,-131.0,13.0,196.0,37.0,96.0,50.0,301.0,-7.62e+16,1.1100000000000002e+17,-3.49e+16,-6.46e+16,-4.88e+16,-6.18e+16,us,gem:11678027
200903111306A,2009-03-11T13:06:00,-69.29,-31.98,37.0,5.3,mw,190.0,44.0,109.0,344.0,49.0,72.0,76.0,186.0,13.0,356.0,2.0,87.0,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8000000000000000.0,7800000000000000.0,gmt,gcmt:C200903111306A;gcmt:C200903111306A;us:C200903111306A;neic:11799078;gem:11799078
200903121103A,2009-03-12T11:03:00,-78.35,-45.27,17.0,5.0,mw,157.0,43.0,-117.0,12.0,53.0,-67.0,43.51931257349565,265.8874664782107,42.05212264937879,54.82375221337389,16.130871733637118,159.94667347718143,-3.72,0.44,3.28,-1.44,-0.76,-0.35,gmt,gem:12085978
11883156,2009-03-15T13:50:38,-65.428,-30.999,178.7,5.15,mw,149.0,40.0,-69.0,303.0,53.0,-107.0,44.20790654648653,44.21650152049631,35.84903021522692,269.56294464857365,24.413696770500827,160.41794853752253,-5.93,2.89,3.04,2.06,-0.18,-3.83,gem,
C200904031754A,2009-04-03T17:54:53,-66.71,-28.09,180.4,5.7,mw,183.0,43.0,-31.0,297.0,69.0,-129.0,15.0,54.0,36.0,313.0,50.0,163.0,-2.23e+17,-2.46e+16,2.48e+17,2.56e+17,-4.14e+16,-2.53e+17,gcmt,neic:12086165;gem:12086165
200904260803A,2009-04-26T08:03:00,-69.49,-32.89,141.0,5.3,mw,145.0,49.0,169.0,242.0,82.0,42.0,34.0,112.0,48.0,251.0,22.0,7.0,2.21e+16,-9.56e+16,7.34e+16,-6.57e+16,-5.3e+16,4.41e+16,gmt,gcmt:C200904260803A;gcmt:C200904260803A;us:C200904260803A;gem:12697300
C200904281529A,2009-04-28T15:29:30,-76.28,-48.48,17.5,5.2,mw,7.0,20.0,97.0,180.0,70.0,88.0,65.0,86.0,2.0,181.0,25.0,272.0,3.19e+16,1.25e+16,-4.43e+16,190000000000000.0,-4.55e+16,-2570000000000000.0,gcmt,gem:13439162
200905081344A,2009-05-08T13:44:00,-69.68,-32.02,110.0,5.4,mw,185.0,48.0,-121.0,47.0,50.0,-60.0,1.0,116.0,22.0,206.0,68.0,24.0,-1.1499999999999998e+17,1700000000000000.0,1.1299999999999998e+17,-3.86e+16,1.47e+16,7.029999999999999e+16,gmt,gcmt:C200905081344A;gcmt:C200905081344A;us:C200905081344A;neic:12784565;gem:12784565
C200905171235A,2009-05-17T12:35:25,-70.24,-27.39,101.7,5.2,mw,356.0,29.0,-79.0,163.0,62.0,-96.0,16.0,258.0,5.0,166.0,73.0,58.0,-7.62e+16,1.79e+16,5.83e+16,-1.92e+16,4.01e+16,-5800000000000000.0,gcmt,gem:12828761
C200905250510A,2009-05-25T05:10:13,-71.32,-28.52,48.8,5.3,mwc,192.0,20.0,-84.0,5.0,70.0,-92.0,25.0,97.0,2.0,6.0,65.0,271.0,-6.989999999999999e+16,1.07e+16,5.92e+16,-5300000000000000.0,-7.72e+16,8300000000000000.0,us,gem:12861955
200906132122A,2009-06-13T21:22:00,-71.99,-30.8,34.0,5.0,mw,352.0,29.0,88.0,175.0,61.0,91.0,74.0,89.0,1.0,355.0,16.0,264.0,3.77e+16,4630000000000000.0,-4.230000000000001e+16,1690000000000000.0,-2.47e+16,5070000000000000.0,gmt,gcmt:C200906132122A;gcmt:C200906132122A;us:C200906132122A;gem:13066708
200906170705A,2009-06-17T07:05:00,-77.61,-45.83,25.0,5.2,mw,346.0,68.0,-11.0,80.0,80.0,-158.0,8.0,212.0,65.0,104.0,23.0,305.0,-0.81,3.51,-2.7,-2.87,-2.2,-7.19,gmt,us:C200906170705A;gem:13681521
200906290307A,2009-06-29T03:07:00,-77.15,-45.64,17.0,5.3,mw,79.0,67.0,-171.0,346.0,81.0,-23.0,10.0,34.0,65.0,147.0,22.0,300.0,-2.8e+16,5.76e+16,-2.96e+16,4800000000000000.0,-4.03e+16,-9.87e+16,gmt,gcmt:C200906290307A;gcmt:C200906290307A;us:20090629030730;gem:13307294
C200907071646A,2009-07-07T16:46:15,-71.13,-29.36,48.9,5.4,mwc,260.0,50.0,-174.0,165.0,85.0,-40.0,23.0,219.0,50.0,340.0,31.0,115.0,-1.32e+16,5.91e+16,-4.59e+16,-7900000000000000.0,9.98e+16,-1.05e+17,us,gem:13361362
200907121443A,2009-07-12T14:43:00,-71.58,-30.71,66.0,5.2,mw,360.0,32.0,99.0,169.0,58.0,84.0,76.0,63.0,5.0,172.0,13.0,263.0,5.77,1.16,-6.92,0.79,-3.06,0.83,gmt,us:C200907121443A;gem:13375951
C200908121800A,2009-08-12T18:00:55,-66.71,-28.1,177.9,5.5,mw,297.0,45.0,-126.0,162.0,55.0,-60.0,6.0,232.0,24.0,324.0,65.0,129.0,-1.41e+17,5.17e+16,8.92e+16,2.7300000000000004e+16,6.28e+16,-1.07e+17,gcmt,gem:13566201
200909120356A,2009-09-12T03:56:00,-76.99,-45.83,18.0,5.0,mw,176.0,26.0,-92.0,359.0,64.0,-89.0,19.0,88.0,1.0,179.0,71.0,272.0,-3.46e+16,7160000000000000.0,2.75e+16,-200000000000000.0,-2.37e+16,-940000000000000.0,gmt,gcmt:C200909120356A;gcmt:C200909120356A;us:C200909120356A;gem:13760091
200909251547A,2009-09-25T15:47:00,-71.9,-32.26,42.0,5.1,mw,277.0,58.0,15.0,180.0,78.0,147.0,32.0,134.0,55.0,341.0,13.0,232.0,1.3e+16,-810000000000000.0,-1.22e+16,-7460000000000000.0,-2.54e+16,4.32e+16,gmt,gcmt:C200909251547A;gcmt:C200909251547A;us:C200909251547A;gem:13795340
200910280620A,2009-10-28T06:20:00,-72.05,-32.84,19.0,5.0,mw,164.0,43.0,86.0,349.0,47.0,94.0,87.0,310.0,3.0,167.0,2.0,77.0,3.88e+16,-2590000000000000.0,-3.62e+16,1160000000000000.0,2980000000000000.0,8360000000000000.0,gmt,gcmt:C200910280620A;gcmt:C200910280620A;us:C200910280620A;gem:14094515
C200910300253A,2009-10-30T02:53:39,-71.93,-32.8,19.8,4.9,mwc,358.0,46.0,110.0,151.0,47.0,71.0,76.0,347.0,14.0,164.0,1.0,254.0,,,,,,,us,
200911222207A,2009-11-22T22:07:00,-75.46,-39.77,12.0,5.8,mw,199.0,43.0,-69.0,351.0,51.0,-109.0,43.3986584460768,279.702850470077,26.523492232691314,161.5420780176879,34.97098121850017,51.11025596565412,-6.99e+17,-1.9e+16,7.19e+17,1.77e+17,-1.16e+17,6.7e+16,gmt,gcmt:C200911222207A;gcmt:C200911222207A;us:pde20091122220748220_7;neic:13979280;gem:13979280
200912291147A,2009-12-29T11:47:00,-73.39,-36.78,43.0,5.1,mw,1.0,21.0,95.0,175.0,69.0,88.0,66.0,82.0,2.0,176.0,24.0,267.0,3.37e+16,1850000000000000.0,-3.55e+16,3600000000000000.0,-3.76e+16,1250000000000000.0,gmt,gcmt:C200912291147A;gcmt:C200912291147A;us:C200912291147A;gem:14209504
201001181228A,2010-01-18T12:28:00,-68.97,-31.48,116.0,5.4,mw,231.0,37.0,-97.0,60.0,54.0,-85.0,8.0,147.0,4.0,237.0,80.0,354.0,-1.3899999999999998e+17,9.78e+16,4.1e+16,-4.21e+16,-1.5e+16,7.08e+16,gmt,gcmt:C201001181228A;gcmt:C201001181228A;us:C201001181228A;neic:14238697;gem:14238697
C201001191728A,2010-01-19T17:28:21,-65.74,-27.71,32.1,5.2,mw,243.0,75.0,178.0,333.0,88.0,15.0,12.0,199.0,74.0,341.0,9.0,107.0,8500000000000002.0,6.4e+16,-7.25e+16,-1.04e+16,2.01e+16,-4.92e+16,gcmt,gem:14240651
C201001300550A,2010-01-30T05:50:09,-70.7,-28.23,57.4,5.3,mwc,17.0,31.0,107.0,177.0,60.0,80.0,73.0,63.0,9.0,182.0,15.0,274.0,8.63e+16,1.9e+16,-1.05e+17,8100000000000000.0,-5.550000000000001e+16,-1.31e+16,us,neic:14265217;gem:14265217
201002121203A,2010-02-12T12:03:00,-69.02,-33.63,174.0,5.8,mw,69.0,57.0,-156.0,325.0,70.0,-35.0,8.0,19.0,50.0,119.0,39.0,283.0,-2.4e+17,5.7300000000000006e+17,-3.33e+17,1000000000000000.0,-3.98e+17,-2.93e+17,gmt,gcmt:C201002121203A;gcmt:C201002121203A;us:C201002121203A;neic:14542435;gem:14542435
C201002270634A,2010-02-27T06:35:14,-73.15,-35.98,23.2,8.3,mw,19.0,18.0,116.0,172.0,74.0,82.0,61.0,70.0,8.0,174.0,28.0,269.0,1.04e+22,-3.9e+20,-1e+22,3.04e+21,-1.52e+22,-1.19e+21,gcmt,neic:14340585;gem:14340585
201002270801A,2010-02-27T08:01:00,-75.41,-38.09,20.0,6.6,mw,3.0,46.0,-102.0,200.0,46.0,-78.0,0.0,281.0,9.0,11.0,81.0,191.0,-1.3999999999999998e+20,1.63e+19,1.24e+20,2.34e+19,-4.1e+18,2.27e+19,gmt,gcmt:S201002270801A;gcmt:S201002270801A;us:S201002270801A;gem:14357776
pde20100227172430590_19,2010-02-27T17:24:30,-73.208,-36.354,19.0,6.1,mwb,226.0,63.0,51.0,107.0,46.0,141.0,54.0,86.0,33.0,246.0,9.0,342.0,9.4e+17,-1.34e+18,3.9e+17,-2.1e+17,-7.4e+17,-4.5e+17,us,neic:14344848
201002271900A,2010-02-27T19:00:00,-72.29,-33.62,24.0,6.2,mw,3.0,27.0,97.0,175.0,64.0,86.0,71.0,77.0,3.0,177.0,19.0,268.0,2.42e+18,-3.43e+17,-2.08e+18,2.61e+17,-1.7e+18,8999999999999998.0,gmt,gcmt:C201002271900A;gcmt:C201002271900A;us:C201002271900A;neic:14357795;gem:14357795
201002272302A,2010-02-27T23:02:00,-73.33,-37.94,53.0,5.9,mw,349.0,27.0,90.0,169.0,63.0,90.0,72.0,79.0,0.0,349.0,18.0,259.0,7.05e+17,-1.22e+17,-5.83e+17,9.1e+16,-4.6e+17,9.5e+16,gmt,gcmt:C201002272302A;gcmt:C201002272302A;us:C201002272302A;neic:14342117;gem:14342117
201002280108A,2010-02-28T01:08:00,-72.46,-34.25,31.0,5.9,mw,13.0,24.0,95.0,187.0,66.0,88.0,69.0,93.0,2.0,188.0,21.0,279.0,7.36e+17,-5.7e+16,-6.79e+17,-6.5e+16,-6.53e+17,-1.17e+17,gmt,gcmt:C201002280108A;gcmt:C201002280108A;us:C201002280108A;neic:14342120;gem:14342120
201002281125A,2010-02-28T11:25:00,-72.05,-35.11,53.0,6.2,mw,17.0,25.0,113.0,171.0,67.0,80.0,66.0,63.0,10.0,175.0,22.0,269.0,1.65e+18,1.95e+17,-1.84e+18,3.93e+17,-1.64e+18,-1.13e+17,gmt,gcmt:C201002281125A;gcmt:C201002281125A;us:C201002281125A;neic:17273456;gem:17273456
201002281948A,2010-02-28T19:48:00,-74.15,-38.36,15.0,5.8,mw,1.0,16.0,91.0,180.0,74.0,90.0,61.0,90.0,0.0,180.0,29.0,270.0,3.88e+17,-6300000000000000.0,-3.81e+17,-2000000000000000.0,-6.08e+17,-3400000000000000.0,gmt,gcmt:C201002281948A;gcmt:C201002281948A;us:C201002281948A;neic:14357818;gem:14357818
201003010110A,2010-03-01T01:10:00,-72.33,-35.4,58.0,5.2,mw,34.0,33.0,130.0,169.0,65.0,67.0,63.0,43.0,20.0,179.0,17.0,276.0,5.05e+16,2.2e+16,-7.25e+16,1.34e+16,-4.46e+16,-1.48e+16,gmt,gcmt:C201003010110A;gcmt:C201003010110A;us:C201003010110A;gem:14342530
201003010244A,2010-03-01T02:44:00,-72.75,-35.22,19.0,5.6,mw,302.0,29.0,32.0,183.0,75.0,115.0,53.0,123.0,24.0,356.0,26.0,254.0,1.3999999999999998e+17,4.03e+16,-1.8e+17,-3.08e+16,-2.55e+17,1.3e+17,gmt,gcmt:C201003010244A;gcmt:C201003010244A;us:C201003010244A;neic:14342532;gem:14342532
C201003010530A,2010-03-01T05:30:35,-73.6,-34.67,35.0,4.9,mwc,234.0,44.0,-67.0,24.0,50.0,-111.0,3.0,128.0,16.0,37.0,74.0,229.0,-2.81e+16,1.16e+16,1.64e+16,5390000000000000.0,-8040000000000000.0,1.18e+16,us,
201003010749A,2010-03-01T07:49:00,-73.53,-34.73,12.0,5.3,mw,208.0,35.0,-65.0,358.0,58.0,-107.0,12.0,100.0,14.0,7.0,71.0,228.0,-9.45e+16,-3.54e+16,1.3e+17,8400000000000002.0,-5.29e+16,3.3e+16,gmt,gcmt:C201003010749A;gcmt:C201003010749A;us:C201003010749A;gem:14342544
201003010846A,2010-03-01T08:46:00,-73.46,-35.51,15.0,5.3,mw,26.0,17.0,98.0,197.0,73.0,87.0,62.0,103.0,2.0,197.0,28.0,289.0,0.56,0.03,-0.58,-0.27,-0.91,-0.26,gmt,us:C201003010846A;gem:14344160
201003010858A,2010-03-01T08:58:00,-74.96,-37.91,19.0,5.0,mw,204.0,41.0,-79.0,9.0,50.0,-100.0,4.0,106.0,7.0,15.0,81.0,225.0,-3.98e+16,6150000000000000.0,3.36e+16,4070000000000000.0,-7150000000000000.0,8890000000000000.0,gmt,gcmt:C201003010858A;gcmt:C201003010858A;us:C201003010858A;gem:14344960
201003011220A,2010-03-01T12:20:00,-74.01,-34.57,12.0,5.1,mw,41.0,40.0,-91.0,222.0,50.0,-89.0,5.0,311.0,0.0,41.0,85.0,137.0,-5.24e+16,2.27e+16,2.97e+16,6080000000000000.0,6240000000000000.0,2.7400000000000004e+16,gmt,gcmt:C201003011220A;gcmt:C201003011220A;us:C201003011220A;gem:14344165
201003011436A,2010-03-01T14:36:00,-73.96,-34.53,12.0,5.2,mw,46.0,39.0,-89.0,224.0,51.0,-91.0,6.0,315.0,1.0,225.0,84.0,127.0,-7.55e+16,3.76e+16,3.79e+16,1e+16,1.19e+16,2.9900000000000004e+16,gmt,gcmt:C201003011436A;gcmt:C201003011436A;us:C201003011436A;gem:14344172
201003011552A,2010-03-01T15:52:00,-73.91,-36.83,27.0,5.1,mw,13.0,27.0,104.0,177.0,64.0,83.0,70.0,73.0,6.0,180.0,19.0,272.0,4.05,-0.05,-4.0,0.43,-3.18,-0.35,gmt,us:C201003011552A;gem:14344174
201003011656A,2010-03-01T16:56:00,-72.7,-36.4,68.0,5.0,mw,43.0,35.0,125.0,182.0,62.0,68.0,66.0,53.0,19.0,193.0,15.0,288.0,2.5e+16,2650000000000000.0,-2.77e+16,3140000000000000.0,-1.8e+16,-1.39e+16,gmt,gcmt:C201003011656A;gcmt:C201003011656A;us:C201003011656A;gem:14344176
201003012240A,2010-03-01T22:40:00,-74.27,-34.9,18.0,5.0,mw,32.0,37.0,-88.0,209.0,53.0,-92.0,8.0,300.0,1.0,210.0,82.0,111.0,-3.7,1.17,2.53,0.42,0.9,1.24,gmt,us:C201003012240A;gem:14344341
201003020209A,2010-03-02T02:09:00,-71.47,-39.86,16.0,5.1,mw,176.0,65.0,-168.0,80.0,79.0,-25.0,9.0,130.0,62.0,238.0,26.0,36.0,470000000000000.0,-1.52e+16,1.47e+16,-3.2e+16,1.53e+16,5.28e+16,gmt,gcmt:C201003020209A;gcmt:C201003020209A;us:C201003020209A;gem:14554585
201003020409A,2010-03-02T04:09:00,-73.73,-35.88,15.0,5.4,mw,359.0,13.0,78.0,191.0,78.0,93.0,57.0,104.0,3.0,10.0,32.0,279.0,5.93e+16,8200000000000000.0,-6.750000000000001e+16,-2.69e+16,-1.34e+17,-7900000000000000.0,gmt,gcmt:C201003020409A;gcmt:C201003020409A;us:C201003020409A;gem:14344355
201003020428A,2010-03-02T04:28:00,-73.81,-36.85,15.0,5.5,mw,17.0,11.0,110.0,178.0,79.0,86.0,55.0,83.0,4.0,178.0,34.0,271.0,6.82e+16,3500000000000000.0,-7.17e+16,9900000000000000.0,-1.79e+17,-9400000000000000.0,gmt,gcmt:C201003020428A;gcmt:C201003020428A;us:20100302042845;gem:14344356
201003020610A,2010-03-02T06:10:00,-72.87,-34.63,15.0,5.3,mw,3.0,5.0,84.0,189.0,85.0,91.0,50.0,99.0,1.0,9.0,40.0,278.0,2.01e+16,3800000000000000.0,-2.4e+16,-1.7199999999999998e+16,-1.1399999999999998e+17,-3100000000000000.0,gmt,gcmt:C201003020610A;gcmt:C201003020610A;us:C201003020610A;gem:17150213
201003021130A,2010-03-02T11:30:00,-72.99,-35.45,12.0,5.0,mw,198.0,67.0,-163.0,101.0,74.0,-24.0,5.0,151.0,61.0,250.0,28.0,58.0,-1.85e+16,2.81e+16,-9510000000000000.0,-8520000000000000.0,3000000000000000.0,3.22e+16,gmt,gcmt:C201003021130A;gcmt:C201003021130A;us:C201003021130A;gem:14344865
201003021216A,2010-03-02T12:16:00,-73.83,-36.76,18.0,5.2,mw,5.0,16.0,95.0,181.0,74.0,89.0,61.0,89.0,1.0,181.0,29.0,272.0,4.19e+16,-1580000000000000.0,-4.03e+16,-110000000000000.0,-6.39e+16,-2130000000000000.0,gmt,gcmt:C201003021216A;gcmt:C201003021216A;us:C201003021216A;gem:17150271
201003021407A,2010-03-02T14:07:00,-74.43,-39.72,35.0,5.1,mw,16.0,28.0,112.0,172.0,64.0,79.0,69.0,59.0,10.0,177.0,18.0,270.0,4.61,-0.36,-4.25,1.11,-3.24,-0.39,gmt,us:C201003021407A;gem:14344975
201003021912A,2010-03-02T19:12:00,-72.55,-34.39,19.0,5.6,mw,14.0,17.0,119.0,163.0,75.0,81.0,59.0,62.0,8.0,165.0,30.0,260.0,1.57e+17,1.61e+16,-1.73e+17,9.19e+16,-2.66e+17,6100000000000000.0,gmt,gcmt:C201003021912A;gcmt:C201003021912A;us:C201003021912A;gem:14345091
201003022144A,2010-03-02T21:44:00,-73.85,-36.61,37.0,5.0,mw,44.0,26.0,115.0,196.0,67.0,79.0,66.0,86.0,11.0,201.0,21.0,295.0,3.54,-1.07,-2.46,-0.42,-3.25,-1.4,gmt,us:C201003022144A;gem:14411374
201003030435A,2010-03-03T04:35:00,-74.29,-37.61,15.0,5.3,mw,350.0,12.0,66.0,194.0,79.0,95.0,56.0,110.0,5.0,13.0,34.0,280.0,4.13e+16,4500000000000000.0,-4.58e+16,-2.71e+16,-1.02e+17,-2400000000000000.0,gmt,gcmt:C201003030435A;gcmt:C201003030435A;us:C201003030435A;gem:17150405
201003030442A,2010-03-03T04:42:00,-74.27,-37.4,21.0,5.1,mw,13.0,26.0,105.0,176.0,65.0,83.0,69.0,72.0,6.0,179.0,20.0,272.0,4.24,-0.73,-3.51,0.61,-3.19,-0.33,gmt,us:C201003030442A;gem:14411377
201003030616A,2010-03-03T06:16:00,-72.44,-33.81,23.0,5.2,mw,10.0,22.0,99.0,180.0,68.0,86.0,67.0,83.0,4.0,181.0,23.0,272.0,5.15,0.29,-5.44,0.21,-5.43,-0.43,gmt,us:C201003030616A;gem:14345113
