
  International Seismological Centre
  ISC: Focal Mechanism solutions

Any use of data from the ISC *should be cited*. The correct format for
citations may be found on our citation page <http://www.isc.ac.uk/
citations/>.

Once the search has completed, a compressed KML file <https://
www.isc.ac.uk/temp/kml/507173769.kmz> will be available to view the
results in Google Earth <http://earth.google.com/>.

Sorry a problem has occured with the map.
*Search summary:*
Database: Reviewed ISC Bulletin
Search type: Rectangular search
Latitude range: -51 to -27
Longitude range: -80 to -65
Start date: 1976-01-01 00:00:00
End date: 2025-08-01 00:00:00
Magnitude >= 4.9
Events found: 1650
Date of search: Mon Sep 1 13:00:30 2025 GMT

Agencies whose data contributed towards the results of this search are
listed at the bottom of the page.

/Please note:/

Data on or after 2023/09/01 have not been reviewed by the ISC.



DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
Reviewed ISC Bulletin
-----EVENT----|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
 14411413 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14411413&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-18,01:57:34.10,-36.6500, -72.9800, 25.5,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,8.734, 5.2,16, 2.000, 0.484,-2.480,-1.200, 0.175,-8.350,188.00,83.00,  94.00,340.00, 8.00,  63.00,16, 8.545,52.00,102.00,-8.923,38.00,275.00, 0.382, 4.00,  7.00
 14411414 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14411414&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-18,03:18:24.10,-34.4900, -72.4200, 30.6,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,5.608, 5.1,16,-3.440, 0.686, 2.750,-0.833, 1.010, 4.510, 35.00,21.00, -54.00,177.00,73.00,-103.00,16, 5.183,27.00,277.00,-6.033,60.00, 69.00, 0.845,12.00,181.00
 14412246 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14412246&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-18,09:32:27.90,-44.4300, -73.0100, 20.4,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,9.188, 5.2,16,-0.811, 2.690,-1.880,-3.390, 8.210,-1.660,186.00,72.00, 171.00,279.00,81.00,  18.00,16,10.178,19.00,144.00,-8.198, 6.00, 51.00,-1.982,70.00,303.00
 14414561 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14414561&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-19,02:55:55.20,-33.6300, -72.6500, 16.6,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,7.301, 5.2,16, 4.430,-0.277,-4.150,-0.219,-0.615,-5.870, 13.00,18.00,  99.00,184.00,72.00,  87.00,16, 7.411,63.00, 89.00,-7.191,27.00,276.00,-0.217, 3.00,184.00
 14554135 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14554135&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-19,08:54:51.20,-35.6700, -73.3300, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.944, 5.5,17, 0.588, 0.035,-0.620, 0.080,-0.146,-1.840, 27.00,10.00, 118.00,178.00,81.00,  85.00,17, 1.932,54.00, 82.00,-1.956,36.00,273.00, 0.025, 5.00,179.00
 14415085 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14415085&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-19,14:20:47.30,-33.3700, -72.5900, 15.1,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,6.790, 5.2,16, 3.470,-0.307,-3.160, 0.373,-0.551,-5.890, 20.00,16.00, 110.00,178.00,75.00,  84.00,16, 6.963,59.00, 81.00,-6.617,30.00,273.00,-0.343, 5.00,180.00
 14554147 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14554147&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-03-21,18:31:04.10,-36.3440, -73.1640, 36.2,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,2.400, 5.5,17, 1.670,-0.820,-0.850,-0.530,-1.480,-1.140, 63.00,32.00, 118.00,211.00,62.00,  74.00,17, 2.110,68.00, 87.00,-2.640,15.00,312.00, 0.530,14.00,218.00
 14554147 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14554147&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-21,18:31:06.20,-36.5600, -73.5700, 21.2,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.497, 5.5,17, 1.720, 0.216,-1.940, 0.546, 0.078,-1.600, 11.00,25.00, 113.00,166.00,67.00,  79.00,17, 2.427,67.00, 57.00,-2.567,21.00,264.00, 0.135,10.00,170.00
 14418280 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14418280&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-23,02:34:02.30,-45.9400, -77.0400, 13.9,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,2.404, 4.8,16,-2.510, 0.299, 2.210,-0.298,-0.325,-0.074,164.00,45.00, -99.00,357.00,46.00, -81.00,16, 2.264, 0.00, 81.00,-2.544,84.00,348.00, 0.279, 6.00,171.00
 14420320 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14420320&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-24,00:05:15.40,-37.2800, -74.1800, 16.3,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,6.505, 5.1,16, 3.090,-0.249,-2.840, 0.555,-0.239,-5.760, 12.00,14.00, 106.00,176.00,77.00,  86.00,16, 6.655,58.00, 81.00,-6.355,31.00,269.00,-0.300, 4.00,177.00
 14462779 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14462779&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-25,11:10:40.80,-35.8500, -73.6900, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.144, 5.3,17, 0.536,-0.050,-0.480,-0.107,-0.119,-1.010, 21.00,14.00, 103.00,187.00,76.00,  87.00,17, 1.158,58.00, 93.00,-1.129,31.00,280.00,-0.028, 3.00,188.00
 14508014 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14508014&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-03-26,14:52:06.00,-27.9900, -70.7100, 35.0,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  5.00,61.00, 102.00,160.00,31.00,  68.00,16, 1.740,71.00,304.00,-1.690,15.00, 86.00,-0.050,11.00,179.00
 14508014 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14508014&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-03-26,14:52:07.23,-27.9530, -70.8210, 42.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,18,3.800, 6.3,18, 3.270, 0.540,-3.810,-0.580, 1.130, 0.610,176.00,40.00, 104.00,337.00,51.00,  78.00,18, 3.410,79.00,197.00,-4.160, 5.00, 75.00, 0.750, 9.00,344.00
 14508014 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14508014&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-26,14:52:11.00,-28.1100, -71.3100, 41.4,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,1.769, 6.1,18, 1.590, 0.094,-1.690, 0.420,-0.281, 0.426, 21.00,54.00, 105.00,176.00,38.00,  70.00,18, 1.735,75.00,336.00,-1.804, 8.00,100.00, 0.063,12.00,192.00
 14508014 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14508014&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-03-26,14:52:19.80,-27.6300, -71.1600, 37.0,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,18,1.900, 6.1,18, 1.830, 0.040,-1.870,-0.370,-0.070,-0.060,193.00,47.00, 105.00,351.00,45.00,  74.00,18, 1.900,78.00,176.00,-1.870, 1.00,272.00,-0.030,11.00,  2.00
 14510076 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14510076&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-28,14:36:34.30,-36.1600, -73.9200, 12.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,7.546, 5.2,16, 3.840, 0.348,-4.190,-0.361,-0.365,-6.370,  6.00,16.00,  92.00,183.00,74.00,  89.00,16, 7.358,61.00, 92.00,-7.735,29.00,274.00, 0.375, 1.00,184.00
 14596759 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14596759&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-03-28,21:38:28.00,-35.3870, -73.3850, 29.9,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,18,1.200, 6.0,18, 0.700, 0.430,-1.130, 0.020,-0.170,-0.670, 20.00,28.00, 110.00,177.00,64.00,  80.00,18, 0.930,69.00, 65.00,-1.360,17.00,275.00, 0.430, 9.00,182.00
 14596759 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14596759&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-28,21:38:36.00,-35.5600, -73.4400, 12.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,1.107, 6.0,18, 0.514, 0.021,-0.530,-0.061,-0.164,-0.960, 28.00,16.00, 112.00,185.00,75.00,  84.00,18, 1.084,59.00, 87.00,-1.130,30.00,280.00, 0.046, 6.00,186.00
 14554192 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14554192&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-28,21:43:16.20,-35.4500, -73.4400, 17.1,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,3.394, 5.6,17, 1.760, 0.010,-1.770,-0.560,-0.285,-2.830,  7.00,16.00,  86.00,191.00,74.00,  91.00,17, 3.368,61.00,102.00,-3.420,29.00,280.00, 0.052, 1.00, 11.00
 14512790 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14512790&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-03-29,07:35:06.00,-34.8810, -71.9350, 34.1,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,1.600, 5.4,17, 0.230,-0.670, 0.440,-0.300,-0.310,-1.450,106.00,23.00, 174.00,201.00,88.00,  67.00,17, 1.790,42.00, 89.00,-1.380,38.00,311.00,-0.400,22.00,201.00
 14512790 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14512790&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-03-29,07:35:10.80,-34.9200, -72.0100, 53.2,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.090, 5.3,17, 0.698, 0.162,-0.860, 0.149,-0.257,-0.697, 36.00,29.00, 127.00,175.00,67.00,  71.00,17, 1.027,63.00, 54.00,-1.153,20.00,279.00, 0.126,17.00,182.00
 14560379 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14560379&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-01,12:53:10.10,-34.8700, -72.2200, 12.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,6.016, 5.1,16,-3.240, 2.100, 1.150,-2.360, 4.050, 2.530, 82.00,59.00, -39.00,195.00,58.00,-142.00,16, 5.704, 1.00,139.00,-6.328,48.00, 48.00, 0.634,42.00,229.00
 14542704 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14542704&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-01,19:43:05.10,-34.2800, -72.2500, 23.9,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,6.235, 5.1,16, 2.840, 0.784,-3.620, 0.649, 0.588,-5.270,173.00,74.00,  90.00,352.00,16.00,  89.00,16, 5.807,61.00, 83.00,-6.664,29.00,263.00, 0.861, 0.00,353.00
 14560389 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14560389&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-04-02,22:58:07.56,-36.2270, -72.8780, 24.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,8.000, 5.9,17, 5.510,-1.140,-4.360, 0.170, 1.750,-6.020,172.00,70.00, 100.00,325.00,23.00,  65.00,17, 8.400,64.00, 98.00,-7.630,23.00,254.00,-0.760, 9.00,348.00
 14560389 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14560389&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-04-02,22:58:09.00,-36.5900, -72.7700, 35.0,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,  ,     , 5.9,  ,      ,      ,      ,      ,      ,      , 15.00,17.00,  95.00,189.00,72.00,  88.00,15, 0.920,62.00, 96.00,-1.010,27.00,280.00, 0.100, 1.00,189.00
 14560389 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14560389&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-02,22:58:12.10,-36.3300, -73.2000, 30.4,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,1.131, 6.0,18, 0.522, 0.051,-0.570,-0.093,-0.122,-0.979, 17.00,15.00, 101.00,186.00,75.00,  87.00,18, 1.097,60.00, 92.00,-1.166,30.00,278.00, 0.070, 3.00,187.00
 14630539 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14630539&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-04-09,22:23:02.98,-28.5590, -68.1240,117.7,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,6.900, 5.8,17,-5.630, 0.050, 5.580, 1.710,-3.500, 0.830,175.00,49.00, -60.00,314.00,49.00,-120.00,17, 7.270, 0.00,244.00,-6.390,68.00,154.00,-0.880,21.00,334.00
 14630539 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14630539&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-09,22:23:05.10,-28.8100, -68.3600,131.4,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,5.255, 5.8,17,-4.570, 0.541, 4.030, 1.250,-2.580, 0.865,170.00,49.00, -64.00,314.00,47.00,-117.00,17, 5.403, 1.00,242.00,-5.106,71.00,149.00,-0.296,19.00,333.00
 14579559 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14579559&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-04-16,22:41:33.88,-37.4600, -73.7320,  6.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,4.900, 5.7,17, 3.230, 0.020,-3.250,-0.730, 0.320,-3.600,187.00,70.00,  99.00,343.00,22.00,  67.00,17, 4.960,64.00,111.00,-4.850,24.00,270.00,-0.110, 8.00,  3.00
 14579559 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14579559&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-16,22:41:38.60,-37.6900, -74.2500, 12.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,3.450, 5.6,17, 1.760,-0.010,-1.750, 0.010, 0.009,-2.970,180.00,75.00,  90.00,360.00,15.00,  90.00,17, 3.455,60.00, 90.00,-3.445,30.00,270.00,-0.009, 0.00,360.00
 17468298 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=17468298&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-16,23:15:37.90,-37.6200, -74.2400, 12.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,4.656, 5.7,17, 2.030,-0.008,-2.020,-0.237,-0.689,-4.130, 31.00,15.00, 115.00,185.00,77.00,  84.00,17, 4.611,58.00, 86.00,-4.702,31.00,280.00, 0.094, 6.00,186.00
 14580151 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14580151&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-18,01:49:39.80,-37.4100, -74.1900, 14.9,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.842, 5.6,17, 1.730, 0.005,-1.740, 0.012,-0.056,-2.250,  4.00,19.00,  93.00,180.00,71.00,  89.00,17, 2.837,64.00, 88.00,-2.847,26.00,271.00, 0.005, 1.00,180.00
 14580158 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14580158&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-18,02:52:20.30,-37.2800, -74.2200, 21.6,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,5.091, 5.1,16, 4.700,-0.381,-4.320,-0.832, 0.221,-2.220,187.00,59.00, 100.00,348.00,33.00,  74.00,16, 5.346,74.00,123.00,-4.837,13.00,270.00,-0.510, 8.00,  2.00
 14592235 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14592235&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-19,07:32:48.70,-37.6900, -74.2400, 18.5,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,6.997, 5.2,16, 4.420,-0.054,-4.370, 0.956, 0.651,-5.320,170.00,70.00,  89.00,353.00,20.00,  93.00,16, 6.975,65.00, 79.00,-7.019,25.00,261.00, 0.040, 1.00,171.00
 14606547 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14606547&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-04-23,10:03:07.00,-37.4200, -72.9400, 35.0,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,  ,     , 6.0,  ,      ,      ,      ,      ,      ,      ,137.00,81.00,  84.00,350.00,10.00, 123.00,18, 1.120,53.00, 40.00,-1.140,36.00,232.00, 0.020, 5.00,138.00
 14606547 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14606547&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-23,10:03:09.90,-37.6900, -73.3200, 29.5,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,1.253, 6.0,18, 0.350, 0.057,-0.400, 0.857, 0.205,-0.805,  7.00,14.00, 141.00,135.00,81.00,  79.00,18, 1.239,52.00, 32.00,-1.267,36.00,234.00, 0.028,11.00,136.00
 14606547 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14606547&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-04-23,10:03:22.70,-37.5100, -73.5100, 49.0,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,8.600, 6.0,17, 4.490,-0.490,-4.000, 3.790, 1.990,-6.080,149.00,73.00,  86.00,343.00,17.00, 104.00,17, 8.400,61.00, 53.00,-8.740,28.00,242.00, 0.340, 3.00,150.00
 14628538 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14628538&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-04-29,07:56:34.00,-36.9700, -74.2800, 19.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,5.257, 5.1,16, 4.400,-0.311,-4.090,-0.083,-0.229,-3.090,  4.00,27.00,  92.00,182.00,63.00,  89.00,16, 5.406,72.00, 90.00,-5.108,18.00,273.00,-0.299, 1.00,183.00
 14629284 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14629284&out_format=ISF2&request=COMPREHENSIVE>,fe  ,SJA <https://www.isc.ac.uk/cgi-bin/agency-get?agency=SJA>      ,2010-05-02,14:52:35.30,-33.8310, -72.9080, 12.0,        ,SJA <https://www.isc.ac.uk/cgi-bin/agency-get?agency=SJA>      ,  ,     , 5.6,  ,      ,      ,      ,      ,      ,      , 26.00, 5.00,  36.00,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
 14629284 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14629284&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-05-02,14:52:40.03,-34.2280, -71.8770, 13.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,9.100, 5.9,17,-6.100,-0.050, 6.150,-4.420,-1.460, 4.790,  5.00,26.00, -55.00,147.00,69.00,-106.00,17, 8.790,22.00,249.00,-9.310,62.00, 31.00, 0.520,14.00,152.00
 14629284 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14629284&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-05-02,14:52:44.30,-34.4800, -72.2200, 15.3,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,0.974, 5.9,18,-0.418,-0.193, 0.610,-0.471,-0.045, 0.657, 26.00,25.00, -36.00,149.00,76.00,-110.00,18, 0.988,28.00,255.00,-0.960,54.00, 34.00,-0.027,20.00,154.00
 14629284 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14629284&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-05-02,14:52:48.80,-34.0200, -71.8200, 10.0,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,7.000, 5.9,17,-3.810,-1.070, 4.880, 0.390,-0.400, 5.450,183.00,71.00, -83.00,346.00,20.00,-105.00,17, 7.510,25.00,268.00,-6.490,63.00,102.00,-1.020, 5.00,  1.00
 14630779 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14630779&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2010-05-03,18:39:45.00,-37.3600, -74.3300, 12.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.533, 5.4,17, 0.809,-0.003,-0.800,-0.068,-0.063,-1.300,  6.00,16.00,  92.00,183.00,74.00,  89.00,17, 1.533,61.00, 92.00,-1.533,29.00,274.00, 0.001, 1.00,183.00
 14768943 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=14768943&out_format=ISF2&request=COMPREHENSIVE>,fe  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2010-05-03,23:09:44.79,-38.0720, -73.4540, 19.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,  ,     , 6.3,  ,      ,      ,      ,      ,      ,      ,  5.00,15.00,  90.00,185.00,75.00,  90.00,  ,      ,60.00, 95.00,      ,25.00,270.00,      , 0.00,  0.00
