
  International Seismological Centre
  ISC: Focal Mechanism solutions

Any use of data from the ISC *should be cited*. The correct format for
citations may be found on our citation page <http://www.isc.ac.uk/
citations/>.

Once the search has completed, a compressed KML file <https://
www.isc.ac.uk/temp/kml/507173769.kmz> will be available to view the
results in Google Earth <http://earth.google.com/>.

Sorry a problem has occured with the map.
*Search summary:*
Database: Reviewed ISC Bulletin
Search type: Rectangular search
Latitude range: -51 to -27
Longitude range: -80 to -65
Start date: 1976-01-01 00:00:00
End date: 2025-08-01 00:00:00
Magnitude >= 4.9
Events found: 1650
Date of search: Mon Sep 1 13:00:30 2025 GMT

Agencies whose data contributed towards the results of this search are
listed at the bottom of the page.

/Please note:/

Data on or after 2023/09/01 have not been reviewed by the ISC.



DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
Reviewed ISC Bulletin
-----EVENT----|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
   688753 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=688753&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-12-06,17:05:16.00,-31.4300, -68.1100, 19.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,7.950, 5.9,17, 6.121, 2.788,-8.900, 0.554,-1.370, 2.254, 11.00,54.00,  96.00,181.00,37.00,  82.00,17, 6.490,80.00,306.00,-9.410, 8.00, 97.00, 2.920, 5.00,187.00
   688770 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=688770&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-12-07,00:32:41.70,-28.5800, -67.3200,143.9,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.920, 5.5,17,-1.840, 0.638, 1.200, 0.237,-1.017,-0.054,148.00,42.00, -82.00,318.00,48.00, -97.00,17, 1.980, 3.00, 53.00,-1.860,84.00,171.00,-0.120, 5.00,322.00
   688937 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=688937&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-12-10,07:11:57.80,-31.2800, -68.0300, 34.9,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.920, 5.5,17, 1.126, 0.777,-1.900,-0.197,-0.014, 1.137,199.00,29.00, 117.00,348.00,65.00,  76.00,17, 1.550,67.00,232.00,-2.280,18.00, 89.00, 0.730,13.00,355.00
   687168 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=687168&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-01-02,08:27:43.70,-37.9600, -71.6100,144.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.930, 5.5,17,-0.184, 0.466,-0.280,-0.197, 1.454, 1.210, 93.00,53.00,  -9.00,189.00,83.00,-142.00,17, 1.800,20.00,315.00,-2.060,31.00, 58.00, 0.260,52.00,198.00
   687916 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=687916&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-01-17,11:33:21.40,-31.5300, -68.0800, 23.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,10.740, 6.0,17, 0.975, 8.938,-9.910, 4.830,-1.401, 1.094, 47.00,79.00, 156.00,142.00,66.00,  12.00,17,11.250,25.00,  2.00,-10.230, 8.00, 96.00,-1.020,64.00,203.00
   688047 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=688047&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-01-20,04:43:03.20,-34.5500, -70.0400,109.3,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,3.040, 5.6,17,-2.592, 0.456, 2.130,-0.536, 0.194,-1.819, 12.00,64.00, -86.00,183.00,26.00, -98.00,17, 2.810,19.00, 99.00,-3.260,70.00,291.00, 0.450, 4.00,190.00
   686607 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=686607&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-02-17,06:43:33.10,-28.5900, -71.4700, 66.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,12.060, 5.3,16, 5.823,-0.203,-5.620, 5.207, 2.379, 9.218, 18.00,77.00, 109.00,141.00,23.00,  35.00,16,13.350,54.00,311.00,-10.770,30.00, 93.00,-2.580,18.00,194.00
   682971 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=682971&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-05-29,17:20:41.20,-45.2000, -81.0000, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,5.890, 6.5,18,-0.186, 1.730,-1.540, 0.722,-5.283, 1.927,170.00,81.00, -17.00,263.00,73.00,-171.00,18, 5.680, 6.00,217.00,-6.100,19.00,125.00, 0.420,70.00,324.00
   681554 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=681554&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-06-28,07:28:03.10,-27.2000, -69.9200,119.7,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,6.200, 5.1,16,-3.199,-1.551, 4.750,-0.684,-1.926,-4.245,  8.00,71.00, -66.00,134.00,30.00,-139.00,16, 6.860,22.00, 80.00,-5.550,58.00,310.00,-1.310,22.00,179.00
   678318 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=678318&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-08-21,00:28:30.30,-31.7900, -68.1100, 25.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,11.550, 5.3,16, 5.104,-2.207,-2.890, 8.357, 0.250, 7.066, 49.00,81.00,  92.00,218.00, 9.00,  79.00,16,12.970,54.00,321.00,-10.120,36.00,137.00,-2.850, 2.00,228.00
