id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class,sub_depth
B022489C,1989-02-24T12:36:59,-70.98,-38.42,33.0,5.2,mwc,110.0,62.0,23.0,9.0,70.0,150.0,2.3650000000000004e+16,2.289e+16,-4.654e+16,4.16e+16,3.467e+16,6.386999999999999e+16,anss,,crustal_intraarc_shallow,
B062489B,1989-06-24T12:58:47,-66.2,-28.53,21.0,5.5,mw,88.0,77.0,-172.0,357.0,82.0,-13.0,-1.35e+16,2.39e+16,-1.04e+16,-2.55e+16,-4.5e+16,-1.961e+17,gcmt,,backarc,
choy19900421185452,1990-04-21T18:54:52,-73.3,-36.99,12.0,6.3,mw,352.0,17.0,80.0,183.0,73.0,93.0,3.555e+17,2.45e+16,-3.8e+17,-3.99e+16,-5.435e+17,1.29e+16,anss,gcmt:B042190B,forearc,29.0535297394
B042895A,1995-04-28T02:04:19,-71.814341,-31.705707,23.9661,5.1,mwc,126.0,42.0,61.0,342.0,54.0,114.0,6.829e+16,-3.449e+16,-3.379e+16,2.317e+16,3.162e+16,1.079e+16,anss,,forearc,26.0551509857
B081496F,1996-08-14T21:23:47,-73.59,-42.55,33.0,5.2,mwc,215.0,29.0,-11.0,314.0,85.0,-119.0,-6950000000000000.0,-3.253e+16,3.948e+16,3.276e+16,-5.418999999999999e+16,-2.383e+16,anss,,forearc,48.9309501648
B031097A,1997-03-10T03:53:00,-71.14,-29.68,33.0,5.6,mwc,10.0,38.0,94.0,184.0,52.0,87.0,3.564e+17,-6.62e+16,-2.902e+17,1.09e+16,-8.04e+16,-2.84e+16,anss,,forearc,46.2100830078
pde19971103191733810_45,1997-11-03T19:17:33,-71.51455,-30.809456,-0.3289,6.2,mwb,15.0,30.0,120.0,161.0,64.0,74.0,,,,,,,anss,,forearc,35.9105110168
B121897B,1997-12-18T12:30:03,-73.04,-41.82,47.5,5.2,mwc,87.0,27.0,37.0,323.0,74.0,112.0,3.339e+16,-3.686e+16,3470000000000000.0,-2.889e+16,4.644e+16,2.567e+16,anss,,forearc,65.2060012817
B091198A,1998-09-11T05:24:42,-71.23,-30.68,33.0,5.0,mwc,337.0,47.0,52.0,207.0,55.0,124.0,4.035e+16,-3840000000000000.0,-3.651e+16,-3.163e+16,-3770000000000000.0,420000000000000.0,anss,,forearc,47.3663253784
B030599B,1999-03-05T03:35:14,-69.63945,-34.97074,-1.9194,5.9,mwc,170.0,12.0,69.0,12.0,79.0,94.0,3.858e+17,-2.7300000000000004e+16,-3.585e+17,2.023e+17,8.644e+17,4500000000000000.0,anss,,crustal_intraarc_shallow,
B032799B,1999-03-27T11:13:34,-71.75,-40.04,33.0,5.4,mwc,174.0,72.0,174.0,266.0,85.0,18.0,-1.28e+16,-2e+16,3.27e+16,-5.779999999999999e+16,-3.24e+16,1.7e+17,anss,,crustal_intraarc_shallow,
pde19990929180131830_33,1999-09-29T18:01:31,-72.093839,-30.787224,4.4978,6.0,mwb,180.0,45.0,90.0,0.0,45.0,90.0,3.346e+17,3.49e+16,-3.696e+17,1.17e+16,-1.935e+17,4.38e+16,anss,gcmt:B092999E,forearc,15.8829402924
B022100C,2000-02-21T14:36:22,-71.46,-29.81,33.0,5.1,mwc,196.0,31.0,114.0,349.0,62.0,76.0,4.711e+16,7060000000000000.0,-5.417e+16,-1.169e+16,3.041e+16,-1890000000000000.0,anss,,forearc,33.4401016235
B043000B,2000-04-30T05:31:30,-66.33,-27.39,26.8,5.2,mw,185.0,38.0,45.0,57.0,64.0,119.0,5.724e+16,-9060000000000000.0,-4.818e+16,5.293999999999999e+16,1020000000000000.0,-2.458e+16,gcmt,,backarc,
B022701B,2001-02-27T02:13:07,-71.395941,-27.940658,2.16,5.2,mw,9.0,28.0,120.0,155.0,66.0,75.0,4.691e+16,2.076e+16,-6.767e+16,2.146e+16,-4.427e+16,1.818e+16,gcmt,,forearc,18.8681049347
pde20010303115813350_33,2001-03-03T11:58:13,-72.484566,-35.58008,6.1815,5.9,mwc,0.0,60.0,-90.0,180.0,30.0,-90.0,-4.3840000000000006e+17,-2.72e+16,4.656e+17,1.2809999999999998e+17,-4.8230000000000006e+17,2.492e+17,anss,gcmt:B030301E,forearc,36.9489326477
B061301C,2001-06-13T04:10:52,-66.118655,-27.556975,-2.0,5.0,mw,209.0,30.0,70.0,52.0,62.0,101.0,3.067e+16,-1.306e+16,-1.7609999999999998e+16,1.937e+16,1.2430000000000002e+16,-2.337e+16,gcmt,,backarc,
B101201B,2001-10-12T04:21:31,-69.74,-33.3,3.8,5.3,mwc,222.0,78.0,171.0,314.0,81.0,12.0,-7099999999999999.0,1.041e+17,-9.7e+16,-3.09e+16,2000000000000000.0,7700000000000000.0,anss,,crustal_intraarc_shallow,
B052402A,2002-05-24T00:23:15,-71.156424,-32.158871,37.1803,5.5,mwc,9.0,40.0,107.0,167.0,52.0,76.0,2.272e+17,9400000000000000.0,-2.3650000000000003e+17,4.83e+16,-4.6e+16,7700000000000000.0,anss,,forearc,53.6737518311
C052802A,2002-05-28T04:04:28,-66.799887,-28.973463,1.4711,6.0,mw,180.0,19.0,55.0,36.0,74.0,101.0,6.275e+17,-3.67e+16,-5.909e+17,6.475e+17,7.481e+17,-1.655e+17,gcmt,,backarc,
B072603I,2003-07-26T14:10:16,-70.263089,-28.476421,25.0282,5.5,mwc,26.0,26.0,110.0,184.0,66.0,81.0,1.7e+17,-4.2e+16,-1.28e+17,1.17e+16,-1.3600000000000002e+17,-3.3e+16,anss,,backarc,
20031101031912,2003-11-01T03:19:11,-68.18,-35.48,49.7,5.1,mwc,250.0,65.0,-164.0,153.0,75.0,-26.0,-1.36e+16,4.07e+16,-2.71e+16,280000000000000.0,2.09e+16,-3.13e+16,anss,gcmt:B110103B,backarc,
C031704I,2004-03-17T16:49:49,-65.770092,-32.191741,0.4163,5.0,mw,172.0,39.0,79.0,5.0,52.0,99.0,4.16e+16,8290000000000000.0,-4.99e+16,4080000000000000.0,1.04e+16,1220000000000000.0,gcmt,,backarc,
pde20040828134125600_5,2004-08-28T13:41:25,-70.413273,-35.19566,7.1576,6.5,mwb,21.0,61.0,-178.0,290.0,88.0,-29.0,-2e+17,4.190000000000001e+18,-3.99e+18,3.18e+18,-1.36e+18,4.78e+18,anss,gcmt:C082804C,crustal_intraarc_shallow,
C083004F,2004-08-30T16:08:18,-72.1,-50.65,12.0,5.1,mw,355.0,35.0,73.0,196.0,57.0,102.0,4.56e+16,3210000000000000.0,-4.88e+16,-1.04e+16,-1.78e+16,-5270000000000000.0,gcmt,,backarc,
C091004D,2004-09-10T10:44:17,-72.653646,-38.195333,45.6996,5.2,mwc,30.0,48.0,62.0,248.0,49.0,118.0,8.16e+16,-4.78e+16,-3.3800000000000004e+16,-2.11e+16,2.17e+16,-5.2e+16,anss,,forearc,57.463760376
C091204C,2004-09-12T14:24:37,-70.01,-34.14,5.0,5.3,mwc,162.0,44.0,114.0,310.0,50.0,68.0,1.09e+17,-3.1e+16,-7.83e+16,-3.4200000000000004e+16,-8300000000000000.0,5.94e+16,anss,,crustal_intraarc_shallow,
C200503141243A,2005-03-14T12:43:50,-66.28,-28.86,27.3,5.1,mw,247.0,54.0,136.0,6.0,56.0,45.0,3.33e+16,-7260000000000000.0,-2.6e+16,-2.05e+16,1.64e+16,-3.1e+16,gcmt,,backarc,
