id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B051985A,1985-05-19T07:07:46,-72.3,-33.88,33.0,5.5,mwc,20.0,28.0,103.0,185.0,62.0,83.0,72.0,79.0,6.0,188.0,17.0,280.0,,,,,,,us,subduction_intraslab
B060285B,1985-06-02T16:26:58,-73.59,-37.8,33.0,5.8,mwc,347.0,24.0,47.0,212.0,73.0,107.0,59.0,145.0,16.0,27.0,26.0,289.0,,,,,,,us,subduction_intraslab
B060985B,1985-06-09T18:46:30,-71.97,-33.25,33.0,5.2,mwc,347.0,26.0,97.0,159.0,64.0,86.0,71.0,61.0,3.0,161.0,19.0,252.0,,,,,,,us,subduction_intraslab
B061485A,1985-06-14T13:14:14,-74.92,-40.74,33.0,5.4,mwc,223.0,48.0,-62.0,4.0,49.0,-117.0,1.0,113.0,20.0,23.0,70.0,206.0,,,,,,,us,subduction_intraslab
B070585B,1985-07-05T15:22:38,-72.17,-33.38,33.0,5.5,mwc,348.0,22.0,70.0,190.0,69.0,98.0,65.0,114.0,8.0,7.0,24.0,274.0,,,,,,,us,subduction_intraslab
B070685B,1985-07-06T08:33:07,-72.12,-33.36,43.0,5.5,mwc,356.0,27.0,79.0,189.0,63.0,96.0,71.0,112.0,5.0,6.0,18.0,275.0,,,,,,,us,subduction_intraslab
B070785B,1985-07-07T11:25:12,-72.0,-32.88,32.0,6.0,mwc,0.0,21.0,96.0,174.0,69.0,88.0,66.0,80.0,2.0,175.0,24.0,266.0,,,,,,,us,subduction_intraslab
B071185B,1985-07-11T20:31:13,-72.0,-32.93,33.0,5.5,mwc,2.0,28.0,90.0,182.0,62.0,90.0,73.0,92.0,0.0,182.0,17.0,272.0,,,,,,,us,subduction_intraslab
B071785B,1985-07-17T13:53:02,-71.42,-32.65,50.0,5.5,mwc,15.0,27.0,115.0,168.0,66.0,78.0,67.0,55.0,11.0,173.0,20.0,267.0,,,,,,,us,subduction_intraslab
B080485B,1985-08-04T04:54:01,-75.45,-44.89,23.0,5.8,mwc,199.0,24.0,-64.0,352.0,68.0,-101.0,23.0,90.0,10.0,356.0,65.0,243.0,,,,,,,us,subduction_intraslab
B082085B,1985-08-20T12:21:05,-72.19,-33.75,33.0,5.2,mwc,12.0,33.0,104.0,176.0,58.0,81.0,75.0,60.0,8.0,181.0,13.0,272.0,,,,,,,us,subduction_intraslab
B110685B,1985-11-06T16:08:53,-74.87,-40.62,33.0,5.3,mwc,221.0,49.0,-52.0,351.0,53.0,-125.0,3.0,105.0,27.0,14.0,63.0,200.0,,,,,,,us,subduction_intraslab
B032686A,1986-03-26T07:04:49,-72.1,-34.1,33.0,5.4,mwc,5.0,24.0,97.0,177.0,66.0,87.0,69.0,81.0,3.0,178.0,21.0,269.0,,,,,,,us,subduction_intraslab
B072886B,1986-07-28T20:29:01,-72.13,-33.38,32.0,5.7,mwc,4.0,22.0,100.0,174.0,68.0,86.0,66.0,77.0,4.0,176.0,23.0,267.0,,,,,,,us,subduction_intraslab
B012787A,1987-01-27T07:06:51,-72.04,-32.13,31.0,5.5,mwc,28.0,32.0,138.0,156.0,69.0,65.0,59.0,31.0,23.0,165.0,20.0,264.0,,,,,,,us,subduction_intraslab
B012987B,1987-01-29T17:22:39,-71.08,-29.73,66.0,5.4,mwc,206.0,9.0,-66.0,2.0,82.0,-94.0,37.0,95.0,3.0,2.0,53.0,268.0,,,,,,,us,subduction_intraslab
B032387B,1987-03-23T20:47:57,-72.23,-34.07,33.0,5.1,mwc,31.0,41.0,125.0,169.0,58.0,64.0,66.0,28.0,22.0,184.0,9.0,277.0,,,,,,,us,subduction_intraslab
B051987B,1987-05-19T12:56:25,-71.59,-30.33,39.0,6.1,mwc,355.0,32.0,88.0,177.0,58.0,91.0,77.0,92.0,1.0,357.0,13.0,266.0,,,,,,,us,subduction_intraslab
B031388A,1988-03-13T11:31:32,-72.27,-33.67,42.0,5.8,mwc,38.0,28.0,138.0,166.0,72.0,68.0,58.0,47.0,20.0,173.0,24.0,273.0,,,,,,,us,subduction_intraslab
B052188B,1988-05-21T14:28:39,-71.75,-32.89,42.0,6.1,mwc,64.0,4.0,159.0,175.0,89.0,87.0,46.0,81.0,3.0,175.0,44.0,268.0,,,,,,,us,subduction_intraslab
B111488C,1988-11-14T16:55:33,-71.76,-32.58,50.0,5.1,mwc,347.0,27.0,96.0,160.0,63.0,87.0,72.0,62.0,3.0,161.0,18.0,252.0,,,,,,,us,subduction_intraslab
B011589A,1989-01-15T01:27:45,-71.72,-31.69,47.0,5.4,mwc,336.0,10.0,113.0,133.0,81.0,86.0,54.0,38.0,4.0,134.0,36.0,226.0,,,,,,,us,subduction_intraslab
B041389A,1989-04-13T00:43:11,-75.03,-39.56,33.0,5.8,mwc,204.0,34.0,-51.0,339.0,64.0,-113.0,16.0,86.0,21.0,350.0,63.0,211.0,,,,,,,us,subduction_intraslab
B041789A,1989-04-17T04:55:25,-71.69,-30.58,33.0,5.2,mwc,351.0,23.0,85.0,176.0,67.0,92.0,68.0,90.0,2.0,355.0,22.0,265.0,,,,,,,us,subduction_intraslab
B061789A,1989-06-17T18:28:08,-74.7,-40.47,33.0,5.6,mwc,247.0,34.0,-28.0,1.0,75.0,-121.0,24.0,115.0,29.0,10.0,51.0,237.0,,,,,,,us,subduction_intraslab
