Date;origin time;Longitude;Latitude;Depth (km);x_error (km);y_error (km);z_error (km);Ml;N. Obs.;RMS;GAP;Mw
13.06.14;05:45:07.40;-71.966;-38.485;20.9;0.8;1.8;1.8;1.8;10;0.3;259;2
14.06.14;18:22:27.80;-71.689;-38.851;6.8;1.3;0.6;1.9;1.4;6;0.1;167;2
17.06.14;13:08:06.80;-71.938;-39.501;4;0.4;0.5;2;1.1;6;0.2;105;1.2
17.06.14;13:48:47.00;-72.261;-39.135;24.7;0.5;0.7;1.1;2.3;19;0.3;230;2.6
18.06.14;08:08:26.20;-72.104;-38.719;23.4;1.9;11.1;11.8;1.5;4;0.1;250;X.X
18.06.14;20:04:41.80;-71.678;-38.966;8.8;0.4;0.8;0.9;1.2;5;0.3;184;1.4
23.06.14;00:39:40.10;-71.903;-39.51;4;0.2;0.4;1.1;2.2;13;0.6;90;1.7
29.06.14;06:55:50.90;-72.182;-38.677;34;1.8;3.9;5.6;1.4;5;0.2;319;X.X
02.07.14;08:28:39.30;-73.173;-39.178;22;12.5;61.4;41.1;2.1;5;0;340;2.8
04.07.14;02:23:44.30;-71.616;-39.127;2.5;0.4;0.3;2;1;4;0.2;137;X.X
05.07.14;06:12:42.60;-72.901;-38.904;33.3;0.7;1.7;4.6;2;17;0.4;290;2.7
05.07.14;14:47:42.90;-72.535;-38.77;35.1;0.8;1.3;6.2;2.2;10;0.2;269;3
07.07.14;20:51:33.60;-72.839;-39.658;39;0.7;0.8;3;3.7;28;0.4;296;3.6
09.07.14;01:47:33.40;-71.553;-39.684;7.1;1;1;2.1;1.3;7;0.1;268;1.7
09.07.14;07:18:21.40;-72.517;-38.968;1.7;12.6;15.9;24;1.2;3;0.1;327;1.1
11.07.14;17:36:03.80;-71.719;-38.825;15;1.46;3.4;6.8;1.3;7;0.5;132;1.5
12.07.14;05:18:16.30;-71.491;-39.587;13.6;0.9;1.1;1.6;0.2;4;0.3;260;X.X
12.07.14;06:17:31.90;-71.495;-39.592;10.5;0.4;0.7;1.2;1.7;17;0.4;225;2.1
12.07.14;09:31:04.70;-71.495;-39.586;10.4;0.4;0.6;1.1;1.6;15;0.4;224;2.1
13.07.14;10:26:54.70;-71.702;-38.996;4.8;0.3;0.6;2.4;0.9;5;0.4;112;1.4
13.07.14;16:29:36.40;-72.821;-38.887;40;0.9;1.2;4;2;12;0.3;293;2.6
18.07.14;10:04:50.50;-71.897;-39.509;5.8;0.3;0.5;0.9;0.8;5;0.3;96;1
19.07.14;11:16:29.50;-71.754;-39.136;9.9;0.3;0.4;0.7;1.3;12;0.3;116;1.6
19.07.14;16:13:48.70;-71.535;-39.567;34.4;4.2;3.8;11.4;1.9;4;0;320;2
22.07.14;02:51:23.10;-71.694;-38.854;6.3;1.1;0.5;2.1;1;6;0;164;1.6
29.07.14;10:47:56.40;-71.629;-38.402;-0.5;5;1.2;2.3;1.1;5;0;308;1.5
31.07.14;09:51:12.20;-71.607;-38.653;9.4;0.2;0.5;0.7;3.2;34;0.5;143;3.4
31.07.14;20:10:52.80;-72.652;-38.956;24.1;0.6;0.9;2.8;2.8;20;0.3;288;3
05.08.14;21:59:40.20;-71.488;-37.971;8.2;1.6;1.6;3.5;2.2;9;0.2;300;2.4
06.08.14;00:14:45.00;-71.645;-38.075;12.5;1.3;1.1;2.4;2;12;0.1;273;2.3
08.08.14;10:06:16.00;-71.721;-38.937;9;0.4;0.7;1;1.1;4;0.2;147;1.2
10.08.14;00:01:32.70;-71.746;-39.193;9.6;0.5;0.5;1.6;1.2;4;0.2;104;X.X
11.08.14;14:12:17.40;-72.504;-39.305;26.3;1.5;1.6;2.4;1.9;6;0;308;1.6
18.08.14;17:25:54.80;-71.64;-38.577;5.2;1;1;3;1.1;6;0;263;X.X
19.08.14;02:46:51.70;-72.099;-38.726;22.3;1.5;20.4;10.7;0.2;3;0.1;295;X.X
22.08.14;05:25:03.90;-71.006;-38.038;-0.8;7.5;7.8;6;2.1;18;0.3;320;2.7
22.08.14;05:27:13.70;-71.05;-38.034;-0.7;8.1;15;24.8;2.1;8;0.1;348;2.6
23.08.14;23:16:03.40;-71.805;-38.732;1.2;2.1;3.6;3.7;1.2;7;0.1;176;X.X
27.08.14;09:12:22.00;-71.924;-39.617;8.3;2.1;2.1;1.7;1.1;4;0.3;173;1.6
27.08.14;09:43:32.70;-71.714;-39.117;7;0.5;0.4;0.7;0.6;5;0.3;120;X.X
28.08.14;01:47:23.10;-71.089;-38.019;-0.7;6.2;12.5;3.2;2;11;0.1;324;2.6
01.09.14;04:37:41.00;-72.326;-39.267;9.1;0.6;1;1.1;1.2;7;0.3;286;1.2
06.09.14;08:35:49.50;-71.659;-38.547;9;0.3;0.9;0.6;2.3;25;0.4;166;2.4
07.09.14;04:54:40.70;-71.401;-38.152;1.8;3;0.8;1.6;1.3;4;0;224;1.4
10.09.14;06:39:41.40;-71.736;-38.844;11.8;0.4;0.7;0.9;1.8;8;0.4;101;2
16.09.14;06:18:16.50;-71.697;-38.889;8;0.6;0.6;0.7;0.8;4;0.3;146;1.3
29.09.14;12:34:47.50;-72.885;-39.506;32;3.3;2.2;9.4;2.1;5;0.1;338;2.4
01.10.14;08:28:12.10;-71.347;-38.094;10.6;1.8;1.3;1.1;1.5;6;0;301;1.7
01.10.14;23:44:59.90;-73.199;-39.288;25.9;5.1;4.6;19.8;1.7;4;0.1;343;2.3
09.10.14;00:05:46.80;-71.343;-39.593;17;0.7;1.2;4.4;1.7;10;0.3;252;2.2
12.10.14;09:16:43.00;-71.748;-38.83;13;0.4;0.7;0.9;1.3;6;0.3;116;1
12.10.14;15:24:23.10;-71.547;-39.579;11.2;0.4;1.1;1.2;1.9;14;0.3;212;2.4
13.10.14;01:57:34.90;-71.748;-39.232;0;0.4;0.7;1.4;0.8;4;0.4;207;1.2
13.10.14;21:02:56.00;-71.773;-38.949;8.6;0.5;0.7;1.9;1.2;7;0.3;139;1.3
13.10.14;21:03:48.50;-71.82;-38.96;0;1.3;2.6;3.2;1.4;3;0.1;172;1
13.10.14;21:06:56.10;-71.823;-38.966;0;0.4;0.9;1.7;0.2;6;0.2;174;X.X
14.10.14;00:17:33.80;-71.822;-38.966;-0.1;0.4;0.9;1.7;0.9;6;0.1;173;1
14.10.14;05:21:04.00;-71.717;-38.89;9;0.7;0.7;1.2;0.9;4;0.1;133;X.X
14.10.14;06:32:52.20;-71.844;-38.909;22.4;0.7;1.3;1.1;0.9;4;1.5;204;X.X
14.10.14;09:09:36.70;-71.737;-38.871;11.5;0.4;0.7;1;1.5;9;0.3;112;1.9
14.10.14;11:11:04.40;-71.721;-38.893;9.1;1.4;1.6;3.1;1.5;12;0.1;132;1.7
15.10.14;00:07:22.60;-71.341;-39.591;16.3;0.5;1.1;2.4;1.4;7;0.2;269;1.8
15.10.14;00:10:35.80;-71.343;-39.584;16.5;0.5;1.2;2.2;1.1;6;0.3;268;1.3
15.10.14;09:37:30.20;-71.771;-38.908;9;0.5;0.7;0.9;0.7;4;0.3;118;1
15.10.14;10:08:51.50;-71.789;-38.956;0;0.5;1.1;1.4;0.6;3;0.3;171;X.X
19.10.14;05:13:33.10;-71.897;-39.572;0;1.3;1.3;2.4;1.5;3;0.1;217;X.X
19.10.14;06:49:48.70;-72.044;-38.977;9;0.4;0.7;1.8;1.7;10;0.5;202;1.7
21.10.14;10:26:38.60;-72.606;-38.72;38.7;2.6;2.4;13.9;1.6;4;0.1;309;1.8
22.10.14;09:33:43.60;-71.629;-38.651;9;0.4;0.9;1.7;1.4;11;0.4;184;1.9
24.10.14;03:54:03.60;-72.624;-39.004;6.6;20;29.1;36.3;1.9;4;0.2;298;2.2
26.10.14;04:39:30.10;-72.077;-39.633;13.2;0.8;1;1.4;1.7;5;0.1;256;1.4
29.10.14;20:55:23.50;-71.687;-38.905;0.1;2.7;4.3;3.6;1.4;5;0.7;183;1.8
30.10.14;06:12:12.20;-71.717;-38.917;3.1;5.8;1.7;3.3;1.7;8;0;262;1.8
05.11.14;01:29:10.50;-72.59;-39.128;28.9;1;1.2;1.6;1.7;8;0.4;294;2
07.11.14;17:14:25.30;-71.724;-38.854;13;0.4;0.7;0.9;1.3;6;0.4;106;X.X
13.11.14;06:55:37.40;-71.71;-39.127;9;0.3;0.4;0.4;1.4;11;0.4;102;2
13.11.14;06:57:23.90;-71.684;-39.148;1.8;1;1.4;2.7;0.2;3;0.3;231;X.X
13.11.14;06:57:24.20;-71.707;-39.135;6.5;0.7;1.3;1.8;0.5;3;0.2;215;0.6
13.11.14;07:00:30.60;-71.708;-39.128;9.2;0.2;0.4;0.3;1.7;14;0.4;102;1.7
13.11.14;07:06:25.10;-71.7;-39.142;-0.1;0.4;0.4;1.2;0.7;4;0.3;127;0.9
13.11.14;07:30:18.30;-71.707;-39.132;4.8;0.6;1.3;2.2;0.8;5;0.3;215;1.1
13.11.14;07:46:14.00;-71.704;-39.13;8.6;0.3;0.4;0.4;1.3;9;0.3;99;1.6
13.11.14;07:47:37.60;-71.707;-39.13;8.9;0.3;0.4;0.4;1.2;9;0.4;100;1.7
13.11.14;07:48:40.60;-71.787;-39.09;2.8;2.6;3.2;2.3;0.2;2;0;218;X.X
13.11.14;07:59:23.00;-71.709;-39.128;8.8;0.2;0.4;0.3;2.3;17;0.4;102;2.4
13.11.14;08:06:33.60;-71.705;-39.129;8.7;0.3;0.4;0.4;1.4;10;0.3;100;1.6
13.11.14;08:55:17.20;-71.568;-38.367;-0.9;1.6;2.8;2.1;1.2;4;0.2;180;1.5
13.11.14;11:07:49.70;-71.712;-39.135;0;0.5;1.1;1.6;0.7;3;0.2;211;1.1
13.11.14;16:30:29.80;-71.757;-39.111;3.4;2.5;3.1;2.3;0.2;2;0;189;X.X
13.11.14;22:47:37.50;-71.702;-39.134;-0.1;0.5;0.4;1.4;1.3;3;0.2;157;1.5
13.11.14;22:53:51.60;-71.699;-39.128;-0.1;0.5;0.4;1.4;1.3;3;0.2;153;1.4
13.11.14;22:55:19.00;-71.76;-39.102;0;1.7;2.2;1.7;0.2;2;0.1;181;X.X
13.11.14;22:58:29.10;-74.852;-38.381;11.4;2.8;10;47.9;2.4;5;0.2;325;2.5
13.11.14;23:04:01.80;-71.761;-39.103;0.3;2;2.5;1.9;0.2;2;0.1;182;X.X
13.11.14;23:18:21.60;-71.664;-39.151;0;0.8;0.9;2.6;0.2;3;0.3;191;X.X
14.11.14;00:49:42.00;-71.707;-39.121;8.5;0.4;0.4;0.5;1;6;0.4;117;1.3
14.11.14;00:51:21.80;-71.647;-39.156;0;1.4;2.1;3.7;1;3;0.4;251;1
14.11.14;00:53:27.70;-71.699;-39.128;9;0.2;0.3;0.2;2.9;31;0.3;97;3
14.11.14;00:55:28.70;-71.701;-39.136;6.6;0.5;0.4;0.8;1.3;4;0.2;107;1.6
14.11.14;00:55:29.00;-71.698;-39.146;4;0.4;0.3;0.7;0.2;6;0.5;100;X.X
14.11.14;00:57:26.80;-71.706;-39.116;8.4;0.5;0.5;0.6;1.1;4;0.4;144;X.X
14.11.14;00:57:27.30;-71.692;-39.145;0;0.4;0.3;1.3;1;5;0.2;97;X.X
14.11.14;00:57:48.60;-71.702;-39.134;7.6;0.4;0.4;0.5;1;6;0.4;98;1.4
14.11.14;01:02:08.00;-71.701;-39.14;0;0.4;0.4;1.3;0.8;4;0.2;126;1.1
14.11.14;01:13:24.50;-71.707;-39.126;9;0.2;0.4;0.3;2.4;17;0.4;102;2.3
14.11.14;01:15:07.40;-71.704;-39.123;8.2;0.4;0.4;0.4;1.3;6;0.3;118;1.7
14.11.14;01:25:51.50;-71.695;-39.141;0.2;0.6;1.1;1.9;0.7;3;0.1;224;X.X
14.11.14;01:47:10.10;-71.724;-39.126;1.9;2.6;3.3;2.3;0.2;2;0;232;X.X
14.11.14;01:56:36.80;-71.771;-39.1;2.7;2.3;3;2.2;0.2;2;0;194;X.X
14.11.14;02:14:41.00;-71.787;-39.094;2.2;2.4;3.1;2.2;0.2;2;0;213;X.X
14.11.14;02:31:27.30;-71.724;-39.126;1.6;2.6;3.3;2.3;0.2;2;0;232;X.X
14.11.14;02:34:22.50;-71.707;-39.138;0;0.5;1.1;1.7;0.6;3;0.2;215;0.9
14.11.14;02:41:06.50;-71.704;-39.127;8.7;0.3;0.4;0.5;1.2;7;0.3;100;1.7
14.11.14;03:01:58.40;-71.697;-39.138;-0.1;0.5;0.4;1.7;0.9;3;0.1;161;1.4
14.11.14;03:03:04.00;-71.767;-39.1;4;2.6;3.3;2.3;0.2;2;0;190;X.X
14.11.14;03:46:56.70;-71.787;-39.088;5.2;3.2;4;2.7;0.2;2;0.1;220;X.X
14.11.14;04:15:47.60;-71.705;-39.129;8.6;0.3;0.4;0.4;2.1;15;0.4;100;2.2
14.11.14;04:21:59.60;-71.707;-39.132;8.9;0.3;0.4;0.4;2;15;0.4;100;2
14.11.14;04:32:26.80;-71.698;-39.141;0;0.4;0.4;1.5;1;5;0.1;127;1.2
14.11.14;04:48:08.90;-71.741;-39.114;4.9;2.9;3.7;2.5;0.2;2;0;208;X.X
14.11.14;05:10:13.70;-71.789;-39.093;0.9;2.3;2.9;2.1;0.2;2;0;216;X.X
14.11.14;06:31:49.10;-71.706;-39.131;8.7;0.3;0.4;0.4;1.6;12;0.4;100;1.8
14.11.14;07:29:42.10;-71.7;-39.13;7.9;0.4;0.8;1.1;0.8;5;0.3;148;0.9
14.11.14;16:14:54.30;-71.721;-39.129;0.1;0.9;1.5;2.2;0.6;3;0;203;X.X
15.11.14;06:57:15.60;-71.696;-39.144;-1;0.3;0.4;1.5;0.7;5;0.2;99;0.8
15.11.14;15:23:36.70;-71.741;-39.118;3.1;2.5;3.2;2.3;0.2;2;0;211;X.X
17.11.14;07:54:04.60;-74.774;-38.319;0.2;14.6;10.2;34.4;2;3;0.1;354;1.9
20.11.14;08:17:09.20;-72.312;-39.271;18.2;1.7;1.7;6.3;1;5;0.1;284;1.3
22.11.14;11:13:04.30;-71.848;-38.986;9.1;1.1;1.9;2.3;0.8;3;0.8;225;1
23.11.14;04:13:08.20;-71.539;-39.56;10.8;0.6;0.9;1;1.2;7;0.4;239;1.2
23.11.14;05:58:57.90;-71.697;-39.136;8.3;0.3;0.4;0.4;0.9;7;0.3;95;1
23.11.14;07:13:09.40;-71.866;-38.942;0;0.4;0.9;1.3;0.6;3;0.3;208;X.X
24.11.14;18:49:22.30;-71.754;-39.115;4;2.6;3.3;2.4;0.2;2;0;196;X.X
29.11.14;06:08:38.00;-71.691;-39.142;1.3;0.4;0.4;1.8;0.7;5;0.3;129;0.7
29.11.14;06:14:18.80;-71.7;-39.133;9;0.3;0.4;0.4;1.4;12;0.4;97;1.8
30.11.14;05:53:03.30;-71.702;-39.135;1.8;0.6;1.2;2;0.7;4;0.2;198;1.1
02.12.14;23:58:49.50;-72.295;-39.232;24.1;0.5;1.1;2.4;2;10;0.3;242;2.6
04.12.14;09:42:18.70;-71.817;-39.081;1.6;3;3.8;2.6;0.2;2;0.4;244;X.X
05.12.14;03:31:54.70;-71.684;-39.148;0;0.4;0.4;1.3;0.6;4;0.2;133;1
05.12.14;04:31:14.80;-71.692;-39.136;8.6;0.3;0.4;0.5;1.3;10;0.4;94;1.6
05.12.14;04:44:00.40;-71.793;-39.092;-0.9;1.6;1.8;1.7;0.3;3;0;219;0.6
05.12.14;08:29:20.10;-72.178;-38.908;15.2;1.6;2.3;7.5;1;3;0.2;325;1.4
06.12.14;09:58:53.40;-71.683;-39.144;7.3;0.3;0.4;0.4;1.2;11;0.4;91;1.6
07.12.14;22:19:02.80;-71.618;-39.106;6.1;5.1;6.4;4;0.2;2;0;305;X.X
08.12.14;00:53:08.60;-71.751;-38.919;0;0.8;2.8;3.4;1.3;6;0.3;209;1.1
08.12.14;06:15:29.90;-71.677;-39.15;-0.1;0.4;0.4;1.4;0.7;4;0.2;136;0.9
08.12.14;22:03:46.30;-71.612;-38.596;9;0.3;0.6;0.8;2.5;36;0.4;176;2.6
09.12.14;01:41:40.50;-71.702;-39.142;0;0.7;1.2;2.2;0.7;3;0.1;219;1
09.12.14;04:56:14.90;-71.77;-39.105;3.1;2.4;3;2.2;0.2;2;0;188;X.X
09.12.14;04:57:01.40;-71.67;-39.192;0;0.5;0.8;1;X.X;3;0.9;239;1.4
09.12.14;04:57:30.90;-71.737;-39.121;2.2;2.4;3.1;2.2;0.2;2;0;217;X.X
09.12.14;05:14:50.90;-71.712;-39.134;4.1;0.5;1.3;1.8;0.8;4;0.2;211;0.6
09.12.14;05:32:21.30;-71.705;-39.135;0.3;0.6;1.2;1.9;1;4;0.4;197;0.8
09.12.14;05:33:32.80;-71.733;-39.125;0.5;2.4;3;2.2;0.2;2;0;223;X.X
09.12.14;05:43:53.60;-71.781;-39.1;-0.2;2.2;2.7;2;0.2;2;0.1;203;X.X
09.12.14;06:52:19.10;-71.753;-39.113;2;2.2;2.8;2.1;0.2;2;0.1;195;X.X
09.12.14;07:15:05.20;-71.763;-39.105;0.1;1.8;2.3;1.8;0.2;2;0.2;181;X.X
09.12.14;07:28:14.90;-71.624;-38.585;9;0.3;0.6;0.8;1.9;27;0.5;161;2.1
13.12.14;01:59:10.20;-71.803;-38.944;2.9;0.3;0.6;2.1;0.8;4;0.2;159;0.7
14.12.14;10:19:11.50;-71.787;-38.958;3.3;0.3;0.6;2.4;0.9;4;0.3;150;1.3
16.12.14;00:55:13.70;-71.361;-39.399;9;0.4;0.6;0.5;2.1;26;0.4;230;2.1
