id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201808311325A,2018-08-31T13:25:00,-32.26,-70.21,115,5.0,mw,48,54,-45,169,55,-135,1,288,55,19,,,,,,,,,gmt,deep_subduction
201812311049A,2018-12-31T10:49:00,-31.84,-69.35,120,5.3,mw,186,48,-121,48,50,-61,1,117,67,24,,,,,,,,,gmt,deep_subduction
201905160032A,2019-05-16T00:32:00,-31.46,-69.27,121,5.2,mw,32,42,-83,202,49,-97,3,297,84,61,,,,,,,,,gmt,deep_subduction
201905201118A,2019-05-20T11:18:00,-31.54,-70.04,113,5.6,mw,277,65,-13,13,79,-154,9,143,26,237,,,,,,,,,gmt,deep_subduction
201906200123A,2019-06-20T01:23:00,-33.68,-68.83,163,5.5,mw,352,52,-157,248,72,-40,13,304,41,203,,,,,,,,,gmt,deep_subduction
201909140515A,2019-09-14T05:15:00,-31.36,-68.46,122,5.1,mw,212,45,-113,64,49,-68,2,138,74,40,,,,,,,,,gmt,deep_subduction
201909261636A,2019-09-26T16:36:00,-40.9,-72.06,139,6.1,mw,96,58,33,347,62,143,45,310,3,42,,,,,,,,,gmt,deep_subduction
201911222227A,2019-11-22T22:27:00,-32.77,-70.15,114,5.1,mw,359,32,-70,156,61,-102,14,255,72,37,,,,,,,,,gmt,deep_subduction
202001130201A,2020-01-13T02:01:00,-40.33,-71.42,190,5.4,mw,259,14,-25,14,84,-103,38,115,49,270,,,,,,,,,gmt,deep_subduction
202004141602A,2020-04-14T16:02:00,-33.83,-70.33,115,5.0,mw,112,55,-136,353,55,-45,0,53,54,322,,,,,,,,,gmt,deep_subduction
202005231310A,2020-05-23T13:10:00,-33.56,-69.81,130,5.2,mw,251,57,-32,0,64,-143,4,124,44,218,,,,,,,,,gmt,deep_subduction
202012030237A,2020-12-03T02:37:00,-31.92,-67.12,138,5.2,mw,235,53,28,128,68,140,44,85,9,184,,,,,,,,,gmt,deep_subduction
202101240007A,2021-01-24T00:07:00,-33.5,-70.01,108,5.7,mw,197,5,-94,21,85,-90,40,111,50,291,,,,,,,,,gmt,deep_subduction
202103081248A,2021-03-08T12:48:00,-32.18,-69.78,106,5.2,mw,197,45,-105,37,47,-76,1,118,79,22,,,,,,,,,gmt,deep_subduction
202104290217A,2021-04-29T02:17:00,-37.29,-71.05,155,5.7,mw,115,28,-159,6,80,-64,30,75,48,304,,,,,,,,,gmt,deep_subduction
202111030317A,2021-11-03T03:17:00,-32.88,-69.91,117,5.7,mw,209,22,-36,333,77,-108,30,78,54,221,,,,,,,,,gmt,deep_subduction
202204011128A,2022-04-01T11:28:00,-31.39,-67.97,117,5.2,mw,29,46,-70,181,47,-109,1,285,76,18,,,,,,,,,gmt,deep_subduction
202204030516A,2022-04-03T05:16:00,-31.54,-67.07,136,5.1,mw,214,38,-53,351,61,-115,12,98,65,215,,,,,,,,,gmt,deep_subduction
202206181824A,2022-06-18T18:24:00,-33.52,-69.41,148,5.1,mw,305,40,-41,69,65,-122,14,182,57,294,,,,,,,,,gmt,deep_subduction
202208180210A,2022-08-18T02:10:00,-34.42,-70.5,115,5.3,mw,187,21,-107,25,70,-84,25,110,64,306,,,,,,,,,gmt,deep_subduction
202211080851A,2022-11-08T08:51:00,-33.62,-70.63,106,5.0,mw,148,43,164,250,79,48,41,121,23,11,,,,,,,,,gmt,deep_subduction
202211230853A,2022-11-23T08:53:00,-35.5,-71.14,85,5.0,mw,259,50,0,169,90,140,27,116,27,222,,,,,,,,,gmt,deep_subduction
202304270607A,2023-04-27T06:07:00,-35.66,-71.32,99,5.0,mw,174,20,-116,21,72,-81,27,104,62,305,,,,,,,,,gmt,deep_subduction
202307091711A,2023-07-09T17:11:00,-33.22,-70.13,108,5.6,mw,157,37,-95,343,53,-86,8,71,81,271,,,,,,,,,gmt,deep_subduction
