id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200701280253A,2007-01-28T02:53:00,-45.39,-73.69,47,5.2,mw,104,76,1,14,89,166,11,328,9,60,,,,,,,,,gmt,crustal_intraarc_deep
202408261621A,2024-08-26T16:21:00,-44.93,-73.85,72,5.1,mw,235,46,10,138,83,135,35,86,24,195,,,,,,,,,gmt,crustal_intraarc_deep
