id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200812182119A,2008-12-18T21:19:00,-32.63,-72.13,22,6.1,mw,360,19,94,175,71,89,64,84,26,267,,,,,,,,,gmt,subduction_intraslab
200812182150A,2008-12-18T21:50:00,-32.62,-72.11,21,5.8,mw,350,18,83,177,72,92,63,91,27,266,,,,,,,,,gmt,subduction_intraslab
200812190730A,2008-12-19T07:30:00,-32.66,-72.24,22,5.4,mw,359,20,90,179,70,90,65,89,25,269,,,,,,,,,gmt,subduction_intraslab
200812190936A,2008-12-19T09:36:00,-32.56,-72.1,23,5.7,mw,2,19,100,172,72,87,64,76,26,264,,,,,,,,,gmt,subduction_intraslab
200812191357A,2008-12-19T13:57:00,-32.68,-71.97,24,5.2,mw,11,19,118,162,74,81,61,58,28,259,,,,,,,,,gmt,subduction_intraslab
200812191648A,2008-12-19T16:48:00,-32.6,-72.25,29,5.2,mw,351,23,82,180,67,93,68,96,22,267,,,,,,,,,gmt,subduction_intraslab
200812201707A,2008-12-20T17:07:00,-31.72,-68.14,123,5.2,mw,66,46,-52,198,56,-122,5,310,63,50,,,,,,,,,gmt,subduction_intraslab
200901231256A,2009-01-23T12:56:00,-36.64,-71.22,122,5.2,mw,253,56,-16,352,77,-145,14,119,34,218,,,,,,,,,gmt,subduction_intraslab
200903111306A,2009-03-11T13:06:00,-31.98,-69.29,37,5.3,mw,190,44,109,344,49,72,77,187,3,87,,,,,,,,,gmt,subduction_intraslab
200904260803A,2009-04-26T08:03:00,-32.89,-69.49,141,5.3,mw,145,49,169,242,82,42,34,112,21,7,,,,,,,,,gmt,subduction_intraslab
200905081344A,2009-05-08T13:44:00,-32.02,-69.68,110,5.4,mw,185,48,-121,47,50,-60,1,116,67,23,,,,,,,,,gmt,subduction_intraslab
200906132122A,2009-06-13T21:22:00,-30.8,-71.99,34,5.0,mw,352,29,88,175,61,91,74,87,16,263,,,,,,,,,gmt,subduction_intraslab
200907121443A,2009-07-12T14:43:00,-30.71,-71.58,66,5.2,mw,360,32,99,169,58,84,76,63,13,263,,,,,,,,,gmt,subduction_intraslab
200909251547A,2009-09-25T15:47:00,-32.26,-71.9,42,5.1,mw,277,58,15,180,78,147,32,133,13,231,,,,,,,,,gmt,subduction_intraslab
200910280620A,2009-10-28T06:20:00,-32.84,-72.05,19,5.0,mw,164,43,86,349,47,94,87,310,2,77,,,,,,,,,gmt,subduction_intraslab
200912291147A,2009-12-29T11:47:00,-36.78,-73.39,43,5.1,mw,1,21,95,175,69,88,66,82,24,267,,,,,,,,,gmt,subduction_intraslab
201001181228A,2010-01-18T12:28:00,-31.48,-68.97,116,5.4,mw,231,37,-97,60,54,-85,8,146,81,354,,,,,,,,,gmt,subduction_intraslab
201002121203A,2010-02-12T12:03:00,-33.63,-69.02,174,5.8,mw,69,57,-156,325,70,-35,8,20,39,283,,,,,,,,,gmt,subduction_intraslab
201002271900A,2010-02-27T19:00:00,-33.62,-72.29,24,6.2,mw,3,27,97,175,64,86,72,77,18,268,,,,,,,,,gmt,subduction_intraslab
201002272302A,2010-02-27T23:02:00,-37.94,-73.33,53,5.9,mw,349,27,90,169,63,90,72,79,18,259,,,,,,,,,gmt,subduction_intraslab
201002280108A,2010-02-28T01:08:00,-34.25,-72.46,31,5.9,mw,13,24,95,187,66,88,69,93,21,279,,,,,,,,,gmt,subduction_intraslab
201002281125A,2010-02-28T11:25:00,-35.11,-72.05,53,6.2,mw,17,25,113,171,67,80,66,63,21,270,,,,,,,,,gmt,subduction_intraslab
201002281948A,2010-02-28T19:48:00,-38.36,-74.15,15,5.8,mw,1,16,91,180,74,90,61,90,29,270,,,,,,,,,gmt,subduction_intraslab
201003010110A,2010-03-01T01:10:00,-35.4,-72.33,58,5.2,mw,34,33,130,169,65,67,63,43,17,276,,,,,,,,,gmt,subduction_intraslab
201003010244A,2010-03-01T02:44:00,-35.22,-72.75,19,5.6,mw,302,29,32,183,75,115,53,123,26,254,,,,,,,,,gmt,subduction_intraslab
201003010749A,2010-03-01T07:49:00,-34.73,-73.53,12,5.3,mw,208,35,-65,358,58,-107,12,100,71,230,,,,,,,,,gmt,subduction_intraslab
201003010846A,2010-03-01T08:46:00,-35.51,-73.46,15,5.3,mw,26,17,98,197,73,87,62,104,28,290,,,,,,,,,gmt,subduction_intraslab
201003011552A,2010-03-01T15:52:00,-36.83,-73.91,27,5.1,mw,13,27,104,177,64,83,70,72,19,273,,,,,,,,,gmt,subduction_intraslab
201003011656A,2010-03-01T16:56:00,-36.4,-72.7,68,5.0,mw,43,35,125,182,62,68,66,53,14,288,,,,,,,,,gmt,subduction_intraslab
201003020409A,2010-03-02T04:09:00,-35.88,-73.73,15,5.4,mw,359,13,78,191,78,93,58,105,32,279,,,,,,,,,gmt,subduction_intraslab
201003020428A,2010-03-02T04:28:00,-36.85,-73.81,15,5.5,mw,17,11,110,178,79,86,55,82,35,270,,,,,,,,,gmt,subduction_intraslab
201003020610A,2010-03-02T06:10:00,-34.63,-72.87,15,5.3,mw,3,5,84,189,85,91,50,100,40,279,,,,,,,,,gmt,subduction_intraslab
201003021130A,2010-03-02T11:30:00,-35.45,-72.99,12,5.0,mw,198,67,-163,101,74,-24,5,151,28,58,,,,,,,,,gmt,subduction_intraslab
201003021216A,2010-03-02T12:16:00,-36.76,-73.83,18,5.2,mw,5,16,95,181,74,89,61,88,29,271,,,,,,,,,gmt,subduction_intraslab
201003021407A,2010-03-02T14:07:00,-39.72,-74.43,35,5.1,mw,16,28,112,172,64,79,69,59,18,270,,,,,,,,,gmt,subduction_intraslab
201003021912A,2010-03-02T19:12:00,-34.39,-72.55,19,5.6,mw,14,17,119,163,75,81,59,62,30,261,,,,,,,,,gmt,subduction_intraslab
201003022144A,2010-03-02T21:44:00,-36.61,-73.85,37,5.0,mw,44,26,115,196,67,79,66,86,21,295,,,,,,,,,gmt,subduction_intraslab
201003030435A,2010-03-03T04:35:00,-37.61,-74.29,15,5.3,mw,350,12,66,194,79,95,56,111,34,280,,,,,,,,,gmt,subduction_intraslab
201003030442A,2010-03-03T04:42:00,-37.4,-74.27,21,5.1,mw,13,26,105,176,65,83,69,72,20,272,,,,,,,,,gmt,subduction_intraslab
201003030616A,2010-03-03T06:16:00,-33.81,-72.44,23,5.2,mw,10,22,99,180,68,86,67,84,23,273,,,,,,,,,gmt,subduction_intraslab
201003031744A,2010-03-03T17:44:00,-36.7,-73.69,16,6.1,mw,15,12,103,182,78,87,57,88,33,274,,,,,,,,,gmt,subduction_intraslab
201003031958A,2010-03-03T19:58:00,-33.59,-72.36,19,5.8,mw,2,17,94,178,73,89,62,86,28,269,,,,,,,,,gmt,subduction_intraslab
201003040159A,2010-03-04T01:59:00,-33.45,-72.55,13,6.0,mw,10,19,97,183,71,88,64,89,26,274,,,,,,,,,gmt,subduction_intraslab
201003041737A,2010-03-04T17:37:00,-34.24,-72.41,24,5.4,mw,14,22,106,177,69,84,66,76,24,272,,,,,,,,,gmt,subduction_intraslab
201003050334A,2010-03-05T03:34:00,-34.67,-71.94,12,5.4,mw,1,38,-77,165,53,-100,8,262,79,35,,,,,,,,,gmt,subduction_intraslab
201003050355A,2010-03-05T03:55:00,-34.63,-71.95,26,5.2,mw,319,75,177,50,87,15,13,275,8,183,,,,,,,,,gmt,subduction_intraslab
201003050736A,2010-03-05T07:36:00,-35.35,-73.41,36,5.1,mw,266,50,-3,358,88,-140,25,125,29,230,,,,,,,,,gmt,subduction_intraslab
201003050919A,2010-03-05T09:19:00,-36.76,-73.59,15,6.1,mw,11,8,116,164,83,87,52,71,38,258,,,,,,,,,gmt,subduction_intraslab
201003051031A,2010-03-05T10:31:00,-37.58,-73.77,26,5.2,mw,358,28,97,171,62,86,73,71,17,263,,,,,,,,,gmt,subduction_intraslab
201003061519A,2010-03-06T15:19:00,-37.59,-74.31,14,5.2,mw,28,19,112,185,72,83,62,84,27,281,,,,,,,,,gmt,subduction_intraslab
201003070446A,2010-03-07T04:46:00,-33.14,-72.18,29,5.1,mw,7,26,92,185,64,89,71,93,19,276,,,,,,,,,gmt,subduction_intraslab
201003071559A,2010-03-07T15:59:00,-38.22,-73.78,25,5.9,mw,348,12,84,174,78,91,57,86,33,263,,,,,,,,,gmt,subduction_intraslab
201003071836A,2010-03-07T18:36:00,-34.65,-72.22,47,5.3,mw,24,27,114,177,65,78,67,66,20,276,,,,,,,,,gmt,subduction_intraslab
201003072200A,2010-03-07T22:00:00,-34.01,-72.18,34,5.2,mw,26,42,113,176,52,71,74,28,5,280,,,,,,,,,gmt,subduction_intraslab
201003072346A,2010-03-07T23:46:00,-36.17,-73.36,29,5.1,mw,26,21,-119,237,72,-80,26,318,62,163,,,,,,,,,gmt,subduction_intraslab
201003081750A,2010-03-08T17:50:00,-32.88,-72.04,17,5.3,mw,360,28,108,159,63,81,70,50,18,257,,,,,,,,,gmt,subduction_intraslab
201003081808A,2010-03-08T18:08:00,-32.78,-72.11,16,5.3,mw,353,26,89,175,64,91,71,85,19,264,,,,,,,,,gmt,subduction_intraslab
201003092210A,2010-03-09T22:10:00,-33.88,-72.83,20,5.1,mw,358,22,76,193,69,96,66,113,23,279,,,,,,,,,gmt,subduction_intraslab
201003100241A,2010-03-10T02:41:00,-37.07,-73.13,48,5.2,mw,19,32,107,178,60,80,73,63,14,277,,,,,,,,,gmt,subduction_intraslab
201003100401A,2010-03-10T04:01:00,-37.32,-74.12,15,5.1,mw,15,12,109,176,78,86,56,81,34,269,,,,,,,,,gmt,subduction_intraslab
201003112011A,2010-03-11T20:11:00,-34.62,-72.08,19,5.6,mw,3,44,-61,146,52,-115,5,253,70,355,,,,,,,,,gmt,subduction_intraslab
201003112234A,2010-03-11T22:34:00,-37.85,-74.11,22,5.3,mw,351,20,82,180,70,93,65,94,25,267,,,,,,,,,gmt,subduction_intraslab
201003121650A,2010-03-12T16:50:00,-34.41,-72.18,12,5.7,mw,342,40,-87,158,50,-92,5,250,85,49,,,,,,,,,gmt,subduction_intraslab
201003130315A,2010-03-13T03:15:00,-36.69,-74.02,31,5.3,mw,2,23,88,183,67,91,68,96,22,274,,,,,,,,,gmt,subduction_intraslab
201003130319A,2010-03-13T03:19:00,-36.77,-73.77,24,5.4,mw,10,19,102,177,72,86,63,81,26,271,,,,,,,,,gmt,subduction_intraslab
201003130712A,2010-03-13T07:12:00,-34.65,-71.97,19,5.1,mw,345,45,-81,152,46,-99,0,249,84,342,,,,,,,,,gmt,subduction_intraslab
