id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201003211831A,2010-03-21T18:31:00,-36.56,-73.57,21,5.5,mw,11,25,113,166,67,79,66,57,21,264,,,,,,,,,gmt,subduction_interface
201003240005A,2010-03-24T00:05:00,-37.28,-74.18,16,5.1,mw,12,14,106,176,77,86,58,80,31,269,,,,,,,,,gmt,subduction_interface
201003251110A,2010-03-25T11:10:00,-35.85,-73.69,15,5.3,mw,21,14,103,187,76,87,59,93,31,280,,,,,,,,,gmt,subduction_interface
201003281436A,2010-03-28T14:36:00,-36.16,-73.92,12,5.2,mw,6,16,92,183,74,89,61,93,29,274,,,,,,,,,gmt,subduction_interface
201003282138A,2010-03-28T21:38:00,-35.56,-73.44,12,6.0,mw,28,16,112,185,75,84,59,87,30,280,,,,,,,,,gmt,subduction_interface
201003282143A,2010-03-28T21:43:00,-35.45,-73.44,17,5.6,mw,7,16,86,191,74,91,61,103,29,280,,,,,,,,,gmt,subduction_interface
201004011943A,2010-04-01T19:43:00,-34.28,-72.25,24,5.1,mw,352,16,89,173,74,90,61,83,29,263,,,,,,,,,gmt,subduction_interface
201004022258A,2010-04-02T22:58:00,-36.33,-73.2,30,6.0,mw,17,15,101,186,75,87,60,92,30,278,,,,,,,,,gmt,subduction_interface
201004162241A,2010-04-16T22:41:00,-37.69,-74.25,12,5.6,mw,360,15,90,180,75,90,60,90,30,270,,,,,,,,,gmt,subduction_interface
201004162315A,2010-04-16T23:15:00,-37.62,-74.24,12,5.7,mw,31,15,115,185,77,84,58,87,31,281,,,,,,,,,gmt,subduction_interface
201004180149A,2010-04-18T01:49:00,-37.41,-74.19,15,5.6,mw,4,19,93,180,71,89,64,89,26,272,,,,,,,,,gmt,subduction_interface
201004231003A,2010-04-23T10:03:00,-37.69,-73.32,29,6.0,mw,7,14,141,135,81,79,53,32,35,235,,,,,,,,,gmt,subduction_interface
201005031839A,2010-05-03T18:39:00,-37.36,-74.33,12,5.4,mw,6,16,92,183,74,89,61,93,29,274,,,,,,,,,gmt,subduction_interface
201005032309A,2010-05-03T23:09:00,-38.31,-74.08,15,6.2,mw,357,14,89,178,76,90,59,88,31,268,,,,,,,,,gmt,subduction_interface
201005051524A,2010-05-05T15:24:00,-35.67,-73.32,16,5.4,mw,19,14,106,182,76,86,58,87,31,276,,,,,,,,,gmt,subduction_interface
201005242357A,2010-05-24T23:57:00,-36.4,-73.71,21,5.2,mw,19,19,111,177,73,83,62,76,27,272,,,,,,,,,gmt,subduction_interface
201006011605A,2010-06-01T16:05:00,-36.93,-73.85,22,5.1,mw,355,21,81,184,70,93,66,101,24,272,,,,,,,,,gmt,subduction_interface
201006270715A,2010-06-27T07:15:00,-37.0,-74.3,15,5.0,mw,6,22,92,184,68,89,67,92,23,274,,,,,,,,,gmt,subduction_interface
201006290140A,2010-06-29T01:40:00,-37.91,-73.72,19,5.5,mw,330,27,126,110,69,73,63,354,22,213,,,,,,,,,gmt,subduction_interface
201007141505A,2010-07-14T15:05:00,-38.39,-73.8,23,5.8,mw,353,14,88,175,76,91,59,86,31,265,,,,,,,,,gmt,subduction_interface
201007150036A,2010-07-15T00:36:00,-34.27,-72.35,23,5.4,mw,18,24,121,164,70,77,63,54,24,265,,,,,,,,,gmt,subduction_interface
201008050601A,2010-08-05T06:01:00,-37.7,-73.69,18,5.9,mw,6,13,97,179,78,88,58,87,32,270,,,,,,,,,gmt,subduction_interface
201009060320A,2010-09-06T03:20:00,-37.79,-73.56,27,5.0,mw,19,28,114,173,65,78,68,59,19,271,,,,,,,,,gmt,subduction_interface
201009090728A,2010-09-09T07:28:00,-37.27,-74.16,12,6.2,mw,11,14,99,182,76,88,59,89,31,274,,,,,,,,,gmt,subduction_interface
201009140323A,2010-09-14T03:23:00,-37.32,-74.27,13,5.2,mw,359,19,83,186,71,92,64,100,26,275,,,,,,,,,gmt,subduction_interface
201009140337A,2010-09-14T03:37:00,-37.32,-74.35,16,5.1,mw,352,19,76,187,72,95,63,104,26,273,,,,,,,,,gmt,subduction_interface
201009170652A,2010-09-17T06:52:00,-37.65,-74.17,16,5.1,mw,341,16,71,181,75,95,60,98,30,266,,,,,,,,,gmt,subduction_interface
201009200542A,2010-09-20T05:42:00,-33.84,-72.36,22,5.1,mw,348,22,78,182,69,95,66,99,23,267,,,,,,,,,gmt,subduction_interface
201009300026A,2010-09-30T00:26:00,-36.51,-74.07,12,5.6,mw,9,17,98,180,73,87,62,87,28,273,,,,,,,,,gmt,subduction_interface
201010230558A,2010-10-23T05:58:00,-37.91,-73.88,21,5.5,mw,31,16,123,177,76,81,57,75,31,274,,,,,,,,,gmt,subduction_interface
201101070942A,2011-01-07T09:42:00,-35.87,-73.66,12,5.4,mw,22,21,107,184,70,83,64,83,25,279,,,,,,,,,gmt,subduction_interface
201101100602A,2011-01-10T06:02:00,-35.77,-73.59,12,5.9,mw,22,14,105,187,76,86,58,92,31,280,,,,,,,,,gmt,subduction_interface
201102051611A,2011-02-05T16:11:00,-37.81,-73.84,21,5.7,mw,9,17,98,180,73,88,62,87,28,273,,,,,,,,,gmt,subduction_interface
201102112339A,2011-02-11T23:39:00,-37.45,-74.11,16,6.0,mw,11,16,98,183,74,88,61,89,29,275,,,,,,,,,gmt,subduction_interface
