id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
411394,1989-03-29T04:06:10,-72.391,-18.528,17.6,5.37,mw,159.0,35.0,-95.0,345.0,56.0,-87.0,44.96302264678315,72.58886222835099,8.171923485284422,170.83447243516162,43.87903650982188,268.7718196298082,-1.17,-0.14,1.31,0.11,-0.5,-0.53,gem,,outer_rise
341452,1991-02-13T06:17:24,-79.568,-44.759,14.4,5.65,mw,261.0,90.0,-180.0,351.0,90.0,0.0,7.442344089913072e-15,216.0,90.0,54.43494882292202,2.4807813633043563e-15,306.0,-0.38,1.34,-0.96,0.0,0.0,-3.53,gem,,outer_rise
290311,1992-05-06T23:29:48,-72.101,-17.218,47.8,5.16,mw,169.0,82.0,148.0,264.0,58.0,10.0,17.160608096713577,301.77789832837186,58.09217065080795,182.04519302851256,26.010556772066625,40.44432174376044,-0.42,-1.87,2.29,-1.85,-4.38,5.16,gem,,outer_rise
69439,1995-11-17T02:40:50,-79.678,-44.873,15.0,5.75,mw,259.0,79.0,171.0,351.0,81.0,11.0,1.5555536889174577,215.0607408609469,76.21838884585704,311.41719669123955,13.690084489393668,124.68172704236622,-0.66,2.02,-1.35,-1.25,0.97,-4.76,gem,,outer_rise
B040696D,1996-04-06T12:17:35,-77.26,-53.39,15.0,5.0,mw,166.0,27.0,119.0,315.0,67.0,76.0,65.0,201.0,12.0,320.0,21.0,55.0,1.1240000000000002e+17,-2.97e+16,-8.27e+16,-8.4e+16,5.18e+16,3e+16,gcmt,gem:957442,outer_rise
1050895,1997-11-05T06:09:15,-78.161,-43.908,15.0,5.56,mw,80.0,75.0,-173.0,349.0,84.0,-15.0,14.980595846577865,34.85829409537922,73.84465326995335,192.33507171981947,5.90968236856994,303.27110967072787,-0.14,1.0,-0.85,-0.16,-0.75,-2.39,gem,,outer_rise
1065281,1998-01-19T18:23:59,-79.488,-44.971,13.0,6.2,mw,168.0,87.0,-12.0,258.0,78.0,-177.0,6.0,213.0,78.0,334.0,10.0,122.0,30000000000.0,65000000000.0,-95000000000.0,11000000000.0,46000000000.0,-176000000000.0,neic,,outer_rise
1108472,1998-05-24T13:41:50,-72.563,-17.076,45.5,5.31,mw,144.0,56.0,96.0,313.0,34.0,81.0,42.23386308947156,254.95770118607487,12.941548800053098,152.9166770486578,44.88807315246933,49.68448472313531,9.08,-3.38,-5.69,2.44,-3.73,8.02,gem,,outer_rise
B080300Q,2000-08-03T19:22:18,-72.44,-17.83,35.0,5.5,mw,309.0,29.0,66.0,156.0,64.0,102.0,69.0,90.0,11.0,331.0,18.0,237.0,4.769e+17,-1.401e+17,-3.368e+17,1.194e+17,-3.767e+17,3.097e+17,gcmt,gem:1738686,outer_rise
1780646,2001-02-19T14:31:55,-79.927,-45.171,10.0,5.77,mw,260.0,76.0,180.0,350.0,90.0,14.0,9.84972365902512,215.86372851064328,76.0,349.99999999999994,9.84972365902513,124.13627148935672,-0.94,2.29,-1.35,-0.64,1.25,-4.99,gem,,outer_rise
pde20010409090057170_11,2001-04-09T09:00:57,-73.109,-32.668,11.0,6.7,mwc,45.0,55.0,-55.0,174.0,48.0,-129.0,41.41718153849125,291.0119686191941,47.39510372777765,94.5824179781522,8.255081883706419,193.65875398657843,-1.061e+19,3e+18,7.61e+18,2.1e+17,-5e+17,7.12e+18,us,gcmt:C040901A;neic:1882885;gem:1882885,outer_rise
M062301E,2001-06-23T20:34:23,-72.71,-17.28,29.6,8.2,mw,310.0,18.0,63.0,159.0,74.0,98.0,60.0,80.0,8.0,336.0,29.0,242.0,2.245e+21,-5.4700000000000007e+20,-1.698e+21,1.339e+21,-3.728e+21,1.444e+21,gcmt,,outer_rise
B062501B,2001-06-25T06:38:50,-73.99,-17.26,15.0,5.4,mw,278.0,26.0,34.0,157.0,76.0,112.0,54.0,94.0,21.0,332.0,28.0,230.0,1.916e+17,-1.513e+17,-4.04e+16,8.55e+16,-3.405e+17,1.543e+17,gcmt,gem:1968259,outer_rise
C062601D,2001-06-26T04:18:40,-72.02,-17.87,24.0,6.7,mw,314.0,19.0,75.0,150.0,71.0,95.0,63.0,68.0,5.0,329.0,26.0,236.0,8.314e+18,-2.958e+18,-5.356e+18,5.186e+18,-9.803e+18,4.435e+18,gcmt,gem:1893876,outer_rise
B062601N,2001-06-26T17:27:49,-72.64,-17.67,45.5,5.2,mw,176.0,27.0,105.0,339.0,64.0,83.0,70.0,234.0,7.0,343.0,19.0,75.0,8.344e+16,-2660000000000000.0,-8.078e+16,-2.89e+16,5.957e+16,1.796e+16,gcmt,gem:1893888,outer_rise
B062701A,2001-06-27T00:21:12,-72.3,-18.04,36.5,5.0,mw,338.0,31.0,85.0,164.0,59.0,93.0,76.0,83.0,3.0,342.0,14.0,251.0,1.41e+17,-3000000000000000.0,-1.3799999999999998e+17,1.86e+16,-7.55e+16,5.39e+16,gcmt,,outer_rise
1906238,2001-06-28T21:35:24,-72.496,-17.578,23.8,5.25,mw,45.0,13.0,155.0,160.0,85.0,78.0,43.53785109912528,56.64835550533854,11.973916437343163,158.2744248957581,43.99516624985391,260.09042920695583,1.33,1.84,-3.16,3.17,-8.64,-0.52,gem,,outer_rise
1906270,2001-06-30T08:57:19,-72.098,-17.79,26.7,5.29,mw,144.0,53.0,72.0,353.0,41.0,113.0,22.38332672122273,180.2131775565819,37.51831721096231,288.64750007307657,44.088330616916295,66.70198020298517,1.0,-0.1,-0.9,0.34,-0.11,0.36,gem,,outer_rise
B070101E,2001-07-01T11:06:30,-73.56,-17.41,15.0,5.2,mw,328.0,56.0,22.0,226.0,72.0,144.0,38.0,182.0,51.0,22.0,10.0,280.0,6.22e+16,9.47e+16,-1.569e+17,-6.69e+16,-2.96e+16,-3.35e+16,gcmt,gem:1906291,outer_rise
C070701F,2001-07-07T09:39:01,-72.45,-17.45,25.0,7.3,mw,306.0,14.0,52.0,165.0,79.0,99.0,55.0,86.0,9.0,344.0,33.0,248.0,1.1379999999999998e+20,-2.1e+19,-9.28e+19,6.770000000000001e+19,-2.8450000000000003e+20,7.71e+19,gcmt,gem:1907299,outer_rise
B072701A,2001-07-27T22:42:37,-73.17,-17.59,32.5,5.0,mw,305.0,27.0,51.0,167.0,69.0,108.0,62.0,104.0,17.0,341.0,22.0,244.0,7.266e+16,-1.486e+16,-5.78e+16,8700000000000000.0,-8.427e+16,4.922e+16,gcmt,gem:1939461,outer_rise
1955405,2001-08-07T08:39:55,-72.182,-17.248,37.5,5.13,mw,144.0,65.0,92.0,320.0,25.0,86.0,44.87773984302522,238.12470472642093,2.818057275116847,145.31525785923276,44.983767120909135,52.49538538290358,4.78,-1.89,-2.88,2.31,-3.28,2.17,gem,,outer_rise
B090201B,2001-09-02T09:31:40,-72.76,-17.74,42.1,5.3,mw,345.0,35.0,102.0,151.0,56.0,82.0,77.0,34.0,7.0,156.0,11.0,247.0,1.175e+17,-7199999999999999.0,-1.103e+17,3.11e+16,-3.86e+16,5.04e+16,gcmt,gem:2034728,outer_rise
2712349,2001-12-31T19:14:11,-72.565,-17.402,23.3,5.22,mw,158.0,59.0,129.0,281.0,48.0,44.0,10.995566068515402,302.01910212888697,47.86423340289464,199.61727896728624,40.03129415540833,41.41283137529035,6.07,-4.12,-1.95,-2.08,-4.56,4.57,gem,,outer_rise
B123101C,2001-12-31T19:14:12,-73.19,-17.94,29.6,5.0,mw,281.0,48.0,44.0,158.0,59.0,129.0,57.0,122.0,32.0,315.0,6.0,221.0,6.067e+16,-4.116e+16,-1.951e+16,-2.076e+16,-4.561e+16,4.566e+16,gcmt,,outer_rise
3229300,2002-07-18T21:53:14,-79.995,-44.707,10.0,5.19,mw,119.0,68.0,117.0,246.0,34.0,42.0,31.14541584301644,246.4180712613108,32.406563075851174,133.86057444384062,41.85835876510668,9.199328770594434,4.36,-7.13,2.76,4.07,-2.52,1.03,gem,,outer_rise
6529439,2003-01-02T00:20:13,-72.593,-17.465,35.0,5.24,mw,166.0,70.0,120.0,288.0,36.0,37.0,30.06779848657795,293.8474723045349,34.442584365519,180.45462255902967,40.923624938227405,53.97339340555499,0.53,-0.26,-0.27,-0.05,-0.64,0.47,gem,,outer_rise
6533658,2003-01-09T09:49:08,-79.376,-44.52,15.0,5.9,mw,169.0,84.0,-2.0,259.0,88.0,-174.0,5.629770784055253,33.9649799122713,83.69022790624584,240.90371490389663,2.840191700222172,124.2451838301215,-0.62,3.64,-3.01,0.82,0.35,-7.95,gem,,outer_rise
B060303H,2003-06-03T23:58:07,-73.18,-17.54,20.0,5.8,mw,294.0,22.0,47.0,159.0,74.0,106.0,58.0,90.0,15.0,334.0,27.0,237.0,4.3e+17,-1.53e+17,-2.77e+17,2.36e+17,-6.95e+17,3.9e+17,gcmt,gem:6927203,outer_rise
C091604B,2004-09-16T14:48:53,-72.82,-17.5,18.8,5.1,mw,314.0,18.0,64.0,161.0,74.0,98.0,60.0,83.0,8.0,339.0,29.0,245.0,6.720000000000001e+16,-1.1e+16,-5.620000000000001e+16,3.48e+16,-1.1299999999999998e+17,4.16e+16,gcmt,gem:7402047,outer_rise
200504130925A,2005-04-13T09:25:00,-73.24,-33.27,12.0,5.4,mw,21.0,38.0,-89.0,200.0,52.0,-91.0,7.0,290.0,0.0,200.0,83.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,gmt,us:C200504130925A;neic:7492309;gem:7492309,outer_rise
200510101607A,2005-10-10T16:07:00,-77.12,-45.7,12.0,5.1,mw,85.0,46.0,-158.0,339.0,74.0,-46.0,17.0,38.0,42.0,144.0,43.0,291.0,-2.2e+16,2.54e+16,-3380000000000000.0,1.03e+16,-2.79e+16,-3.74e+16,gmt,gcmt:C200510101607A;gcmt:C200510101607A;us:C200510101607A;gem:7703525,outer_rise
200604281821A,2006-04-28T18:21:00,-77.47,-45.76,12.0,5.3,mw,76.0,75.0,-179.0,346.0,89.0,-15.0,10.0,32.0,75.0,161.0,12.0,300.0,0.07,0.57,-0.64,0.02,-0.36,-1.13,gmt,us:C200604281821A;gem:8494456,outer_rise
200605300250A,2006-05-30T02:50:00,-76.17,-45.92,15.0,5.7,mw,78.0,71.0,-175.0,346.0,85.0,-19.0,9.0,33.0,71.0,151.0,17.0,300.0,-4000000000000000.0,1.65e+17,-1.61e+17,-1.09e+16,-1.3e+17,-3.2e+17,gmt,gcmt:C200605300250A;gcmt:C200605300250A;us:C200605300250A;gem:8443016,outer_rise
C200607161142A,2006-07-16T11:42:41,-72.54,-28.72,10.0,6.2,mwc,357.0,46.0,-111.0,205.0,48.0,-70.0,1.0,281.0,15.0,11.0,75.0,188.0,-2e+18,-6.04e+17,2.6e+18,3.62e+17,-1e+16,6.39e+17,us,neic:10699429;gem:10699429,outer_rise
