id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
201008150750A,2010-08-15T07:50:00,-71.47,-37.09,16.0,5.2,mw,290.0,58.0,-9.0,25.0,82.0,-148.0,16.0,153.0,57.0,37.0,28.0,252.0,-1.84e+16,6.08e+16,-4.24e+16,-1.49e+16,-4.18e+16,5.540000000000001e+16,gmt,gcmt:C201008150750A;gcmt:C201008150750A;us:C201008150750A;gem:15084816,crustal_intraarc_shallow
201102141218A,2011-02-14T12:18:00,-71.54,-35.65,13.0,5.2,mw,211.0,21.0,-33.0,331.0,79.0,-108.0,32.0,76.0,17.0,335.0,53.0,221.0,-2.81e+16,-1.74e+16,4.54e+16,3.79e+16,-6.42e+16,-1600000000000000.0,gmt,us:pde20110214121830300_35;gem:16026123,crustal_intraarc_shallow
201102210538A,2011-02-21T05:38:00,-72.55,-46.02,18.0,5.0,mw,271.0,32.0,-20.0,18.0,79.0,-121.0,28.0,132.0,30.0,24.0,47.0,256.0,-1.51e+16,1.94e+16,-4400000000000000.0,900000000000000.0,-3.72e+16,1.59e+16,gmt,us:pde20110221053851050_36;gem:16168884,crustal_intraarc_shallow
201106041628A,2011-06-04T16:28:00,-72.22,-40.59,21.0,5.0,mw,162.0,64.0,-165.0,65.0,77.0,-27.0,8.0,116.0,60.0,221.0,28.0,21.0,-1.19e+16,-1.95e+16,3.14e+16,-1.67e+16,-1300000000000000.0,2.84e+16,gmt,us:pde20110604162847680_9;gem:16557046,crustal_intraarc_shallow
201206070405A,2012-06-07T04:05:00,-70.97,-36.23,17.0,6.0,mw,2.0,69.0,-173.0,269.0,84.0,-21.0,27.61209928914136,140.10792263119498,62.24271560058836,313.75532864813715,2.617152085812072,48.73792138053841,-2.67e+17,1.78e+17,8.9e+16,3.92e+17,-1.6e+16,1.15e+18,gmt,gcmt:C201206070405A;gcmt:C201206070405A;us:pde20120607040504520_8;neic:604029413;gem:604029413,crustal_intraarc_shallow
c000nu2x,2014-03-27T23:51:00,-68.98,-29.41,30.5,5.7,mww,177.0,83.0,143.0,272.0,54.0,9.0,30.0,128.0,53.0,348.0,19.0,230.0,3.55e+16,-3.78e+16,2300000000000000.0,-7.39e+16,-2.623e+17,3.394e+17,us,gcmt:C201403272350A;gcmt:C201403272350A;neic:604400792;gem:604400792,crustal_intraarc_shallow
201503131916A,2015-03-13T19:16:00,-73.51,-44.79,25.0,5.0,mw,99.0,61.0,4.0,7.0,86.0,151.0,23.0,320.0,61.0,180.0,17.0,57.0,-2270000000000000.0,8810000000000000.0,-6540000000000000.0,8580000000000000.0,1.6200000000000002e+16,2.93e+16,gmt,gcmt:C201503131916A;gcmt:C201503131916A;gem:606829182,crustal_intraarc_shallow
201702030052A,2017-02-03T00:52:00,-69.51,-33.07,20.0,5.4,mw,138.0,46.0,-15.0,238.0,79.0,-135.0,10.0,359.0,49.0,256.0,39.0,97.0,-6.798e+16,1.7209e+17,-1.0411e+17,4.469e+16,6.922e+16,-7630000000000000.0,gmt,gcmt:C201702030052A;gcmt:C201702030052A;us:20008h9r;neic:611831721;gem:611831721,crustal_intraarc_shallow
201706252208A,2017-06-25T22:08:00,-71.66,-42.09,12.0,5.2,mw,172.0,17.0,118.0,322.0,75.0,82.0,43.93363253128267,221.6188612992156,9.081600928526752,320.47782875677683,44.63865755678359,59.559439963132434,3.63,-0.55,-3.08,-4.04,4.65,1.14,gmt,gem:611189156,crustal_intraarc_shallow
202101190246A,2021-01-19T02:46:00,-68.86,-31.85,26.0,6.5,mw,223.0,61.0,164.0,321.0,76.0,30.0,26.0,189.0,57.0,327.0,19.0,89.0,5.964e+17,4.5685e+18,-5.1649e+18,-2.2109e+18,2.2255e+18,-5.427e+17,gmt,gcmt:C202101190246A;us:7000d18q;gfz:619721854,crustal_intraarc_shallow
202102111401A,2021-02-11T14:01:00,-71.96,-39.87,21.0,5.0,mw,78.0,82.0,-7.0,169.0,83.0,-172.0,,,,,,,,,,,,,gmt,,crustal_intraarc_shallow
202411081137A,2024-11-08T11:37:00,-75.63,-46.72,12.0,6.3,mw,10.0,28.0,87.0,193.0,62.0,92.0,73.0,107.0,1.0,13.0,17.0,282.0,3.09e+18,5.9e+16,-3.15e+18,-5.28e+17,-2.04e+18,-6.94e+17,gmt,gcmt:C202411081137A,crustal_intraarc_shallow
6000qx3m,2025-07-31T21:34:30,-70.3976,-34.028,2.0,4.2,mwr,299.19,61.69,110.12,81.5,34.25,57.44,67.0,248.0,18.0,109.0,14.0,15.0,2378300000000000.0,-2312100000000000.0,-66200000000000.0,-1006900000000000.0,1281900000000000.0,339000000000000.0,us,,crustal_intraarc_shallow
011480E,,-69.42,-33.27,15.0,5.6,mw,141.0,69.0,5.0,49.0,85.0,159.0,18.0,3.0,69.0,217.0,11.0,97.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,gmt,gcmt:B011480E;us:B011480E;gem:652719,crustal_intraarc_shallow
012685A,,-68.75,-33.11,28.0,5.9,mw,158.0,38.0,65.0,9.0,56.0,108.0,72.0,325.0,15.0,179.0,9.0,86.0,8.699999999999999e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,gmt,gcmt:B012685A;us:B012685A;neic:535314;gem:535314,crustal_intraarc_shallow
091387C,,-70.0,-34.59,15.0,5.9,mw,27.0,58.0,176.0,119.0,87.0,32.0,24.0,348.0,58.0,124.0,20.0,249.0,-2200000000000000.0,5.529e+17,-5.507e+17,4.011e+17,-1.2410000000000002e+17,3.47e+17,gmt,gcmt:B091387C;us:B091387C;neic:457546;gem:457546,crustal_intraarc_shallow
022489C,,-71.83,-39.26,15.0,5.2,mw,110.0,62.0,23.0,9.0,70.0,150.0,35.0,327.0,54.0,159.0,5.0,61.0,2.3650000000000004e+16,2.289e+16,-4.654e+16,4.16e+16,3.467e+16,6.386999999999999e+16,gmt,gcmt:B022489C;us:B022489C;gem:413725,crustal_intraarc_shallow
030599B,,-70.25,-34.75,15.0,5.9,mw,170.0,12.0,69.0,12.0,79.0,94.0,56.0,287.0,4.0,191.0,34.0,98.0,3.858e+17,-2.7300000000000004e+16,-3.585e+17,2.023e+17,8.644e+17,4500000000000000.0,gmt,gcmt:B030599B;us:B030599B;gem:1538377,crustal_intraarc_shallow
032799B,,-71.85,-40.32,15.0,5.4,mw,174.0,72.0,174.0,266.0,85.0,18.0,17.0,132.0,71.0,282.0,9.0,39.0,-1.28e+16,-2e+16,3.27e+16,-5.779999999999999e+16,-3.24e+16,1.7e+17,gmt,gcmt:B032799B;us:B032799B;gem:1546940,crustal_intraarc_shallow
101201B,,-69.04,-33.16,15.0,5.3,mw,222.0,78.0,171.0,314.0,81.0,12.0,15.0,178.0,75.0,349.0,2.0,87.0,-7099999999999999.0,1.041e+17,-9.7e+16,-3.09e+16,2000000000000000.0,7700000000000000.0,gmt,gcmt:B101201B;us:B101201B;gem:2170887,crustal_intraarc_shallow
082804C,,-70.36,-35.21,16.0,6.5,mw,21.0,61.0,-178.0,290.0,88.0,-29.0,3.637108743639312e-15,180.0,45.000000000000014,90.0,44.99999999999999,270.0,-2e+17,4.190000000000001e+18,-3.99e+18,3.18e+18,-1.36e+18,4.78e+18,gmt,gcmt:C082804C;us:pde20040828134125600_5;neic:7393947;gem:7393947,crustal_intraarc_shallow
091204C,,-70.15,-34.31,12.0,5.3,mw,162.0,44.0,114.0,310.0,50.0,68.0,73.0,156.0,17.0,324.0,3.0,55.0,1.09,-0.31,-0.78,-0.34,-0.08,0.59,gmt,us:C091204C;gem:7400830,crustal_intraarc_shallow
