id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
456586,1987-10-31T05:11:19,-69.967,-25.721,65.2,5.06,mw,75.0,79.0,-149.0,338.0,60.0,-13.0,26.797782431002137,23.440652622139,59.040448597391176,236.09372184202303,14.344606568088563,120.8619451296678,-0.57,2.6,-2.03,-2.02,-1.84,-3.3,gem,,subduction_interface
C011988B,1988-01-19T07:30:46,-70.55,-24.86,31.0,6.8,mw,353.0,17.0,87.0,177.0,73.0,91.0,62.0,88.0,1.0,357.0,28.0,266.0,1.88e+19,1.21e+18,-2.001e+19,1.49e+18,-2.923e+19,1.8e+18,gcmt,gem:448284,subduction_interface
B012088A,1988-01-20T15:01:38,-71.2,-24.73,15.0,5.2,mw,358.0,22.0,91.0,177.0,68.0,90.0,67.0,86.0,0.0,177.0,23.0,267.0,4.829e+17,8.28e+16,-5.657e+17,3.3e+16,-5.467e+17,3.23e+16,gcmt,gem:448428,subduction_interface
444621,1988-02-01T13:32:54,-70.37,-24.657,40.4,5.27,mw,70.0,29.0,161.0,176.0,81.0,62.0,36.56293275410109,58.05305317103159,28.48542171093034,171.78419734539457,40.26114100021958,289.14215667175927,2.8,0.05,-2.85,1.7,-8.27,-4.33,gem,,subduction_interface
C022288C,1988-02-22T19:13:26,-69.57,-20.53,66.9,6.3,mw,178.0,16.0,-42.0,309.0,79.0,-102.0,33.0,49.0,12.0,311.0,54.0,203.0,-3.218e+18,1.33e+17,3.085e+18,6.559e+18,-4.789e+18,-2.04e+18,gcmt,gem:446243,subduction_interface
B033088B,1988-03-30T23:51:05,-71.17,-24.89,15.0,5.7,mw,337.0,12.0,90.0,157.0,78.0,90.0,57.0,67.0,0.0,337.0,33.0,247.0,7.96e+17,5.5e+16,-8.51e+17,8.02e+17,-1.898e+18,4.7e+17,gcmt,gem:444485,subduction_interface
B050588C,1988-05-05T17:39:17,-71.46,-29.32,33.0,5.4,mwc,0.0,3.0,53.0,217.0,87.0,92.0,48.0,129.0,2.0,36.0,42.0,305.0,8100000000000000.0,5100000000000000.0,-1.32e+16,-8.61e+16,-1.176e+17,-1.35e+16,us,gem:437084,subduction_interface
B070488C,1988-07-04T13:54:21,-71.72,-18.35,27.0,5.4,mw,272.0,46.0,19.0,168.0,76.0,134.0,41.0,119.0,42.0,336.0,19.0,227.0,1.918e+17,-1.3620000000000002e+17,-5.560000000000001e+16,3.87e+16,-3.296e+17,3.933e+17,gcmt,gem:430659,subduction_interface
B081788C,1988-08-17T11:34:55,-71.18,-26.72,15.0,5.7,mw,49.0,11.0,156.0,163.0,85.0,80.0,49.0,62.0,10.0,164.0,40.0,262.0,3.28e+17,-2.5e+16,-3.03e+17,5.16e+17,-1.437e+18,-2.35e+17,gcmt,gem:429258,subduction_interface
B051989B,1989-05-19T11:51:01,-70.07,-24.86,50.4,5.4,mw,52.0,21.0,151.0,169.0,80.0,71.0,51.0,58.0,18.0,173.0,33.0,275.0,5.44e+16,3500000000000000.5,-5.8e+16,4.06e+16,-1.314e+17,-3.89e+16,gcmt,gem:405065,subduction_interface
B091489A,1989-09-14T04:42:40,-71.44,-26.9,15.0,5.0,mw,65.0,15.0,-35.0,190.0,81.0,-102.0,35.0,290.0,12.0,191.0,52.0,85.0,-5.779999999999999e+16,3599999999999999.5,5.42e+16,3.25e+16,2.058e+17,5.99e+16,gcmt,,subduction_interface
